date,DLTR,isPartial
2015-08-18,27,False
2015-08-19,14,False
2015-08-20,27,False
2015-08-21,14,False
2015-08-22,49,False
2015-08-23,16,False
2015-08-24,27,False
2015-08-25,13,False
2015-08-26,53,False
2015-08-27,41,False
2015-08-28,14,False
2015-08-29,0,False
2015-08-30,16,False
2015-08-31,40,False
2015-09-01,92,False
2015-09-02,13,False
2015-09-03,27,False
2015-09-04,56,False
2015-09-05,0,False
2015-09-06,0,False
2015-09-07,28,False
2015-09-08,39,False
2015-09-09,0,False
2015-09-10,0,False
2015-09-11,83,False
2015-09-12,15,False
2015-09-13,0,False
2015-09-14,13,False
2015-09-15,39,False
2015-09-16,0,False
2015-09-17,13,False
2015-09-18,54,False
2015-09-19,0,False
2015-09-20,15,False
2015-09-21,0,False
2015-09-22,0,False
2015-09-23,39,False
2015-09-24,0,False
2015-09-25,0,False
2015-09-26,16,False
2015-09-27,0,False
2015-09-28,13,False
2015-09-29,39,False
2015-09-30,26,False
2015-10-01,0,False
2015-10-02,14,False
2015-10-03,0,False
2015-10-04,0,False
2015-10-05,26,False
2015-10-06,77,False
2015-10-07,52,False
2015-10-08,26,False
2015-10-09,13,False
2015-10-10,0,False
2015-10-11,15,False
2015-10-12,27,False
2015-10-13,13,False
2015-10-14,38,False
2015-10-15,0,False
2015-10-16,27,False
2015-10-17,0,False
2015-10-18,0,False
2015-10-19,25,False
2015-10-20,25,False
2015-10-21,13,False
2015-10-22,13,False
2015-10-23,27,False
2015-10-24,0,False
2015-10-25,15,False
2015-10-26,13,False
2015-10-27,0,False
2015-10-28,38,False
2015-10-29,0,False
2015-10-30,13,False
2015-10-31,30,False
2015-11-01,0,False
2015-11-02,13,False
2015-11-03,0,False
2015-11-04,25,False
2015-11-05,38,False
2015-11-06,0,False
2015-11-07,0,False
2015-11-08,0,False
2015-11-09,25,False
2015-11-10,25,False
2015-11-11,0,False
2015-11-12,26,False
2015-11-13,40,False
2015-11-14,0,False
2015-11-15,0,False
2015-11-16,0,False
2015-11-17,50,False
2015-11-18,0,False
2015-11-19,0,False
2015-11-20,27,False
2015-11-21,15,False
2015-11-22,0,False
2015-11-23,38,False
2015-11-24,100,False
2015-11-25,38,False
2015-11-26,13,False
2015-11-27,0,False
