date,JD,isPartial
2017-01-19,63,False
2017-01-20,64,False
2017-01-21,66,False
2017-01-22,71,False
2017-01-23,66,False
2017-01-24,61,False
2017-01-25,67,False
2017-01-26,64,False
2017-01-27,63,False
2017-01-28,74,False
2017-01-29,69,False
2017-01-30,63,False
2017-01-31,67,False
2017-02-01,64,False
2017-02-02,60,False
2017-02-03,66,False
2017-02-04,71,False
2017-02-05,67,False
2017-02-06,65,False
2017-02-07,63,False
2017-02-08,59,False
2017-02-09,63,False
2017-02-10,60,False
2017-02-11,69,False
2017-02-12,69,False
2017-02-13,63,False
2017-02-14,59,False
2017-02-15,66,False
2017-02-16,61,False
2017-02-17,61,False
2017-02-18,66,False
2017-02-19,68,False
2017-02-20,64,False
2017-02-21,65,False
2017-02-22,62,False
2017-02-23,64,False
2017-02-24,66,False
2017-02-25,70,False
2017-02-26,68,False
2017-02-27,65,False
2017-02-28,64,False
2017-03-01,65,False
2017-03-02,67,False
2017-03-03,64,False
2017-03-04,71,False
2017-03-05,73,False
2017-03-06,63,False
2017-03-07,65,False
2017-03-08,63,False
2017-03-09,62,False
2017-03-10,66,False
2017-03-11,69,False
2017-03-12,71,False
2017-03-13,62,False
2017-03-14,63,False
2017-03-15,64,False
2017-03-16,69,False
2017-03-17,70,False
2017-03-18,75,False
2017-03-19,77,False
2017-03-20,69,False
2017-03-21,73,False
2017-03-22,68,False
2017-03-23,68,False
2017-03-24,72,False
2017-03-25,76,False
2017-03-26,73,False
2017-03-27,73,False
2017-03-28,69,False
2017-03-29,71,False
2017-03-30,75,False
2017-03-31,73,False
2017-04-01,80,False
2017-04-02,79,False
2017-04-03,75,False
2017-04-04,74,False
2017-04-05,71,False
2017-04-06,70,False
2017-04-07,68,False
2017-04-08,73,False
2017-04-09,74,False
2017-04-10,77,False
2017-04-11,74,False
2017-04-12,75,False
2017-04-13,78,False
2017-04-14,76,False
2017-04-15,76,False
2017-04-16,68,False
2017-04-17,72,False
2017-04-18,65,False
2017-04-19,64,False
2017-04-20,68,False
2017-04-21,68,False
2017-04-22,68,False
2017-04-23,68,False
2017-04-24,69,False
2017-04-25,72,False
2017-04-26,69,False
2017-04-27,74,False
2017-04-28,75,False
2017-04-29,74,False
2017-04-30,77,False
2017-05-01,80,False
2017-05-02,71,False
2017-05-03,72,False
2017-05-04,74,False
2017-05-05,69,False
2017-05-06,79,False
2017-05-07,78,False
2017-05-08,71,False
2017-05-09,72,False
2017-05-10,67,False
2017-05-11,72,False
2017-05-12,73,False
2017-05-13,77,False
2017-05-14,77,False
2017-05-15,74,False
2017-05-16,69,False
2017-05-17,72,False
2017-05-18,72,False
2017-05-19,73,False
2017-05-20,83,False
2017-05-21,79,False
2017-05-22,71,False
2017-05-23,66,False
2017-05-24,68,False
2017-05-25,69,False
2017-05-26,77,False
2017-05-27,78,False
2017-05-28,72,False
2017-05-29,79,False
2017-05-30,74,False
2017-05-31,76,False
2017-06-01,76,False
2017-06-02,74,False
2017-06-03,76,False
2017-06-04,77,False
2017-06-05,74,False
2017-06-06,80,False
2017-06-07,85,False
2017-06-08,83,False
2017-06-09,82,False
2017-06-10,100,False
2017-06-11,91,False
2017-06-12,81,False
