date,JD
2014-12-01,58
2014-12-02,51
2014-12-03,50
2014-12-04,52
2014-12-05,51
2014-12-06,54
2014-12-07,56
2014-12-08,54
2014-12-09,51
2014-12-10,49
2014-12-11,52
2014-12-12,50
2014-12-13,53
2014-12-14,53
2014-12-15,53
2014-12-16,51
2014-12-17,49
2014-12-18,53
2014-12-19,49
2014-12-20,54
2014-12-21,54
2014-12-22,53
2014-12-23,50
2014-12-24,49
2014-12-25,82
2014-12-26,100
2014-12-27,67
2014-12-28,55
2014-12-29,52
2014-12-30,48
2014-12-31,40
2015-01-01,45
2015-01-02,45
2015-01-03,43
2015-01-04,42
2015-01-05,42
2015-01-06,42
2015-01-07,39
2015-01-08,39
2015-01-09,40
2015-01-10,43
2015-01-11,41
2015-01-12,41
2015-01-13,38
2015-01-14,40
2015-01-15,38
2015-01-16,39
2015-01-17,41
2015-01-18,41
2015-01-19,38
2015-01-20,40
2015-01-21,38
2015-01-22,39
2015-01-23,40
2015-01-24,40
2015-01-25,41
2015-01-26,40
2015-01-27,38
2015-01-28,40
2015-01-29,40
2015-01-30,39
2015-01-31,42
2015-02-01,42
2015-02-02,38
2015-02-03,39
2015-02-04,39
2015-02-05,41
2015-02-06,40
2015-02-07,40
2015-02-08,42
2015-02-09,39
2015-02-10,41
2015-02-11,40
2015-02-12,41
2015-02-13,39
2015-02-14,38
2015-02-15,41
2015-02-16,40
2015-02-17,38
2015-02-18,39
2015-02-19,40
2015-02-20,41
2015-02-21,39
2015-02-22,38
2015-02-23,39
2015-02-24,40
2015-02-25,39
2015-02-26,42
2015-02-27,41
2015-02-28,42
2015-03-01,42
2015-03-02,40
2015-03-03,39
2015-03-04,39
2015-03-05,39
2015-03-06,39
2015-03-07,42
2015-03-08,42
2015-03-09,43
2015-03-10,40
2015-03-11,40
2015-03-12,41
2015-03-13,41
2015-03-14,43
2015-03-15,43
2015-03-16,42
2015-03-17,41
2015-03-18,40
2015-03-19,41
2015-03-20,41
2015-03-21,47
2015-03-22,44
2015-03-23,44
2015-03-24,44
2015-03-25,36
2015-03-26,47
2015-03-27,46
2015-03-28,51
2015-03-29,52
2015-03-30,47
2015-03-31,46
2015-04-01,48
2015-04-02,48
2015-04-03,50
2015-04-04,44
2015-04-05,45
2015-04-06,45
2015-04-07,42
2015-04-08,43
2015-04-09,41
2015-04-10,42
2015-04-11,45
2015-04-12,44
2015-04-13,44
2015-04-14,42
2015-04-15,43
2015-04-16,44
2015-04-17,44
2015-04-18,44
2015-04-19,44
2015-04-20,42
2015-04-21,42
2015-04-22,42
2015-04-23,43
2015-04-24,45
2015-04-25,47
2015-04-26,47
2015-04-27,45
2015-04-28,46
2015-04-29,45
2015-04-30,46
2015-05-01,46
2015-05-02,47
2015-05-03,45
2015-05-04,46
2015-05-05,44
2015-05-06,44
2015-05-07,43
2015-05-08,43
2015-05-09,48
2015-05-10,47
2015-05-11,47
2015-05-12,46
2015-05-13,44
2015-05-14,45
2015-05-15,45
2015-05-16,47
2015-05-17,47
2015-05-18,45
2015-05-19,45
2015-05-20,43
2015-05-21,43
2015-05-22,45
2015-05-23,47
2015-05-24,46
2015-05-25,46
2015-05-26,48
2015-05-27,46
2015-05-28,46
2015-05-29,48
2015-05-30,46
2015-05-31,51
2015-06-01,45
2015-06-02,43
2015-06-03,43
2015-06-04,43
2015-06-05,42
2015-06-06,45
2015-06-07,44
2015-06-08,43
2015-06-09,43
2015-06-10,42
2015-06-11,42
2015-06-12,44
2015-06-13,48
2015-06-14,47
2015-06-15,43
2015-06-16,46
2015-06-17,49
2015-06-18,49
2015-06-19,47
2015-06-20,53
2015-06-21,53
2015-06-22,48
2015-06-23,47
2015-06-24,48
2015-06-25,47
2015-06-26,49
2015-06-27,51
2015-06-28,52
2015-06-29,46
2015-06-30,45
2015-07-01,44
2015-07-02,47
2015-07-03,44
2015-07-04,48
2015-07-05,52
2015-07-06,47
2015-07-07,47
2015-07-08,46
2015-07-09,46
2015-07-10,45
2015-07-11,49
2015-07-12,50
2015-07-13,49
2015-07-14,46
2015-07-15,47
2015-07-16,47
2015-07-17,46
2015-07-18,49
2015-07-19,53
2015-07-20,48
2015-07-21,46
2015-07-22,48
2015-07-23,47
2015-07-24,47
2015-07-25,47
2015-07-26,50
2015-07-27,50
2015-07-28,47
2015-07-29,47
2015-07-30,46
2015-07-31,48
2015-08-01,51
2015-08-02,49
2015-08-03,47
2015-08-04,46
2015-08-05,46
2015-08-06,46
2015-08-07,45
2015-08-08,44
2015-08-09,46
2015-08-10,49
2015-08-11,47
2015-08-12,44
2015-08-13,45
2015-08-14,47
2015-08-15,45
2015-08-16,47
2015-08-17,47
2015-08-18,49
