date,JD,isPartial
2017-10-06,34,False
2017-10-07,40,False
2017-10-08,39,False
2017-10-09,34,False
2017-10-10,32,False
2017-10-11,33,False
2017-10-12,33,False
2017-10-13,34,False
2017-10-14,37,False
2017-10-15,41,False
2017-10-16,35,False
2017-10-17,34,False
2017-10-18,33,False
2017-10-19,34,False
2017-10-20,34,False
2017-10-21,38,False
2017-10-22,36,False
2017-10-23,36,False
2017-10-24,35,False
2017-10-25,35,False
2017-10-26,36,False
2017-10-27,34,False
2017-10-28,35,False
2017-10-29,36,False
2017-10-30,34,False
2017-10-31,32,False
2017-11-01,36,False
2017-11-02,36,False
2017-11-03,37,False
2017-11-04,37,False
2017-11-05,40,False
2017-11-06,38,False
2017-11-07,39,False
2017-11-08,36,False
2017-11-09,38,False
2017-11-10,39,False
2017-11-11,44,False
2017-11-12,45,False
2017-11-13,43,False
2017-11-14,41,False
2017-11-15,39,False
2017-11-16,40,False
2017-11-17,40,False
2017-11-18,44,False
2017-11-19,48,False
2017-11-20,46,False
2017-11-21,43,False
2017-11-22,49,False
2017-11-23,63,False
2017-11-24,100,False
2017-11-25,62,False
2017-11-26,61,False
2017-11-27,51,False
2017-11-28,41,False
2017-11-29,41,False
2017-11-30,42,False
2017-12-01,40,False
2017-12-02,46,False
2017-12-03,51,False
2017-12-04,43,False
2017-12-05,42,False
2017-12-06,43,False
2017-12-07,43,False
2017-12-08,41,False
2017-12-09,49,False
2017-12-10,48,False
2017-12-11,46,False
2017-12-12,45,False
2017-12-13,45,False
2017-12-14,44,False
2017-12-15,45,False
2017-12-16,49,False
2017-12-17,51,False
2017-12-18,47,False
2017-12-19,46,False
2017-12-20,46,False
2017-12-21,46,False
2017-12-22,43,False
2017-12-23,44,False
2017-12-24,43,False
2017-12-25,75,False
2017-12-26,95,False
2017-12-27,65,False
2017-12-28,59,False
2017-12-29,55,False
2017-12-30,50,False
2017-12-31,39,False
2018-01-01,41,False
2018-01-02,46,False
2018-01-03,44,False
2018-01-04,41,False
2018-01-05,40,False
2018-01-06,41,False
2018-01-07,41,False
2018-01-08,38,False
2018-01-09,38,False
2018-01-10,46,False
2018-01-11,37,False
2018-01-12,38,False
2018-01-13,41,False
2018-01-14,39,False
2018-01-15,36,False
2018-01-16,34,False
2018-01-17,34,False
2018-01-18,34,False
2018-01-19,35,False
2018-01-20,37,False
2018-01-21,37,False
2018-01-22,34,False
2018-01-23,31,False
2018-01-24,32,False
2018-01-25,34,False
2018-01-26,35,False
2018-01-27,35,False
2018-01-28,36,False
2018-01-29,36,False
2018-01-30,33,False
2018-01-31,32,False
2018-02-01,33,False
2018-02-02,32,False
2018-02-03,35,False
2018-02-04,36,False
2018-02-05,32,False
2018-02-06,32,False
2018-02-07,32,False
2018-02-08,34,False
2018-02-09,34,False
2018-02-10,37,False
2018-02-11,37,False
2018-02-12,35,False
2018-02-13,32,False
2018-02-14,31,False
2018-02-15,33,False
2018-02-16,33,False
2018-02-17,32,False
2018-02-18,35,False
2018-02-19,38,False
2018-02-20,42,False
2018-02-21,34,False
2018-02-22,33,False
2018-02-23,34,False
2018-02-24,37,False
2018-02-25,35,False
2018-02-26,36,False
2018-02-27,34,False
2018-02-28,31,False
2018-03-01,33,False
2018-03-02,35,False
2018-03-03,33,False
2018-03-04,33,False
2018-03-05,31,False
2018-03-06,32,False
2018-03-07,32,False
2018-03-08,32,False
2018-03-09,31,False
2018-03-10,33,False
2018-03-11,32,False
2018-03-12,34,False
2018-03-13,31,False
2018-03-14,33,False
2018-03-15,33,False
2018-03-16,34,False
2018-03-17,38,False
2018-03-18,36,False
2018-03-19,33,False
2018-03-20,33,False
2018-03-21,33,False
2018-03-22,35,False
2018-03-23,36,False
2018-03-24,40,False
2018-03-25,40,False
2018-03-26,39,False
2018-03-27,37,False
2018-03-28,36,False
2018-03-29,38,False
2018-03-30,40,False
2018-03-31,40,False
2018-04-01,37,False
2018-04-02,40,False
2018-04-03,37,False
2018-04-04,35,False
2018-04-05,36,False
2018-04-06,38,False
2018-04-07,40,False
2018-04-08,38,False
2018-04-09,37,False
2018-04-10,38,False
2018-04-11,36,False
2018-04-12,36,False
2018-04-13,38,False
2018-04-14,37,False
2018-04-15,37,False
2018-04-16,37,False
2018-04-17,36,False
2018-04-18,34,False
2018-04-19,34,False
2018-04-20,34,False
2018-04-21,35,False
2018-04-22,38,False
2018-04-23,36,False
2018-04-24,35,False
2018-04-25,34,False
2018-04-26,35,False
2018-04-27,36,False
2018-04-28,39,False
2018-04-29,39,False
2018-04-30,36,False
2018-05-01,37,False
2018-05-02,35,False
2018-05-03,35,False
2018-05-04,35,False
2018-05-05,37,False
2018-05-06,33,False
2018-05-07,35,False
2018-05-08,35,False
2018-05-09,34,False
2018-05-10,35,False
2018-05-11,35,False
2018-05-12,37,False
2018-05-13,37,False
2018-05-14,32,False
2018-05-15,36,False
2018-05-16,34,False
2018-05-17,34,False
2018-05-18,34,False
2018-05-19,34,False
2018-05-20,36,False
2018-05-21,35,False
2018-05-22,35,False
2018-05-23,34,False
2018-05-24,34,False
2018-05-25,36,False
2018-05-26,36,False
2018-05-27,36,False
2018-05-28,37,False
2018-05-29,37,False
2018-05-30,36,False
2018-05-31,39,False
2018-06-01,38,False
