date,CTSH,isPartial
2014-03-16,9,False
2014-03-17,38,False
2014-03-18,30,False
2014-03-19,33,False
2014-03-20,10,False
2014-03-21,21,False
2014-03-22,0,False
2014-03-23,3,False
2014-03-24,20,False
2014-03-25,15,False
2014-03-26,23,False
2014-03-27,28,False
2014-03-28,16,False
2014-03-29,3,False
2014-03-30,3,False
2014-03-31,32,False
2014-04-01,25,False
2014-04-02,28,False
2014-04-03,22,False
2014-04-04,16,False
2014-04-05,6,False
2014-04-06,6,False
2014-04-07,25,False
2014-04-08,20,False
2014-04-09,13,False
2014-04-10,18,False
2014-04-11,16,False
2014-04-12,9,False
2014-04-13,6,False
2014-04-14,28,False
2014-04-15,30,False
2014-04-16,26,False
2014-04-17,32,False
2014-04-18,12,False
2014-04-19,6,False
2014-04-20,10,False
2014-04-21,22,False
2014-04-22,27,False
2014-04-23,30,False
2014-04-24,23,False
2014-04-25,27,False
2014-04-26,3,False
2014-04-27,9,False
2014-04-28,17,False
2014-04-29,12,False
2014-04-30,23,False
2014-05-01,22,False
2014-05-02,11,False
2014-05-03,3,False
2014-05-04,3,False
2014-05-05,15,False
2014-05-06,30,False
2014-05-07,45,False
2014-05-08,23,False
2014-05-09,13,False
2014-05-10,6,False
2014-05-11,3,False
2014-05-12,34,False
2014-05-13,22,False
2014-05-14,13,False
2014-05-15,15,False
2014-05-16,10,False
2014-05-17,9,False
2014-05-18,12,False
2014-05-19,8,False
2014-05-20,20,False
2014-05-21,8,False
2014-05-22,8,False
2014-05-23,23,False
2014-05-24,3,False
2014-05-25,3,False
2014-05-26,9,False
2014-05-27,22,False
2014-05-28,27,False
2014-05-29,31,False
2014-05-30,12,False
2014-05-31,3,False
2014-06-01,0,False
2014-06-02,14,False
2014-06-03,11,False
2014-06-04,14,False
2014-06-05,20,False
2014-06-06,18,False
2014-06-07,7,False
2014-06-08,3,False
2014-06-09,11,False
2014-06-10,43,False
2014-06-11,38,False
2014-06-12,23,False
2014-06-13,20,False
2014-06-14,7,False
2014-06-15,0,False
2014-06-16,22,False
2014-06-17,22,False
2014-06-18,11,False
2014-06-19,11,False
2014-06-20,24,False
2014-06-21,0,False
2014-06-22,3,False
2014-06-23,34,False
2014-06-24,22,False
2014-06-25,25,False
2014-06-26,11,False
2014-06-27,24,False
2014-06-28,7,False
2014-06-29,3,False
2014-06-30,8,False
2014-07-01,14,False
2014-07-02,17,False
2014-07-03,20,False
2014-07-04,6,False
2014-07-05,0,False
