date,CTSH,isPartial
2014-07-24,24,False
2014-07-25,21,False
2014-07-26,4,False
2014-07-27,8,False
2014-07-28,20,False
2014-07-29,20,False
2014-07-30,14,False
2014-07-31,28,False
2014-08-01,18,False
2014-08-02,4,False
2014-08-03,8,False
2014-08-04,17,False
2014-08-05,37,False
2014-08-06,99,False
2014-08-07,83,False
2014-08-08,61,False
2014-08-09,4,False
2014-08-10,4,False
2014-08-11,51,False
2014-08-12,27,False
2014-08-13,23,False
2014-08-14,27,False
2014-08-15,22,False
2014-08-16,28,False
2014-08-17,12,False
2014-08-18,20,False
2014-08-19,20,False
2014-08-20,30,False
2014-08-21,27,False
2014-08-22,42,False
2014-08-23,4,False
2014-08-24,8,False
2014-08-25,23,False
2014-08-26,23,False
2014-08-27,20,False
2014-08-28,10,False
2014-08-29,14,False
2014-08-30,4,False
2014-08-31,12,False
2014-09-01,0,False
2014-09-02,28,False
2014-09-03,13,False
2014-09-04,32,False
2014-09-05,37,False
2014-09-06,15,False
2014-09-07,4,False
2014-09-08,29,False
2014-09-09,40,False
2014-09-10,16,False
2014-09-11,38,False
2014-09-12,27,False
2014-09-13,11,False
2014-09-14,0,False
2014-09-15,79,False
2014-09-16,41,False
2014-09-17,35,False
2014-09-18,25,False
2014-09-19,37,False
2014-09-20,4,False
2014-09-21,4,False
2014-09-22,19,False
2014-09-23,28,False
2014-09-24,22,False
2014-09-25,25,False
2014-09-26,17,False
2014-09-27,4,False
2014-09-28,4,False
2014-09-29,9,False
2014-09-30,22,False
2014-10-01,16,False
2014-10-02,29,False
2014-10-03,17,False
2014-10-04,12,False
2014-10-05,0,False
2014-10-06,25,False
2014-10-07,22,False
2014-10-08,28,False
2014-10-09,22,False
2014-10-10,26,False
2014-10-11,11,False
2014-10-12,0,False
2014-10-13,28,False
2014-10-14,18,False
2014-10-15,31,False
2014-10-16,28,False
2014-10-17,29,False
2014-10-18,7,False
2014-10-19,7,False
2014-10-20,31,False
2014-10-21,18,False
2014-10-22,28,False
2014-10-23,25,False
2014-10-24,13,False
2014-10-25,11,False
2014-10-26,7,False
2014-10-27,37,False
2014-10-28,24,False
2014-10-29,34,False
2014-10-30,19,False
2014-10-31,17,False
2014-11-01,7,False
2014-11-02,7,False
2014-11-03,19,False
2014-11-04,49,False
2014-11-05,100,False
2014-11-06,80,False
2014-11-07,58,False
2014-11-08,4,False
2014-11-09,7,False
2014-11-10,40,False
2014-11-11,21,False
2014-11-12,34,False
2014-11-13,33,False
2014-11-14,28,False
2014-11-15,14,False
2014-11-16,7,False
2014-11-17,36,False
2014-11-18,26,False
2014-11-19,56,False
2014-11-20,31,False
2014-11-21,16,False
2014-11-22,0,False
2014-11-23,11,False
2014-11-24,30,False
2014-11-25,15,False
2014-11-26,36,False
2014-11-27,6,False
2014-11-28,13,False
2014-11-29,7,False
2014-11-30,7,False
2014-12-01,24,False
2014-12-02,24,False
2014-12-03,15,False
2014-12-04,27,False
2014-12-05,29,False
2014-12-06,26,False
2014-12-07,4,False
2014-12-08,18,False
2014-12-09,36,False
2014-12-10,15,False
2014-12-11,22,False
2014-12-12,29,False
2014-12-13,18,False
2014-12-14,0,False
2014-12-15,43,False
2014-12-16,28,False
2014-12-17,28,False
2014-12-18,19,False
2014-12-19,13,False
2014-12-20,4,False
2014-12-21,8,False
2014-12-22,16,False
2014-12-23,17,False
2014-12-24,11,False
2014-12-25,0,False
2014-12-26,22,False
2014-12-27,15,False
2014-12-28,7,False
2014-12-29,16,False
2014-12-30,20,False
2014-12-31,33,False
2015-01-01,12,False
2015-01-02,17,False
2015-01-03,11,False
2015-01-04,7,False
2015-01-05,24,False
2015-01-06,27,False
2015-01-07,21,False
2015-01-08,29,False
2015-01-09,9,False
2015-01-10,14,False
2015-01-11,7,False
2015-01-12,18,False
2015-01-13,29,False
2015-01-14,15,False
2015-01-15,20,False
2015-01-16,33,False
2015-01-17,0,False
2015-01-18,10,False
2015-01-19,9,False
2015-01-20,12,False
2015-01-21,29,False
2015-01-22,15,False
2015-01-23,30,False
2015-01-24,3,False
2015-01-25,7,False
2015-01-26,17,False
2015-01-27,14,False
2015-01-28,17,False
2015-01-29,29,False
2015-01-30,15,False
2015-01-31,10,False
2015-02-01,7,False
2015-02-02,26,False
2015-02-03,23,False
2015-02-04,95,False
2015-02-05,50,False
2015-02-06,27,False
2015-02-07,30,False
2015-02-08,7,False
2015-02-09,31,False
2015-02-10,25,False
2015-02-11,37,False
2015-02-12,44,False
2015-02-13,39,False
2015-02-14,10,False
2015-02-15,7,False
2015-02-16,15,False
2015-02-17,35,False
2015-02-18,53,False
2015-02-19,38,False
2015-02-20,33,False
2015-02-21,17,False
2015-02-22,7,False
2015-02-23,39,False
2015-02-24,34,False
2015-02-25,40,False
2015-02-26,35,False
2015-02-27,32,False
2015-02-28,10,False
2015-03-01,10,False
2015-03-02,39,False
2015-03-03,48,False
2015-03-04,26,False
2015-03-05,32,False
2015-03-06,33,False
2015-03-07,20,False
2015-03-08,0,False
2015-03-09,26,False
2015-03-10,28,False
2015-03-11,17,False
2015-03-12,23,False
