date,SRCL
2011-09-18,25
2011-09-19,0
2011-09-20,20
2011-09-21,41
2011-09-22,21
2011-09-23,76
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,70
2011-09-28,40
2011-09-29,21
2011-09-30,22
2011-10-01,26
2011-10-02,50
2011-10-03,20
2011-10-04,30
2011-10-05,20
2011-10-06,20
2011-10-07,21
2011-10-08,0
2011-10-09,24
2011-10-10,20
2011-10-11,0
2011-10-12,39
2011-10-13,60
2011-10-14,42
2011-10-15,25
2011-10-16,24
2011-10-17,30
2011-10-18,59
2011-10-19,40
2011-10-20,20
2011-10-21,21
2011-10-22,25
2011-10-23,0
2011-10-24,39
2011-10-25,20
2011-10-26,20
2011-10-27,100
2011-10-28,32
2011-10-29,25
2011-10-30,24
2011-10-31,41
2011-11-01,41
2011-11-02,70
2011-11-03,80
2011-11-04,31
2011-11-05,24
2011-11-06,0
2011-11-07,39
2011-11-08,19
2011-11-09,49
2011-11-10,40
2011-11-11,52
2011-11-12,49
2011-11-13,94
2011-11-14,39
2011-11-15,29
2011-11-16,29
2011-11-17,0
2011-11-18,31
2011-11-19,0
2011-11-20,24
2011-11-21,0
2011-11-22,19
2011-11-23,20
2011-11-24,31
2011-11-25,21
2011-11-26,24
2011-11-27,23
2011-11-28,19
2011-11-29,28
2011-11-30,29
2011-12-01,39
2011-12-02,41
2011-12-03,23
2011-12-04,0
2011-12-05,19
2011-12-06,19
2011-12-07,38
2011-12-08,20
2011-12-09,20
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,19
2011-12-14,19
2011-12-15,29
2011-12-16,20
2011-12-17,24
2011-12-18,0
2011-12-19,39
2011-12-20,39
2011-12-21,20
2011-12-22,62
2011-12-23,34
2011-12-24,0
2011-12-25,0
2011-12-26,23
2011-12-27,21
2011-12-28,21
2011-12-29,0
2011-12-30,22
2011-12-31,38
2012-01-01,0
2012-01-02,20
2012-01-03,38
2012-01-04,19
2012-01-05,57
2012-01-06,20
2012-01-07,46
2012-01-08,22
2012-01-09,28
2012-01-10,18
2012-01-11,0
2012-01-12,28
2012-01-13,38
2012-01-14,0
2012-01-15,0
2012-01-16,72
2012-01-17,36
2012-01-18,0
2012-01-19,27
2012-01-20,19
2012-01-21,22
2012-01-22,0
2012-01-23,54
2012-01-24,27
2012-01-25,18
2012-01-26,75
2012-01-27,38
2012-01-28,0
2012-01-29,22
2012-01-30,44
2012-01-31,62
2012-02-01,18
2012-02-02,0
2012-02-03,38
2012-02-04,22
2012-02-05,21
2012-02-06,27
2012-02-07,36
2012-02-08,36
2012-02-09,54
2012-02-10,28
2012-02-11,0
2012-02-12,21
2012-02-13,26
2012-02-14,0
2012-02-15,45
2012-02-16,36
2012-02-17,38
2012-02-18,22
2012-02-19,0
2012-02-20,55
2012-02-21,46
2012-02-22,36
2012-02-23,72
2012-02-24,37
2012-02-25,21
2012-02-26,21
2012-02-27,44
2012-02-28,44
2012-02-29,18
2012-03-01,19
2012-03-02,29
2012-03-03,0
2012-03-04,0
2012-03-05,36
2012-03-06,35
2012-03-07,35
2012-03-08,63
2012-03-09,37
2012-03-10,21
2012-03-11,21
2012-03-12,35
2012-03-13,18
2012-03-14,18
2012-03-15,36
2012-03-16,19
2012-03-17,0
2012-03-18,0
2012-03-19,18
2012-03-20,62
2012-03-21,27
2012-03-22,54
2012-03-23,19
2012-03-24,0
2012-03-25,0
2012-03-26,89
2012-03-27,18
2012-03-28,18
2012-03-29,36
2012-03-30,57
2012-03-31,22
2012-04-01,33
2012-04-02,18
2012-04-03,18
2012-04-04,28
2012-04-05,28
2012-04-06,42
2012-04-07,23
2012-04-08,0
2012-04-09,42
2012-04-10,28
2012-04-11,27
2012-04-12,27
2012-04-13,19
2012-04-14,0
2012-04-15,0
2012-04-16,35
2012-04-17,44
2012-04-18,44
2012-04-19,18
2012-04-20,19
2012-04-21,21
2012-04-22,0
2012-04-23,18
2012-04-24,17
2012-04-25,44
2012-04-26,27
2012-04-27,56
2012-04-28,0
2012-04-29,0
2012-04-30,46
2012-05-01,29
2012-05-02,27
2012-05-03,27
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,35
2012-05-08,35
2012-05-09,35
2012-05-10,54
2012-05-11,18
2012-05-12,22
2012-05-13,22
2012-05-14,0
2012-05-15,17
2012-05-16,26
2012-05-17,37
2012-05-18,56
2012-05-19,0
2012-05-20,22
2012-05-21,35
2012-05-22,17
2012-05-23,18
2012-05-24,18
2012-05-25,38
2012-05-26,0
2012-05-27,0
2012-05-28,19
2012-05-29,52
2012-05-30,17
2012-05-31,44
2012-06-01,27
2012-06-02,44
2012-06-03,0
2012-06-04,0
