date,SRCL
2016-05-04,57
2016-05-05,30
2016-05-06,40
2016-05-07,11
2016-05-08,11
2016-05-09,38
2016-05-10,24
2016-05-11,43
2016-05-12,48
2016-05-13,30
2016-05-14,17
2016-05-15,22
2016-05-16,24
2016-05-17,42
2016-05-18,48
2016-05-19,48
2016-05-20,45
2016-05-21,11
2016-05-22,11
2016-05-23,43
2016-05-24,38
2016-05-25,29
2016-05-26,35
2016-05-27,36
2016-05-28,17
2016-05-29,17
2016-05-30,20
2016-05-31,28
2016-06-01,29
2016-06-02,29
2016-06-03,20
2016-06-04,11
2016-06-05,23
2016-06-06,19
2016-06-07,14
2016-06-08,44
2016-06-09,39
2016-06-10,41
2016-06-11,0
2016-06-12,22
2016-06-13,24
2016-06-14,28
2016-06-15,29
2016-06-16,24
2016-06-17,35
2016-06-18,23
2016-06-19,11
2016-06-20,9
2016-06-21,58
2016-06-22,29
2016-06-23,20
2016-06-24,20
2016-06-25,0
2016-06-26,11
2016-06-27,10
2016-06-28,48
2016-06-29,44
2016-06-30,30
2016-07-01,31
2016-07-02,12
2016-07-03,0
2016-07-04,25
2016-07-05,40
2016-07-06,51
2016-07-07,45
2016-07-08,21
2016-07-09,0
2016-07-10,12
2016-07-11,29
2016-07-12,24
2016-07-13,50
2016-07-14,30
2016-07-15,10
2016-07-16,12
2016-07-17,12
2016-07-18,49
2016-07-19,20
2016-07-20,49
2016-07-21,35
2016-07-22,30
2016-07-23,0
2016-07-24,0
2016-07-25,10
2016-07-26,29
2016-07-27,20
2016-07-28,65
2016-07-29,93
2016-07-30,0
2016-07-31,12
2016-08-01,20
2016-08-02,24
2016-08-03,25
2016-08-04,55
2016-08-05,36
2016-08-06,24
2016-08-07,12
2016-08-08,44
2016-08-09,34
2016-08-10,29
2016-08-11,20
2016-08-12,20
2016-08-13,17
2016-08-14,0
2016-08-15,21
2016-08-16,29
2016-08-17,39
2016-08-18,40
2016-08-19,25
2016-08-20,11
2016-08-21,11
2016-08-22,38
2016-08-23,44
2016-08-24,34
2016-08-25,29
2016-08-26,15
2016-08-27,17
2016-08-28,11
2016-08-29,14
2016-08-30,38
2016-08-31,47
2016-09-01,34
2016-09-02,30
2016-09-03,11
2016-09-04,0
2016-09-05,44
2016-09-06,47
2016-09-07,38
2016-09-08,28
2016-09-09,29
2016-09-10,11
2016-09-11,22
2016-09-12,43
2016-09-13,61
2016-09-14,38
2016-09-15,29
2016-09-16,39
2016-09-17,22
2016-09-18,11
2016-09-19,69
2016-09-20,73
2016-09-21,19
2016-09-22,61
2016-09-23,24
2016-09-24,11
2016-09-25,11
2016-09-26,23
2016-09-27,37
2016-09-28,41
2016-09-29,37
2016-09-30,29
2016-10-01,11
2016-10-02,0
2016-10-03,41
2016-10-04,23
2016-10-05,50
2016-10-06,37
2016-10-07,33
2016-10-08,0
2016-10-09,16
2016-10-10,28
2016-10-11,37
2016-10-12,42
2016-10-13,51
2016-10-14,33
2016-10-15,16
2016-10-16,11
2016-10-17,36
2016-10-18,45
2016-10-19,23
2016-10-20,32
2016-10-21,19
2016-10-22,21
2016-10-23,0
2016-10-24,54
2016-10-25,41
2016-10-26,31
2016-10-27,64
2016-10-28,100
2016-10-29,27
2016-10-30,16
2016-10-31,23
2016-11-01,28
2016-11-02,27
2016-11-03,27
2016-11-04,23
2016-11-05,15
2016-11-06,31
2016-11-07,26
2016-11-08,44
2016-11-09,37
2016-11-10,27
2016-11-11,23
2016-11-12,0
2016-11-13,16
2016-11-14,27
2016-11-15,9
2016-11-16,18
2016-11-17,32
2016-11-18,52
2016-11-19,16
2016-11-20,10
2016-11-21,44
2016-11-22,45
2016-11-23,41
2016-11-24,9
2016-11-25,19
2016-11-26,10
2016-11-27,10
2016-11-28,35
2016-11-29,26
2016-11-30,31
2016-12-01,27
2016-12-02,23
2016-12-03,10
2016-12-04,10
2016-12-05,22
2016-12-06,31
2016-12-07,18
2016-12-08,23
2016-12-09,33
2016-12-10,0
2016-12-11,21
2016-12-12,40
2016-12-13,18
2016-12-14,40
2016-12-15,27
2016-12-16,19
2016-12-17,21
2016-12-18,11
2016-12-19,14
2016-12-20,28
2016-12-21,24
2016-12-22,14
2016-12-23,30
2016-12-24,23
2016-12-25,12
2016-12-26,10
2016-12-27,9
2016-12-28,19
2016-12-29,10
2016-12-30,20
2016-12-31,33
2017-01-01,11
2017-01-02,19
2017-01-03,9
2017-01-04,22
2017-01-05,40
2017-01-06,28
2017-01-07,20
2017-01-08,15
2017-01-09,31
2017-01-10,13
2017-01-11,22
2017-01-12,48
2017-01-13,31
2017-01-14,10
2017-01-15,10
2017-01-16,26
2017-01-17,35
2017-01-18,22
2017-01-19,13
