date,SRCL
2016-09-11,15
2016-09-12,51
2016-09-13,44
2016-09-14,38
2016-09-15,52
2016-09-16,53
2016-09-17,45
2016-09-18,14
2016-09-19,56
2016-09-20,87
2016-09-21,37
2016-09-22,57
2016-09-23,73
2016-09-24,30
2016-09-25,0
2016-09-26,37
2016-09-27,31
2016-09-28,50
2016-09-29,37
2016-09-30,39
2016-10-01,15
2016-10-02,14
2016-10-03,31
2016-10-04,37
2016-10-05,69
2016-10-06,62
2016-10-07,64
2016-10-08,44
2016-10-09,21
2016-10-10,50
2016-10-11,68
2016-10-12,44
2016-10-13,80
2016-10-14,26
2016-10-15,14
2016-10-16,21
2016-10-17,42
2016-10-18,54
2016-10-19,24
2016-10-20,36
2016-10-21,25
2016-10-22,29
2016-10-23,14
2016-10-24,37
2016-10-25,36
2016-10-26,61
2016-10-27,55
2016-10-28,84
2016-10-29,22
2016-10-30,36
2016-10-31,50
2016-11-01,50
2016-11-02,62
2016-11-03,48
2016-11-04,44
2016-11-05,28
2016-11-06,14
2016-11-07,35
2016-11-08,65
2016-11-09,45
2016-11-10,43
2016-11-11,25
2016-11-12,14
2016-11-13,0
2016-11-14,42
2016-11-15,42
2016-11-16,36
2016-11-17,37
2016-11-18,31
2016-11-19,35
2016-11-20,21
2016-11-21,48
2016-11-22,36
2016-11-23,12
2016-11-24,19
2016-11-25,19
2016-11-26,0
2016-11-27,14
2016-11-28,47
2016-11-29,71
2016-11-30,30
2016-12-01,72
2016-12-02,25
2016-12-03,0
2016-12-04,14
2016-12-05,47
2016-12-06,48
2016-12-07,42
2016-12-08,31
2016-12-09,25
2016-12-10,16
2016-12-11,14
2016-12-12,36
2016-12-13,36
2016-12-14,48
2016-12-15,24
2016-12-16,52
2016-12-17,14
2016-12-18,0
2016-12-19,36
2016-12-20,38
2016-12-21,26
2016-12-22,65
2016-12-23,27
2016-12-24,16
2016-12-25,0
2016-12-26,14
2016-12-27,0
2016-12-28,19
2016-12-29,45
2016-12-30,13
2016-12-31,30
2017-01-01,0
2017-01-02,0
2017-01-03,24
2017-01-04,54
2017-01-05,12
2017-01-06,63
2017-01-07,27
2017-01-08,20
2017-01-09,41
2017-01-10,23
2017-01-11,41
2017-01-12,41
2017-01-13,36
2017-01-14,27
2017-01-15,40
2017-01-16,23
2017-01-17,35
2017-01-18,41
2017-01-19,64
2017-01-20,12
2017-01-21,34
2017-01-22,13
2017-01-23,29
2017-01-24,47
2017-01-25,47
2017-01-26,47
2017-01-27,73
2017-01-28,27
2017-01-29,20
2017-01-30,52
2017-01-31,35
2017-02-01,58
2017-02-02,35
2017-02-03,54
2017-02-04,20
2017-02-05,13
2017-02-06,57
2017-02-07,57
2017-02-08,35
2017-02-09,46
2017-02-10,48
2017-02-11,20
2017-02-12,20
2017-02-13,40
2017-02-14,35
2017-02-15,29
2017-02-16,100
2017-02-17,42
2017-02-18,13
2017-02-19,13
2017-02-20,46
2017-02-21,69
2017-02-22,40
2017-02-23,58
2017-02-24,30
2017-02-25,27
2017-02-26,27
2017-02-27,23
2017-02-28,59
2017-03-01,52
2017-03-02,69
2017-03-03,36
2017-03-04,26
2017-03-05,20
2017-03-06,11
2017-03-07,45
2017-03-08,45
2017-03-09,29
2017-03-10,12
2017-03-11,27
2017-03-12,26
2017-03-13,40
2017-03-14,68
2017-03-15,52
2017-03-16,23
2017-03-17,24
2017-03-18,0
2017-03-19,13
2017-03-20,17
2017-03-21,23
2017-03-22,34
2017-03-23,12
2017-03-24,30
2017-03-25,0
2017-03-26,0
2017-03-27,40
2017-03-28,34
2017-03-29,46
2017-03-30,77
2017-03-31,30
2017-04-01,20
