date,SRCL
2014-07-24,34
2014-07-25,64
2014-07-26,25
2014-07-27,25
2014-07-28,41
2014-07-29,27
2014-07-30,51
2014-07-31,75
2014-08-01,43
2014-08-02,25
2014-08-03,0
2014-08-04,51
2014-08-05,34
2014-08-06,54
2014-08-07,29
2014-08-08,22
2014-08-09,24
2014-08-10,24
2014-08-11,27
2014-08-12,29
2014-08-13,20
2014-08-14,41
2014-08-15,22
2014-08-16,0
2014-08-17,24
2014-08-18,40
2014-08-19,33
2014-08-20,33
2014-08-21,40
2014-08-22,62
2014-08-23,24
2014-08-24,0
2014-08-25,20
2014-08-26,19
2014-08-27,29
2014-08-28,33
2014-08-29,41
2014-08-30,36
2014-08-31,23
2014-09-01,39
2014-09-02,38
2014-09-03,51
2014-09-04,29
2014-09-05,100
2014-09-06,23
2014-09-07,46
2014-09-08,57
2014-09-09,44
2014-09-10,38
2014-09-11,19
2014-09-12,30
2014-09-13,23
2014-09-14,0
2014-09-15,38
2014-09-16,19
2014-09-17,19
2014-09-18,48
2014-09-19,40
2014-09-20,0
2014-09-21,33
2014-09-22,38
2014-09-23,38
2014-09-24,57
2014-09-25,57
2014-09-26,26
2014-09-27,23
2014-09-28,23
2014-09-29,28
2014-09-30,19
2014-10-01,48
2014-10-02,58
2014-10-03,48
2014-10-04,0
2014-10-05,0
2014-10-06,37
2014-10-07,37
2014-10-08,84
2014-10-09,19
2014-10-10,39
2014-10-11,23
2014-10-12,22
2014-10-13,31
2014-10-14,31
2014-10-15,49
2014-10-16,44
2014-10-17,45
2014-10-18,23
2014-10-19,33
2014-10-20,55
2014-10-21,37
2014-10-22,49
2014-10-23,25
2014-10-24,58
2014-10-25,45
2014-10-26,0
2014-10-27,36
2014-10-28,43
2014-10-29,68
2014-10-30,43
2014-10-31,69
2014-11-01,22
2014-11-02,21
2014-11-03,92
2014-11-04,18
2014-11-05,36
2014-11-06,37
2014-11-07,26
2014-11-08,22
2014-11-09,21
2014-11-10,37
2014-11-11,18
2014-11-12,36
2014-11-13,37
2014-11-14,32
2014-11-15,0
2014-11-16,31
2014-11-17,54
2014-11-18,59
2014-11-19,19
2014-11-20,43
2014-11-21,29
2014-11-22,32
2014-11-23,32
2014-11-24,27
2014-11-25,54
2014-11-26,30
2014-11-27,57
2014-11-28,26
2014-11-29,21
2014-11-30,21
2014-12-01,35
2014-12-02,18
2014-12-03,54
2014-12-04,43
2014-12-05,67
2014-12-06,22
2014-12-07,21
2014-12-08,37
2014-12-09,47
2014-12-10,36
2014-12-11,31
2014-12-12,48
2014-12-13,22
2014-12-14,0
2014-12-15,42
2014-12-16,49
2014-12-17,19
2014-12-18,51
2014-12-19,20
2014-12-20,22
2014-12-21,34
2014-12-22,19
2014-12-23,40
2014-12-24,30
2014-12-25,0
2014-12-26,0
2014-12-27,22
2014-12-28,22
2014-12-29,32
2014-12-30,0
2014-12-31,22
2015-01-01,0
2015-01-02,20
2015-01-03,21
2015-01-04,21
2015-01-05,42
2015-01-06,30
2015-01-07,18
2015-01-08,47
2015-01-09,18
2015-01-10,41
2015-01-11,0
2015-01-12,35
2015-01-13,26
2015-01-14,47
2015-01-15,26
2015-01-16,45
2015-01-17,20
2015-01-18,20
2015-01-19,52
2015-01-20,34
2015-01-21,63
2015-01-22,29
2015-01-23,18
2015-01-24,20
2015-01-25,20
2015-01-26,34
2015-01-27,26
2015-01-28,26
2015-01-29,26
2015-01-30,48
2015-01-31,20
2015-02-01,20
2015-02-02,52
2015-02-03,46
2015-02-04,60
2015-02-05,46
2015-02-06,60
2015-02-07,41
2015-02-08,20
2015-02-09,45
2015-02-10,43
2015-02-11,40
2015-02-12,29
2015-02-13,42
2015-02-14,0
2015-02-15,41
2015-02-16,36
2015-02-17,53
2015-02-18,47
2015-02-19,46
2015-02-20,43
2015-02-21,20
2015-02-22,27
2015-02-23,40
2015-02-24,40
2015-02-25,57
2015-02-26,52
2015-02-27,77
2015-02-28,30
2015-03-01,20
2015-03-02,50
2015-03-03,45
2015-03-04,17
2015-03-05,52
2015-03-06,84
2015-03-07,20
2015-03-08,20
2015-03-09,51
2015-03-10,51
2015-03-11,51
2015-03-12,29
2015-03-13,53
2015-03-14,40
2015-03-15,20
2015-03-16,23
2015-03-17,52
2015-03-18,46
2015-03-19,63
2015-03-20,44
2015-03-21,0
2015-03-22,20
2015-03-23,40
2015-03-24,74
2015-03-25,50
2015-03-26,59
2015-03-27,48
2015-03-28,33
2015-03-29,21
2015-03-30,45
2015-03-31,34
2015-04-01,26
2015-04-02,18
2015-04-03,20
2015-04-04,0
2015-04-05,21
2015-04-06,18
2015-04-07,40
2015-04-08,57
2015-04-09,23
2015-04-10,18
