date,SRCL
2016-08-02,33
2016-08-03,39
2016-08-04,51
2016-08-05,41
2016-08-06,13
2016-08-07,13
2016-08-08,28
2016-08-09,34
2016-08-10,34
2016-08-11,17
2016-08-12,23
2016-08-13,20
2016-08-14,0
2016-08-15,23
2016-08-16,50
2016-08-17,34
2016-08-18,50
2016-08-19,36
2016-08-20,0
2016-08-21,19
2016-08-22,28
2016-08-23,61
2016-08-24,45
2016-08-25,51
2016-08-26,12
2016-08-27,19
2016-08-28,13
2016-08-29,65
2016-08-30,38
2016-08-31,27
2016-09-01,44
2016-09-02,23
2016-09-03,13
2016-09-04,19
2016-09-05,44
2016-09-06,49
2016-09-07,49
2016-09-08,49
2016-09-09,50
2016-09-10,13
2016-09-11,12
2016-09-12,43
2016-09-13,16
2016-09-14,43
2016-09-15,33
2016-09-16,56
2016-09-17,32
2016-09-18,12
2016-09-19,95
2016-09-20,63
2016-09-21,48
2016-09-22,91
2016-09-23,22
2016-09-24,32
2016-09-25,25
2016-09-26,27
2016-09-27,42
2016-09-28,59
2016-09-29,37
2016-09-30,33
2016-10-01,12
2016-10-02,0
2016-10-03,37
2016-10-04,26
2016-10-05,42
2016-10-06,42
2016-10-07,32
2016-10-08,12
2016-10-09,18
2016-10-10,27
2016-10-11,37
2016-10-12,75
2016-10-13,42
2016-10-14,49
2016-10-15,0
2016-10-16,12
2016-10-17,31
2016-10-18,51
2016-10-19,37
2016-10-20,31
2016-10-21,22
2016-10-22,18
2016-10-23,24
2016-10-24,47
2016-10-25,51
2016-10-26,10
2016-10-27,42
2016-10-28,87
2016-10-29,50
2016-10-30,24
2016-10-31,27
2016-11-01,38
2016-11-02,42
2016-11-03,52
2016-11-04,48
2016-11-05,12
2016-11-06,23
2016-11-07,20
2016-11-08,61
2016-11-09,43
2016-11-10,42
2016-11-11,22
2016-11-12,12
2016-11-13,12
2016-11-14,30
2016-11-15,20
2016-11-16,20
2016-11-17,37
2016-11-18,54
2016-11-19,12
2016-11-20,46
2016-11-21,25
2016-11-22,51
2016-11-23,41
2016-11-24,21
2016-11-25,21
2016-11-26,0
2016-11-27,23
2016-11-28,35
2016-11-29,20
2016-11-30,41
2016-12-01,10
2016-12-02,37
2016-12-03,0
2016-12-04,12
2016-12-05,25
2016-12-06,20
2016-12-07,15
2016-12-08,21
2016-12-09,38
2016-12-10,0
2016-12-11,18
2016-12-12,40
2016-12-13,20
2016-12-14,26
2016-12-15,21
2016-12-16,32
2016-12-17,18
2016-12-18,12
2016-12-19,21
2016-12-20,27
2016-12-21,16
2016-12-22,27
2016-12-23,12
2016-12-24,13
2016-12-25,13
2016-12-26,11
2016-12-27,11
2016-12-28,22
2016-12-29,11
2016-12-30,17
2016-12-31,25
2017-01-01,0
2017-01-02,33
2017-01-03,31
2017-01-04,20
2017-01-05,41
2017-01-06,32
2017-01-07,17
2017-01-08,12
2017-01-09,40
2017-01-10,29
2017-01-11,54
2017-01-12,65
2017-01-13,51
2017-01-14,11
2017-01-15,12
2017-01-16,10
2017-01-17,35
2017-01-18,49
2017-01-19,29
2017-01-20,26
2017-01-21,12
2017-01-22,11
2017-01-23,34
2017-01-24,44
2017-01-25,30
2017-01-26,35
2017-01-27,67
2017-01-28,17
2017-01-29,12
2017-01-30,44
2017-01-31,55
2017-02-01,44
2017-02-02,54
2017-02-03,41
2017-02-04,12
2017-02-05,0
2017-02-06,34
2017-02-07,29
2017-02-08,29
2017-02-09,44
2017-02-10,56
2017-02-11,23
2017-02-12,11
2017-02-13,44
2017-02-14,40
2017-02-15,40
2017-02-16,100
2017-02-17,36
2017-02-18,11
2017-02-19,11
2017-02-20,15
2017-02-21,64
2017-02-22,39
2017-02-23,54
2017-02-24,31
2017-02-25,0
2017-02-26,23
2017-02-27,35
2017-02-28,40
2017-03-01,49
2017-03-02,49
2017-03-03,41
2017-03-04,17
2017-03-05,17
2017-03-06,34
2017-03-07,47
2017-03-08,19
2017-03-09,49
2017-03-10,20
2017-03-11,11
2017-03-12,22
2017-03-13,39
2017-03-14,53
2017-03-15,34
2017-03-16,24
2017-03-17,41
2017-03-18,11
2017-03-19,22
2017-03-20,29
2017-03-21,34
2017-03-22,39
2017-03-23,25
2017-03-24,21
2017-03-25,12
2017-03-26,12
2017-03-27,19
2017-03-28,34
2017-03-29,30
2017-03-30,45
2017-03-31,36
2017-04-01,35
2017-04-02,0
2017-04-03,10
2017-04-04,45
2017-04-05,20
2017-04-06,0
2017-04-07,26
2017-04-08,12
2017-04-09,23
2017-04-10,15
2017-04-11,15
2017-04-12,20
2017-04-13,21
2017-04-14,34
2017-04-15,0
2017-04-16,12
2017-04-17,26
2017-04-18,24
