date,SRCL
2011-05-11,33
2011-05-12,46
2011-05-13,24
2011-05-14,28
2011-05-15,0
2011-05-16,44
2011-05-17,45
2011-05-18,45
2011-05-19,34
2011-05-20,24
2011-05-21,29
2011-05-22,28
2011-05-23,66
2011-05-24,44
2011-05-25,68
2011-05-26,34
2011-05-27,0
2011-05-28,29
2011-05-29,44
2011-05-30,0
2011-05-31,44
2011-06-01,23
2011-06-02,24
2011-06-03,24
2011-06-04,0
2011-06-05,28
2011-06-06,22
2011-06-07,0
2011-06-08,67
2011-06-09,22
2011-06-10,24
2011-06-11,0
2011-06-12,0
2011-06-13,23
2011-06-14,76
2011-06-15,0
2011-06-16,22
2011-06-17,47
2011-06-18,0
2011-06-19,0
2011-06-20,44
2011-06-21,0
2011-06-22,0
2011-06-23,35
2011-06-24,48
2011-06-25,43
2011-06-26,0
2011-06-27,0
2011-06-28,77
2011-06-29,22
2011-06-30,45
2011-07-01,73
2011-07-02,0
2011-07-03,29
2011-07-04,24
2011-07-05,45
2011-07-06,56
2011-07-07,69
2011-07-08,24
2011-07-09,0
2011-07-10,29
2011-07-11,45
2011-07-12,22
2011-07-13,23
2011-07-14,46
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,22
2011-07-19,22
2011-07-20,23
2011-07-21,0
2011-07-22,36
2011-07-23,0
2011-07-24,0
2011-07-25,67
2011-07-26,22
2011-07-27,45
2011-07-28,23
2011-07-29,36
2011-07-30,0
2011-07-31,0
2011-08-01,46
2011-08-02,23
2011-08-03,90
2011-08-04,23
2011-08-05,59
2011-08-06,28
2011-08-07,28
2011-08-08,77
2011-08-09,65
2011-08-10,67
2011-08-11,67
2011-08-12,35
2011-08-13,0
2011-08-14,0
2011-08-15,46
2011-08-16,44
2011-08-17,34
2011-08-18,22
2011-08-19,46
2011-08-20,0
2011-08-21,0
2011-08-22,54
2011-08-23,21
2011-08-24,21
2011-08-25,21
2011-08-26,23
2011-08-27,53
2011-08-28,0
2011-08-29,43
2011-08-30,21
2011-08-31,21
2011-09-01,22
2011-09-02,0
2011-09-03,0
2011-09-04,26
2011-09-05,64
2011-09-06,41
2011-09-07,52
2011-09-08,42
2011-09-09,43
2011-09-10,0
2011-09-11,25
2011-09-12,0
2011-09-13,41
2011-09-14,51
2011-09-15,41
2011-09-16,22
2011-09-17,26
2011-09-18,0
2011-09-19,0
2011-09-20,61
2011-09-21,41
2011-09-22,31
2011-09-23,87
2011-09-24,0
2011-09-25,25
2011-09-26,20
2011-09-27,60
2011-09-28,41
2011-09-29,31
2011-09-30,33
2011-10-01,26
2011-10-02,0
2011-10-03,20
2011-10-04,30
2011-10-05,0
2011-10-06,61
2011-10-07,42
2011-10-08,0
2011-10-09,24
2011-10-10,30
2011-10-11,19
2011-10-12,39
2011-10-13,30
2011-10-14,42
2011-10-15,0
2011-10-16,73
2011-10-17,20
2011-10-18,100
2011-10-19,50
2011-10-20,30
2011-10-21,0
2011-10-22,25
2011-10-23,24
2011-10-24,39
2011-10-25,30
2011-10-26,20
2011-10-27,60
2011-10-28,42
2011-10-29,25
2011-10-30,24
2011-10-31,20
2011-11-01,21
2011-11-02,20
2011-11-03,50
2011-11-04,20
2011-11-05,36
2011-11-06,0
2011-11-07,40
2011-11-08,29
2011-11-09,59
2011-11-10,59
2011-11-11,41
2011-11-12,24
2011-11-13,71
2011-11-14,19
2011-11-15,30
2011-11-16,59
2011-11-17,20
2011-11-18,41
2011-11-19,0
2011-11-20,23
2011-11-21,0
2011-11-22,19
2011-11-23,20
2011-11-24,31
2011-11-25,32
2011-11-26,0
2011-11-27,23
2011-11-28,19
2011-11-29,48
2011-11-30,78
2011-12-01,20
2011-12-02,41
2011-12-03,0
2011-12-04,0
2011-12-05,29
2011-12-06,19
2011-12-07,58
2011-12-08,20
2011-12-09,20
2011-12-10,0
2011-12-11,23
2011-12-12,38
2011-12-13,19
2011-12-14,19
2011-12-15,20
2011-12-16,21
2011-12-17,48
2011-12-18,0
2011-12-19,19
2011-12-20,30
2011-12-21,20
2011-12-22,21
2011-12-23,45
2011-12-24,26
2011-12-25,0
2011-12-26,0
2011-12-27,21
2011-12-28,21
2011-12-29,0
2011-12-30,22
2011-12-31,0
2012-01-01,0
2012-01-02,20
2012-01-03,19
2012-01-04,19
2012-01-05,48
2012-01-06,40
2012-01-07,23
2012-01-08,22
2012-01-09,28
2012-01-10,0
2012-01-11,18
2012-01-12,19
2012-01-13,19
2012-01-14,0
2012-01-15,22
2012-01-16,36
2012-01-17,18
2012-01-18,54
2012-01-19,37
2012-01-20,38
2012-01-21,22
2012-01-22,0
2012-01-23,36
2012-01-24,18
2012-01-25,27
2012-01-26,37
