date,QVCA
2016-09-11,0
2016-09-12,0
2016-09-13,24
2016-09-14,36
2016-09-15,0
2016-09-16,25
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,24
2016-09-22,24
2016-09-23,25
2016-09-24,0
2016-09-25,0
2016-09-26,47
2016-09-27,35
2016-09-28,0
2016-09-29,0
2016-09-30,73
2016-10-01,27
2016-10-02,26
2016-10-03,0
2016-10-04,23
2016-10-05,0
2016-10-06,23
2016-10-07,48
2016-10-08,0
2016-10-09,27
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,24
2016-10-15,27
2016-10-16,27
2016-10-17,0
2016-10-18,23
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,24
2016-10-29,0
2016-10-30,0
2016-10-31,24
2016-11-01,35
2016-11-02,23
2016-11-03,45
2016-11-04,23
2016-11-05,0
2016-11-06,0
2016-11-07,22
2016-11-08,33
2016-11-09,21
2016-11-10,68
2016-11-11,24
2016-11-12,26
2016-11-13,39
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,23
2016-11-22,23
2016-11-23,46
2016-11-24,24
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,23
2016-12-03,0
2016-12-04,26
2016-12-05,0
2016-12-06,0
2016-12-07,23
2016-12-08,0
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,22
2016-12-13,22
2016-12-14,0
2016-12-15,34
2016-12-16,24
2016-12-17,0
2016-12-18,0
2016-12-19,45
2016-12-20,23
2016-12-21,24
2016-12-22,0
2016-12-23,38
2016-12-24,29
2016-12-25,59
2016-12-26,25
2016-12-27,24
2016-12-28,73
2016-12-29,24
2016-12-30,25
2016-12-31,28
2017-01-01,0
2017-01-02,0
2017-01-03,22
2017-01-04,22
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,44
2017-01-10,22
2017-01-11,0
2017-01-12,0
2017-01-13,23
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,44
2017-01-18,22
2017-01-19,45
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,22
2017-01-24,22
2017-01-25,22
2017-01-26,0
2017-01-27,23
2017-01-28,0
2017-01-29,0
2017-01-30,22
2017-01-31,22
2017-02-01,22
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,25
2017-02-06,43
2017-02-07,22
2017-02-08,44
2017-02-09,22
2017-02-10,23
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,22
2017-02-15,33
2017-02-16,22
2017-02-17,23
2017-02-18,0
2017-02-19,0
2017-02-20,22
2017-02-21,0
2017-02-22,43
2017-02-23,44
2017-02-24,23
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,100
2017-03-01,86
2017-03-02,43
2017-03-03,22
2017-03-04,49
2017-03-05,49
2017-03-06,32
2017-03-07,21
2017-03-08,32
2017-03-09,0
2017-03-10,45
2017-03-11,0
2017-03-12,49
2017-03-13,21
2017-03-14,0
2017-03-15,22
2017-03-16,43
2017-03-17,23
2017-03-18,0
2017-03-19,0
2017-03-20,21
2017-03-21,21
2017-03-22,21
2017-03-23,33
2017-03-24,0
2017-03-25,25
2017-03-26,0
2017-03-27,21
2017-03-28,32
2017-03-29,33
2017-03-30,66
2017-03-31,46
2017-04-01,25
