date,QVCA
2016-08-02,15
2016-08-03,0
2016-08-04,0
2016-08-05,86
2016-08-06,18
2016-08-07,18
2016-08-08,30
2016-08-09,22
2016-08-10,22
2016-08-11,31
2016-08-12,23
2016-08-13,0
2016-08-14,0
2016-08-15,32
2016-08-16,15
2016-08-17,30
2016-08-18,15
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,15
2016-08-23,29
2016-08-24,15
2016-08-25,22
2016-08-26,15
2016-08-27,0
2016-08-28,0
2016-08-29,14
2016-08-30,15
2016-08-31,14
2016-09-01,22
2016-09-02,15
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,15
2016-09-07,15
2016-09-08,44
2016-09-09,37
2016-09-10,17
2016-09-11,17
2016-09-12,14
2016-09-13,0
2016-09-14,22
2016-09-15,0
2016-09-16,15
2016-09-17,0
2016-09-18,0
2016-09-19,14
2016-09-20,14
2016-09-21,14
2016-09-22,43
2016-09-23,15
2016-09-24,0
2016-09-25,0
2016-09-26,21
2016-09-27,21
2016-09-28,0
2016-09-29,0
2016-09-30,44
2016-10-01,0
2016-10-02,16
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,28
2016-10-07,15
2016-10-08,0
2016-10-09,0
2016-10-10,14
2016-10-11,14
2016-10-12,14
2016-10-13,0
2016-10-14,14
2016-10-15,0
2016-10-16,16
2016-10-17,14
2016-10-18,14
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,16
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,14
2016-10-27,28
2016-10-28,15
2016-10-29,0
2016-10-30,0
2016-10-31,14
2016-11-01,22
2016-11-02,0
2016-11-03,14
2016-11-04,0
2016-11-05,16
2016-11-06,0
2016-11-07,27
2016-11-08,47
2016-11-09,13
2016-11-10,27
2016-11-11,29
2016-11-12,16
2016-11-13,24
2016-11-14,27
2016-11-15,27
2016-11-16,14
2016-11-17,14
2016-11-18,14
2016-11-19,0
2016-11-20,16
2016-11-21,13
2016-11-22,0
2016-11-23,28
2016-11-24,14
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,13
2016-11-29,26
2016-11-30,0
2016-12-01,14
2016-12-02,0
2016-12-03,16
2016-12-04,0
2016-12-05,14
2016-12-06,0
2016-12-07,14
2016-12-08,28
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,14
2016-12-13,0
2016-12-14,0
2016-12-15,14
2016-12-16,15
2016-12-17,0
2016-12-18,0
2016-12-19,14
2016-12-20,14
2016-12-21,0
2016-12-22,0
2016-12-23,46
2016-12-24,17
2016-12-25,18
2016-12-26,0
2016-12-27,14
2016-12-28,22
2016-12-29,30
2016-12-30,30
2016-12-31,17
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,14
2017-01-05,14
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,27
2017-01-10,13
2017-01-11,0
2017-01-12,0
2017-01-13,14
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,26
2017-01-18,0
2017-01-19,27
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,20
2017-01-25,13
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,13
2017-02-01,13
2017-02-02,33
2017-02-03,14
2017-02-04,0
2017-02-05,15
2017-02-06,13
2017-02-07,0
2017-02-08,13
2017-02-09,13
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,13
2017-02-14,13
2017-02-15,33
2017-02-16,13
2017-02-17,0
2017-02-18,0
2017-02-19,15
2017-02-20,13
2017-02-21,0
2017-02-22,20
2017-02-23,13
2017-02-24,0
2017-02-25,16
2017-02-26,15
2017-02-27,0
2017-02-28,100
2017-03-01,46
2017-03-02,46
2017-03-03,27
2017-03-04,30
2017-03-05,30
2017-03-06,26
2017-03-07,26
2017-03-08,13
2017-03-09,0
2017-03-10,27
2017-03-11,0
2017-03-12,0
2017-03-13,26
2017-03-14,0
2017-03-15,13
2017-03-16,39
2017-03-17,14
2017-03-18,0
2017-03-19,15
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,26
2017-03-29,20
2017-03-30,13
2017-03-31,14
2017-04-01,16
2017-04-02,0
2017-04-03,13
2017-04-04,40
2017-04-05,33
2017-04-06,13
2017-04-07,21
2017-04-08,16
2017-04-09,0
2017-04-10,27
2017-04-11,27
2017-04-12,0
2017-04-13,14
2017-04-14,15
2017-04-15,0
2017-04-16,0
2017-04-17,14
2017-04-18,0
