date,QVCA
2016-07-30,0
2016-07-31,0
2016-08-01,17
2016-08-02,18
2016-08-03,18
2016-08-04,0
2016-08-05,80
2016-08-06,42
2016-08-07,21
2016-08-08,35
2016-08-09,35
2016-08-10,26
2016-08-11,53
2016-08-12,36
2016-08-13,0
2016-08-14,0
2016-08-15,37
2016-08-16,35
2016-08-17,26
2016-08-18,35
2016-08-19,18
2016-08-20,0
2016-08-21,20
2016-08-22,29
2016-08-23,52
2016-08-24,17
2016-08-25,26
2016-08-26,18
2016-08-27,0
2016-08-28,0
2016-08-29,33
2016-08-30,25
2016-08-31,23
2016-09-01,23
2016-09-02,18
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,17
2016-09-08,51
2016-09-09,64
2016-09-10,20
2016-09-11,0
2016-09-12,17
2016-09-13,17
2016-09-14,0
2016-09-15,17
2016-09-16,18
2016-09-17,19
2016-09-18,0
2016-09-19,17
2016-09-20,16
2016-09-21,17
2016-09-22,28
2016-09-23,23
2016-09-24,0
2016-09-25,0
2016-09-26,33
2016-09-27,25
2016-09-28,17
2016-09-29,17
2016-09-30,35
2016-10-01,19
2016-10-02,0
2016-10-03,33
2016-10-04,0
2016-10-05,33
2016-10-06,25
2016-10-07,0
2016-10-08,0
2016-10-09,19
2016-10-10,25
2016-10-11,0
2016-10-12,17
2016-10-13,0
2016-10-14,17
2016-10-15,0
2016-10-16,0
2016-10-17,16
2016-10-18,32
2016-10-19,0
2016-10-20,0
2016-10-21,17
2016-10-22,19
2016-10-23,0
2016-10-24,0
2016-10-25,16
2016-10-26,16
2016-10-27,25
2016-10-28,17
2016-10-29,0
2016-10-30,0
2016-10-31,33
2016-11-01,28
2016-11-02,0
2016-11-03,16
2016-11-04,0
2016-11-05,0
2016-11-06,18
2016-11-07,16
2016-11-08,31
2016-11-09,15
2016-11-10,32
2016-11-11,25
2016-11-12,19
2016-11-13,37
2016-11-14,16
2016-11-15,16
2016-11-16,16
2016-11-17,16
2016-11-18,0
2016-11-19,0
2016-11-20,18
2016-11-21,32
2016-11-22,24
2016-11-23,0
2016-11-24,17
2016-11-25,17
2016-11-26,0
2016-11-27,0
2016-11-28,32
2016-11-29,16
2016-11-30,0
2016-12-01,49
2016-12-02,16
2016-12-03,37
2016-12-04,28
2016-12-05,31
2016-12-06,0
2016-12-07,0
2016-12-08,33
2016-12-09,34
2016-12-10,0
2016-12-11,19
2016-12-12,16
2016-12-13,16
2016-12-14,0
2016-12-15,24
2016-12-16,17
2016-12-17,19
2016-12-18,0
2016-12-19,0
2016-12-20,17
2016-12-21,0
2016-12-22,0
2016-12-23,72
2016-12-24,20
2016-12-25,0
2016-12-26,18
2016-12-27,17
2016-12-28,17
2016-12-29,34
2016-12-30,18
2016-12-31,20
2017-01-01,0
2017-01-02,0
2017-01-03,16
2017-01-04,0
2017-01-05,16
2017-01-06,17
2017-01-07,18
2017-01-08,18
2017-01-09,16
2017-01-10,23
2017-01-11,0
2017-01-12,16
2017-01-13,16
2017-01-14,0
2017-01-15,18
2017-01-16,0
2017-01-17,31
2017-01-18,16
2017-01-19,31
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,15
2017-01-24,16
2017-01-25,16
2017-01-26,16
2017-01-27,0
2017-01-28,0
2017-01-29,18
2017-01-30,15
2017-01-31,0
2017-02-01,15
2017-02-02,31
2017-02-03,16
2017-02-04,0
2017-02-05,0
2017-02-06,15
2017-02-07,15
2017-02-08,23
2017-02-09,20
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,23
2017-02-14,15
2017-02-15,26
2017-02-16,0
2017-02-17,16
2017-02-18,18
2017-02-19,18
2017-02-20,0
2017-02-21,31
2017-02-22,41
2017-02-23,41
2017-02-24,22
2017-02-25,18
2017-02-26,18
2017-02-27,16
2017-02-28,100
2017-03-01,35
2017-03-02,26
2017-03-03,24
2017-03-04,44
2017-03-05,17
2017-03-06,25
2017-03-07,15
2017-03-08,15
2017-03-09,62
2017-03-10,16
2017-03-11,0
2017-03-12,35
2017-03-13,23
2017-03-14,15
2017-03-15,15
2017-03-16,31
2017-03-17,16
2017-03-18,0
2017-03-19,17
2017-03-20,15
2017-03-21,15
2017-03-22,15
2017-03-23,31
2017-03-24,16
2017-03-25,18
2017-03-26,0
2017-03-27,30
2017-03-28,15
2017-03-29,16
2017-03-30,0
2017-03-31,16
2017-04-01,18
2017-04-02,0
2017-04-03,23
2017-04-04,31
2017-04-05,15
2017-04-06,31
2017-04-07,16
2017-04-08,18
2017-04-09,0
2017-04-10,40
2017-04-11,47
2017-04-12,16
2017-04-13,16
2017-04-14,18
