date,QVCA
2017-01-19,18
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,12
2017-01-25,12
2017-01-26,0
2017-01-27,12
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,12
2017-02-01,12
2017-02-02,12
2017-02-03,12
2017-02-04,0
2017-02-05,0
2017-02-06,11
2017-02-07,12
2017-02-08,35
2017-02-09,0
2017-02-10,12
2017-02-11,0
2017-02-12,0
2017-02-13,23
2017-02-14,17
2017-02-15,29
2017-02-16,12
2017-02-17,36
2017-02-18,0
2017-02-19,0
2017-02-20,12
2017-02-21,12
2017-02-22,35
2017-02-23,29
2017-02-24,12
2017-02-25,14
2017-02-26,0
2017-02-27,0
2017-02-28,100
2017-03-01,63
2017-03-02,17
2017-03-03,0
2017-03-04,39
2017-03-05,19
2017-03-06,28
2017-03-07,17
2017-03-08,11
2017-03-09,11
2017-03-10,18
2017-03-11,0
2017-03-12,26
2017-03-13,23
2017-03-14,0
2017-03-15,11
2017-03-16,11
2017-03-17,0
2017-03-18,0
2017-03-19,26
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,12
2017-03-24,0
2017-03-25,14
2017-03-26,14
2017-03-27,0
2017-03-28,11
2017-03-29,12
2017-03-30,24
2017-03-31,12
2017-04-01,14
