date,BIIB,isPartial
2014-03-16,8,False
2014-03-17,33,False
2014-03-18,38,False
2014-03-19,31,False
2014-03-20,30,False
2014-03-21,67,False
2014-03-22,22,False
2014-03-23,14,False
2014-03-24,36,False
2014-03-25,34,False
2014-03-26,21,False
2014-03-27,26,False
2014-03-28,25,False
2014-03-29,12,False
2014-03-30,10,False
2014-03-31,36,False
2014-04-01,43,False
2014-04-02,42,False
2014-04-03,40,False
2014-04-04,36,False
2014-04-05,27,False
2014-04-06,4,False
2014-04-07,29,False
2014-04-08,49,False
2014-04-09,45,False
2014-04-10,49,False
2014-04-11,35,False
2014-04-12,10,False
2014-04-13,15,False
2014-04-14,21,False
2014-04-15,40,False
2014-04-16,32,False
2014-04-17,50,False
2014-04-18,20,False
2014-04-19,6,False
2014-04-20,9,False
2014-04-21,36,False
2014-04-22,50,False
2014-04-23,78,False
2014-04-24,63,False
2014-04-25,33,False
2014-04-26,8,False
2014-04-27,8,False
2014-04-28,39,False
2014-04-29,37,False
2014-04-30,44,False
2014-05-01,48,False
2014-05-02,11,False
2014-05-03,10,False
2014-05-04,8,False
2014-05-05,23,False
2014-05-06,34,False
2014-05-07,17,False
2014-05-08,35,False
2014-05-09,31,False
2014-05-10,8,False
2014-05-11,8,False
2014-05-12,14,False
2014-05-13,31,False
2014-05-14,17,False
2014-05-15,23,False
2014-05-16,22,False
2014-05-17,13,False
2014-05-18,12,False
2014-05-19,24,False
2014-05-20,22,False
2014-05-21,26,False
2014-05-22,29,False
2014-05-23,20,False
2014-05-24,16,False
2014-05-25,5,False
2014-05-26,6,False
2014-05-27,22,False
2014-05-28,24,False
2014-05-29,21,False
2014-05-30,28,False
2014-05-31,16,False
2014-06-01,14,False
2014-06-02,23,False
2014-06-03,26,False
2014-06-04,17,False
2014-06-05,8,False
2014-06-06,24,False
2014-06-07,17,False
2014-06-08,5,False
2014-06-09,33,False
2014-06-10,19,False
2014-06-11,21,False
2014-06-12,15,False
2014-06-13,10,False
2014-06-14,9,False
2014-06-15,14,False
2014-06-16,25,False
2014-06-17,27,False
2014-06-18,19,False
2014-06-19,26,False
2014-06-20,22,False
2014-06-21,19,False
2014-06-22,12,False
2014-06-23,15,False
2014-06-24,17,False
2014-06-25,19,False
2014-06-26,19,False
2014-06-27,49,False
2014-06-28,5,False
2014-06-29,9,False
2014-06-30,10,False
2014-07-01,23,False
2014-07-02,24,False
2014-07-03,26,False
2014-07-04,11,False
2014-07-05,14,False
2014-07-06,12,False
2014-07-07,23,False
2014-07-08,13,False
2014-07-09,29,False
2014-07-10,23,False
2014-07-11,22,False
2014-07-12,12,False
2014-07-13,5,False
2014-07-14,31,False
2014-07-15,19,False
2014-07-16,34,False
2014-07-17,20,False
2014-07-18,10,False
2014-07-19,9,False
2014-07-20,19,False
2014-07-21,15,False
2014-07-22,29,False
2014-07-23,100,False
2014-07-24,45,False
2014-07-25,29,False
2014-07-26,14,False
2014-07-27,7,False
2014-07-28,31,False
2014-07-29,32,False
2014-07-30,35,False
2014-07-31,44,False
2014-08-01,20,False
2014-08-02,5,False
2014-08-03,9,False
2014-08-04,19,False
2014-08-05,27,False
2014-08-06,23,False
2014-08-07,23,False
2014-08-08,10,False
2014-08-09,14,False
2014-08-10,9,False
2014-08-11,19,False
2014-08-12,17,False
2014-08-13,15,False
2014-08-14,37,False
2014-08-15,36,False
2014-08-16,9,False
2014-08-17,9,False
2014-08-18,40,False
2014-08-19,35,False
2014-08-20,25,False
2014-08-21,23,False
2014-08-22,20,False
2014-08-23,16,False
2014-08-24,5,False
2014-08-25,19,False
2014-08-26,34,False
2014-08-27,19,False
2014-08-28,27,False
2014-08-29,18,False
2014-08-30,28,False
2014-08-31,4,False
2014-09-01,7,False
2014-09-02,24,False
2014-09-03,18,False
2014-09-04,31,False
2014-09-05,19,False
2014-09-06,13,False
2014-09-07,13,False
2014-09-08,16,False
2014-09-09,21,False
2014-09-10,20,False
2014-09-11,27,False
2014-09-12,15,False
2014-09-13,13,False
2014-09-14,9,False
2014-09-15,18,False
2014-09-16,20,False
2014-09-17,20,False
2014-09-18,20,False
2014-09-19,13,False
2014-09-20,9,False
2014-09-21,6,False
2014-09-22,14,False
2014-09-23,23,False
2014-09-24,27,False
2014-09-25,20,False
2014-09-26,21,False
2014-09-27,13,False
2014-09-28,9,False
2014-09-29,16,False
2014-09-30,34,False
2014-10-01,25,False
2014-10-02,15,False
2014-10-03,12,False
2014-10-04,13,False
2014-10-05,15,False
2014-10-06,20,False
2014-10-07,25,False
2014-10-08,13,False
2014-10-09,26,False
2014-10-10,13,False
