date,PCAR
2015-04-10,87
2015-04-11,60
2015-04-12,62
2015-04-13,65
2015-04-14,53
2015-04-15,72
2015-04-16,55
2015-04-17,79
2015-04-18,60
2015-04-19,55
2015-04-20,53
2015-04-21,48
2015-04-22,89
2015-04-23,71
2015-04-24,61
2015-04-25,78
2015-04-26,66
2015-04-27,44
2015-04-28,57
2015-04-29,47
2015-04-30,73
2015-05-01,83
2015-05-02,84
2015-05-03,72
2015-05-04,58
2015-05-05,60
2015-05-06,63
2015-05-07,66
2015-05-08,55
2015-05-09,54
2015-05-10,77
2015-05-11,65
2015-05-12,72
2015-05-13,61
2015-05-14,64
2015-05-15,76
2015-05-16,95
2015-05-17,70
2015-05-18,83
2015-05-19,62
2015-05-20,51
2015-05-21,61
2015-05-22,48
2015-05-23,83
2015-05-24,51
2015-05-25,54
2015-05-26,57
2015-05-27,56
2015-05-28,64
2015-05-29,76
2015-05-30,62
2015-05-31,65
2015-06-01,51
2015-06-02,57
2015-06-03,94
2015-06-04,70
2015-06-05,57
2015-06-06,74
2015-06-07,55
2015-06-08,60
2015-06-09,52
2015-06-10,53
2015-06-11,69
2015-06-12,61
2015-06-13,55
2015-06-14,58
2015-06-15,61
2015-06-16,57
2015-06-17,59
2015-06-18,56
2015-06-19,55
2015-06-20,64
2015-06-21,71
2015-06-22,49
2015-06-23,44
2015-06-24,61
2015-06-25,63
2015-06-26,56
2015-06-27,75
2015-06-28,86
2015-06-29,70
2015-06-30,68
2015-07-01,82
2015-07-02,67
2015-07-03,58
2015-07-04,60
2015-07-05,60
2015-07-06,61
2015-07-07,70
2015-07-08,60
2015-07-09,57
2015-07-10,62
2015-07-11,67
2015-07-12,64
2015-07-13,49
2015-07-14,50
2015-07-15,56
2015-07-16,65
2015-07-17,33
2015-07-18,45
2015-07-19,45
2015-07-20,53
2015-07-21,61
2015-07-22,66
2015-07-23,47
2015-07-24,53
2015-07-25,62
2015-07-26,68
2015-07-27,44
2015-07-28,50
2015-07-29,64
2015-07-30,65
2015-07-31,66
2015-08-01,77
2015-08-02,67
2015-08-03,49
2015-08-04,49
2015-08-05,53
2015-08-06,68
2015-08-07,48
2015-08-08,62
2015-08-09,81
2015-08-10,58
2015-08-11,61
2015-08-12,66
2015-08-13,51
2015-08-14,77
2015-08-15,62
2015-08-16,61
2015-08-17,54
2015-08-18,48
2015-08-19,53
2015-08-20,52
2015-08-21,58
2015-08-22,76
2015-08-23,68
2015-08-24,46
2015-08-25,51
2015-08-26,66
2015-08-27,61
2015-08-28,70
2015-08-29,60
2015-08-30,67
2015-08-31,85
2015-09-01,68
2015-09-02,52
2015-09-03,55
2015-09-04,65
2015-09-05,74
2015-09-06,63
2015-09-07,54
2015-09-08,61
2015-09-09,57
2015-09-10,62
2015-09-11,68
2015-09-12,85
2015-09-13,60
2015-09-14,65
2015-09-15,56
2015-09-16,78
2015-09-17,62
2015-09-18,58
2015-09-19,86
2015-09-20,76
2015-09-21,59
2015-09-22,73
2015-09-23,70
2015-09-24,64
2015-09-25,66
2015-09-26,86
2015-09-27,75
2015-09-28,44
2015-09-29,64
2015-09-30,62
2015-10-01,68
2015-10-02,57
2015-10-03,59
2015-10-04,63
2015-10-05,59
2015-10-06,67
2015-10-07,73
2015-10-08,53
2015-10-09,69
2015-10-10,74
2015-10-11,67
2015-10-12,69
2015-10-13,72
2015-10-14,68
2015-10-15,67
2015-10-16,71
2015-10-17,63
2015-10-18,61
2015-10-19,56
2015-10-20,75
2015-10-21,64
2015-10-22,62
2015-10-23,66
2015-10-24,79
2015-10-25,55
2015-10-26,62
2015-10-27,73
2015-10-28,66
2015-10-29,74
2015-10-30,64
2015-10-31,87
2015-11-01,100
2015-11-02,64
2015-11-03,65
2015-11-04,64
2015-11-05,49
2015-11-06,71
2015-11-07,82
2015-11-08,78
2015-11-09,60
2015-11-10,80
2015-11-11,81
2015-11-12,74
2015-11-13,86
2015-11-14,72
2015-11-15,88
2015-11-16,51
2015-11-17,82
2015-11-18,61
2015-11-19,65
2015-11-20,68
2015-11-21,68
2015-11-22,78
2015-11-23,87
2015-11-24,67
2015-11-25,61
2015-11-26,66
2015-11-27,65
2015-11-28,63
2015-11-29,66
2015-11-30,58
2015-12-01,72
2015-12-02,62
2015-12-03,65
2015-12-04,68
2015-12-05,84
2015-12-06,69
2015-12-07,77
2015-12-08,87
2015-12-09,58
2015-12-10,70
2015-12-11,79
2015-12-12,70
2015-12-13,77
2015-12-14,60
2015-12-15,64
2015-12-16,81
2015-12-17,55
2015-12-18,61
2015-12-19,53
2015-12-20,80
2015-12-21,69
2015-12-22,80
2015-12-23,78
2015-12-24,63
2015-12-25,93
2015-12-26,83
