date,PCAR
2016-08-02,65
2016-08-03,75
2016-08-04,62
2016-08-05,79
2016-08-06,71
2016-08-07,71
2016-08-08,73
2016-08-09,66
2016-08-10,65
2016-08-11,40
2016-08-12,71
2016-08-13,71
2016-08-14,62
2016-08-15,65
2016-08-16,58
2016-08-17,68
2016-08-18,57
2016-08-19,69
2016-08-20,59
2016-08-21,100
2016-08-22,55
2016-08-23,65
2016-08-24,56
2016-08-25,70
2016-08-26,74
2016-08-27,56
2016-08-28,73
2016-08-29,78
2016-08-30,71
2016-08-31,49
2016-09-01,60
2016-09-02,60
2016-09-03,81
2016-09-04,76
2016-09-05,43
2016-09-06,59
2016-09-07,68
2016-09-08,72
2016-09-09,57
2016-09-10,61
2016-09-11,76
2016-09-12,56
2016-09-13,58
2016-09-14,61
2016-09-15,68
2016-09-16,60
2016-09-17,68
2016-09-18,60
2016-09-19,67
2016-09-20,64
2016-09-21,82
2016-09-22,82
2016-09-23,73
2016-09-24,79
2016-09-25,58
2016-09-26,56
2016-09-27,47
2016-09-28,69
2016-09-29,63
2016-09-30,81
2016-10-01,64
2016-10-02,71
2016-10-03,69
2016-10-04,59
2016-10-05,65
2016-10-06,72
2016-10-07,88
2016-10-08,92
2016-10-09,77
2016-10-10,65
2016-10-11,63
2016-10-12,64
2016-10-13,68
2016-10-14,73
2016-10-15,80
2016-10-16,65
2016-10-17,81
2016-10-18,83
2016-10-19,60
2016-10-20,67
2016-10-21,69
2016-10-22,76
2016-10-23,84
2016-10-24,68
2016-10-25,62
2016-10-26,81
2016-10-27,58
2016-10-28,72
2016-10-29,62
2016-10-30,75
2016-10-31,72
2016-11-01,70
2016-11-02,76
2016-11-03,56
2016-11-04,62
2016-11-05,66
2016-11-06,76
2016-11-07,75
2016-11-08,83
2016-11-09,61
2016-11-10,63
2016-11-11,81
2016-11-12,71
2016-11-13,73
2016-11-14,68
2016-11-15,67
2016-11-16,69
2016-11-17,79
2016-11-18,60
2016-11-19,80
2016-11-20,62
2016-11-21,60
2016-11-22,76
2016-11-23,68
2016-11-24,65
2016-11-25,78
2016-11-26,40
2016-11-27,62
2016-11-28,66
2016-11-29,66
2016-11-30,65
2016-12-01,69
2016-12-02,56
2016-12-03,81
2016-12-04,62
2016-12-05,80
2016-12-06,71
2016-12-07,59
2016-12-08,58
2016-12-09,77
2016-12-10,56
2016-12-11,57
2016-12-12,55
2016-12-13,68
2016-12-14,80
2016-12-15,58
2016-12-16,48
2016-12-17,47
2016-12-18,50
2016-12-19,74
2016-12-20,51
2016-12-21,62
2016-12-22,53
2016-12-23,76
2016-12-24,76
2016-12-25,65
2016-12-26,54
2016-12-27,54
2016-12-28,73
2016-12-29,71
2016-12-30,53
2016-12-31,77
2017-01-01,69
2017-01-02,72
2017-01-03,44
2017-01-04,55
2017-01-05,45
2017-01-06,62
2017-01-07,46
2017-01-08,64
2017-01-09,55
2017-01-10,49
2017-01-11,75
2017-01-12,56
2017-01-13,80
2017-01-14,54
2017-01-15,63
2017-01-16,74
2017-01-17,55
2017-01-18,43
2017-01-19,63
2017-01-20,79
2017-01-21,78
2017-01-22,66
2017-01-23,72
2017-01-24,76
2017-01-25,69
2017-01-26,73
2017-01-27,69
2017-01-28,62
2017-01-29,52
2017-01-30,62
2017-01-31,60
2017-02-01,74
2017-02-02,72
2017-02-03,71
2017-02-04,59
2017-02-05,71
2017-02-06,60
2017-02-07,51
2017-02-08,53
2017-02-09,57
2017-02-10,66
2017-02-11,61
2017-02-12,61
2017-02-13,69
2017-02-14,73
2017-02-15,68
2017-02-16,53
2017-02-17,58
2017-02-18,61
2017-02-19,75
2017-02-20,72
2017-02-21,49
2017-02-22,53
2017-02-23,64
2017-02-24,55
2017-02-25,71
2017-02-26,59
2017-02-27,68
2017-02-28,62
2017-03-01,69
2017-03-02,57
2017-03-03,46
2017-03-04,31
2017-03-05,64
2017-03-06,52
2017-03-07,47
2017-03-08,48
2017-03-09,60
2017-03-10,52
2017-03-11,71
2017-03-12,45
2017-03-13,50
2017-03-14,54
2017-03-15,53
2017-03-16,43
2017-03-17,62
2017-03-18,48
2017-03-19,47
2017-03-20,60
2017-03-21,64
2017-03-22,59
2017-03-23,44
2017-03-24,44
2017-03-25,54
2017-03-26,49
2017-03-27,48
2017-03-28,49
2017-03-29,54
2017-03-30,45
2017-03-31,54
2017-04-01,56
2017-04-02,57
2017-04-03,39
2017-04-04,60
2017-04-05,59
2017-04-06,73
2017-04-07,60
2017-04-08,74
2017-04-09,83
2017-04-10,68
2017-04-11,62
2017-04-12,54
2017-04-13,52
2017-04-14,66
2017-04-15,72
2017-04-16,64
2017-04-17,69
2017-04-18,44
