date,PCAR
2015-08-18,54
2015-08-19,63
2015-08-20,58
2015-08-21,53
2015-08-22,68
2015-08-23,61
2015-08-24,55
2015-08-25,60
2015-08-26,50
2015-08-27,77
2015-08-28,65
2015-08-29,46
2015-08-30,52
2015-08-31,65
2015-09-01,59
2015-09-02,68
2015-09-03,52
2015-09-04,63
2015-09-05,75
2015-09-06,61
2015-09-07,62
2015-09-08,50
2015-09-09,53
2015-09-10,53
2015-09-11,82
2015-09-12,74
2015-09-13,54
2015-09-14,64
2015-09-15,51
2015-09-16,52
2015-09-17,59
2015-09-18,51
2015-09-19,82
2015-09-20,61
2015-09-21,50
2015-09-22,62
2015-09-23,77
2015-09-24,58
2015-09-25,58
2015-09-26,70
2015-09-27,78
2015-09-28,42
2015-09-29,69
2015-09-30,76
2015-10-01,63
2015-10-02,57
2015-10-03,78
2015-10-04,72
2015-10-05,65
2015-10-06,38
2015-10-07,76
2015-10-08,86
2015-10-09,52
2015-10-10,82
2015-10-11,52
2015-10-12,69
2015-10-13,35
2015-10-14,67
2015-10-15,64
2015-10-16,68
2015-10-17,61
2015-10-18,57
2015-10-19,62
2015-10-20,72
2015-10-21,41
2015-10-22,62
2015-10-23,62
2015-10-24,79
2015-10-25,72
2015-10-26,75
2015-10-27,74
2015-10-28,63
2015-10-29,83
2015-10-30,57
2015-10-31,95
2015-11-01,68
2015-11-02,57
2015-11-03,82
2015-11-04,65
2015-11-05,46
2015-11-06,70
2015-11-07,60
2015-11-08,68
2015-11-09,54
2015-11-10,65
2015-11-11,76
2015-11-12,58
2015-11-13,78
2015-11-14,53
2015-11-15,75
2015-11-16,51
2015-11-17,64
2015-11-18,77
2015-11-19,54
2015-11-20,60
2015-11-21,48
2015-11-22,84
2015-11-23,88
2015-11-24,58
2015-11-25,59
2015-11-26,63
2015-11-27,66
2015-11-28,48
2015-11-29,50
2015-11-30,48
2015-12-01,58
2015-12-02,51
2015-12-03,55
2015-12-04,76
2015-12-05,98
2015-12-06,53
2015-12-07,71
2015-12-08,100
2015-12-09,55
2015-12-10,72
2015-12-11,79
2015-12-12,67
2015-12-13,61
2015-12-14,72
2015-12-15,54
2015-12-16,51
2015-12-17,75
2015-12-18,81
2015-12-19,64
2015-12-20,75
2015-12-21,67
2015-12-22,90
2015-12-23,69
2015-12-24,67
2015-12-25,99
2015-12-26,70
2015-12-27,93
2015-12-28,68
2015-12-29,71
2015-12-30,92
2015-12-31,75
2016-01-01,59
2016-01-02,66
2016-01-03,53
2016-01-04,59
2016-01-05,84
2016-01-06,58
2016-01-07,56
2016-01-08,55
2016-01-09,52
2016-01-10,57
2016-01-11,75
2016-01-12,54
2016-01-13,66
2016-01-14,56
2016-01-15,64
2016-01-16,67
2016-01-17,70
2016-01-18,66
2016-01-19,66
2016-01-20,56
2016-01-21,86
2016-01-22,70
2016-01-23,44
2016-01-24,62
2016-01-25,51
2016-01-26,48
2016-01-27,60
2016-01-28,35
2016-01-29,58
2016-01-30,71
2016-01-31,50
2016-02-01,68
2016-02-02,62
2016-02-03,57
2016-02-04,52
2016-02-05,70
2016-02-06,70
2016-02-07,89
2016-02-08,51
2016-02-09,63
2016-02-10,56
2016-02-11,74
2016-02-12,64
2016-02-13,87
2016-02-14,73
2016-02-15,62
2016-02-16,83
2016-02-17,54
2016-02-18,44
2016-02-19,73
2016-02-20,54
2016-02-21,70
2016-02-22,54
2016-02-23,68
2016-02-24,55
2016-02-25,35
2016-02-26,57
2016-02-27,57
2016-02-28,67
2016-02-29,70
2016-03-01,39
2016-03-02,56
2016-03-03,73
2016-03-04,53
2016-03-05,72
2016-03-06,52
2016-03-07,83
2016-03-08,46
2016-03-09,51
2016-03-10,68
2016-03-11,78
2016-03-12,75
2016-03-13,95
2016-03-14,63
2016-03-15,47
2016-03-16,56
2016-03-17,80
2016-03-18,71
2016-03-19,57
2016-03-20,71
2016-03-21,76
2016-03-22,62
2016-03-23,47
2016-03-24,68
2016-03-25,50
2016-03-26,83
2016-03-27,60
2016-03-28,52
2016-03-29,51
2016-03-30,48
2016-03-31,57
2016-04-01,71
2016-04-02,45
2016-04-03,74
2016-04-04,36
2016-04-05,65
2016-04-06,65
2016-04-07,58
2016-04-08,58
2016-04-09,70
2016-04-10,40
2016-04-11,54
2016-04-12,55
2016-04-13,67
2016-04-14,61
2016-04-15,57
2016-04-16,52
2016-04-17,75
2016-04-18,60
2016-04-19,44
2016-04-20,70
2016-04-21,64
2016-04-22,67
2016-04-23,62
2016-04-24,42
2016-04-25,51
2016-04-26,68
2016-04-27,80
2016-04-28,63
2016-04-29,50
2016-04-30,57
2016-05-01,65
2016-05-02,52
2016-05-03,47
2016-05-04,63
