date,PAYX
2014-03-16,0
2014-03-17,59
2014-03-18,29
2014-03-19,15
2014-03-20,15
2014-03-21,62
2014-03-22,17
2014-03-23,17
2014-03-24,29
2014-03-25,15
2014-03-26,37
2014-03-27,30
2014-03-28,31
2014-03-29,70
2014-03-30,17
2014-03-31,15
2014-04-01,15
2014-04-02,29
2014-04-03,15
2014-04-04,0
2014-04-05,26
2014-04-06,17
2014-04-07,59
2014-04-08,22
2014-04-09,30
2014-04-10,15
2014-04-11,23
2014-04-12,18
2014-04-13,18
2014-04-14,30
2014-04-15,30
2014-04-16,30
2014-04-17,16
2014-04-18,17
2014-04-19,37
2014-04-20,19
2014-04-21,0
2014-04-22,15
2014-04-23,15
2014-04-24,59
2014-04-25,47
2014-04-26,26
2014-04-27,0
2014-04-28,43
2014-04-29,43
2014-04-30,44
2014-05-01,24
2014-05-02,16
2014-05-03,18
2014-05-04,17
2014-05-05,60
2014-05-06,29
2014-05-07,37
2014-05-08,22
2014-05-09,39
2014-05-10,0
2014-05-11,0
2014-05-12,14
2014-05-13,36
2014-05-14,59
2014-05-15,15
2014-05-16,46
2014-05-17,18
2014-05-18,18
2014-05-19,15
2014-05-20,52
2014-05-21,24
2014-05-22,49
2014-05-23,51
2014-05-24,20
2014-05-25,20
2014-05-26,25
2014-05-27,32
2014-05-28,16
2014-05-29,17
2014-05-30,26
2014-05-31,20
2014-06-01,30
2014-06-02,0
2014-06-03,16
2014-06-04,16
2014-06-05,16
2014-06-06,17
2014-06-07,20
2014-06-08,0
2014-06-09,33
2014-06-10,16
2014-06-11,16
2014-06-12,0
2014-06-13,34
2014-06-14,60
2014-06-15,20
2014-06-16,32
2014-06-17,82
2014-06-18,33
2014-06-19,0
2014-06-20,26
2014-06-21,0
2014-06-22,0
2014-06-23,33
2014-06-24,17
2014-06-25,58
2014-06-26,0
2014-06-27,52
2014-06-28,20
2014-06-29,0
2014-06-30,16
2014-07-01,41
2014-07-02,100
2014-07-03,43
2014-07-04,18
2014-07-05,41
2014-07-06,0
2014-07-07,33
2014-07-08,25
2014-07-09,25
2014-07-10,41
2014-07-11,43
2014-07-12,50
2014-07-13,20
2014-07-14,17
2014-07-15,33
2014-07-16,0
2014-07-17,42
2014-07-18,52
2014-07-19,30
2014-07-20,20
2014-07-21,66
2014-07-22,25
2014-07-23,34
2014-07-24,84
2014-07-25,18
2014-07-26,0
2014-07-27,0
2014-07-28,50
2014-07-29,34
2014-07-30,67
2014-07-31,50
2014-08-01,17
2014-08-02,0
2014-08-03,51
2014-08-04,17
2014-08-05,33
2014-08-06,41
2014-08-07,72
2014-08-08,35
2014-08-09,20
2014-08-10,0
2014-08-11,25
2014-08-12,32
2014-08-13,0
2014-08-14,42
2014-08-15,36
2014-08-16,20
2014-08-17,0
2014-08-18,16
2014-08-19,32
2014-08-20,16
2014-08-21,16
2014-08-22,17
2014-08-23,0
2014-08-24,19
2014-08-25,24
2014-08-26,16
2014-08-27,0
2014-08-28,0
2014-08-29,25
2014-08-30,0
2014-08-31,29
2014-09-01,32
2014-09-02,46
2014-09-03,39
2014-09-04,16
2014-09-05,16
2014-09-06,0
2014-09-07,19
2014-09-08,23
2014-09-09,15
2014-09-10,31
2014-09-11,23
2014-09-12,0
2014-09-13,0
2014-09-14,18
2014-09-15,31
2014-09-16,23
2014-09-17,23
2014-09-18,31
2014-09-19,16
2014-09-20,0
2014-09-21,18
2014-09-22,15
2014-09-23,54
2014-09-24,70
2014-09-25,16
2014-09-26,65
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,15
2014-10-01,16
2014-10-02,24
2014-10-03,17
2014-10-04,19
2014-10-05,0
2014-10-06,61
2014-10-07,31
2014-10-08,0
2014-10-09,39
2014-10-10,32
2014-10-11,0
2014-10-12,0
2014-10-13,15
2014-10-14,15
2014-10-15,23
2014-10-16,46
2014-10-17,0
2014-10-18,18
2014-10-19,0
2014-10-20,15
2014-10-21,15
2014-10-22,15
2014-10-23,15
2014-10-24,16
2014-10-25,46
2014-10-26,18
2014-10-27,15
2014-10-28,23
2014-10-29,15
2014-10-30,46
2014-10-31,32
2014-11-01,0
2014-11-02,0
2014-11-03,61
2014-11-04,15
2014-11-05,60
2014-11-06,15
2014-11-07,48
2014-11-08,18
2014-11-09,18
2014-11-10,0
2014-11-11,0
2014-11-12,22
2014-11-13,30
2014-11-14,23
2014-11-15,18
2014-11-16,0
2014-11-17,22
2014-11-18,16
2014-11-19,31
2014-11-20,15
2014-11-21,47
2014-11-22,18
2014-11-23,17
2014-11-24,37
2014-11-25,29
2014-11-26,15
2014-11-27,16
2014-11-28,31
2014-11-29,70
2014-11-30,0
2014-12-01,36
