date,PAYX
2017-01-19,19
2017-01-20,19
2017-01-21,52
2017-01-22,39
2017-01-23,28
2017-01-24,45
2017-01-25,30
2017-01-26,40
2017-01-27,39
2017-01-28,26
2017-01-29,13
2017-01-30,22
2017-01-31,30
2017-02-01,39
2017-02-02,45
2017-02-03,42
2017-02-04,19
2017-02-05,38
2017-02-06,22
2017-02-07,22
2017-02-08,29
2017-02-09,44
2017-02-10,23
2017-02-11,17
2017-02-12,25
2017-02-13,15
2017-02-14,26
2017-02-15,15
2017-02-16,26
2017-02-17,34
2017-02-18,17
2017-02-19,17
2017-02-20,11
2017-02-21,49
2017-02-22,28
2017-02-23,22
2017-02-24,35
2017-02-25,13
2017-02-26,32
2017-02-27,30
2017-02-28,15
2017-03-01,26
2017-03-02,22
2017-03-03,23
2017-03-04,26
2017-03-05,19
2017-03-06,16
2017-03-07,33
2017-03-08,26
2017-03-09,33
2017-03-10,27
2017-03-11,42
2017-03-12,31
2017-03-13,22
2017-03-14,44
2017-03-15,37
2017-03-16,29
2017-03-17,35
2017-03-18,17
2017-03-19,29
2017-03-20,18
2017-03-21,37
2017-03-22,49
2017-03-23,37
2017-03-24,31
2017-03-25,26
2017-03-26,26
2017-03-27,33
2017-03-28,48
2017-03-29,100
2017-03-30,53
2017-03-31,35
2017-04-01,20
