date,ROST
2015-12-26,45
2015-12-27,48
2015-12-28,44
2015-12-29,41
2015-12-30,44
2015-12-31,39
2016-01-01,46
2016-01-02,42
2016-01-03,51
2016-01-04,45
2016-01-05,43
2016-01-06,39
2016-01-07,44
2016-01-08,42
2016-01-09,53
2016-01-10,48
2016-01-11,47
2016-01-12,49
2016-01-13,45
2016-01-14,44
2016-01-15,43
2016-01-16,46
2016-01-17,50
2016-01-18,85
2016-01-19,57
2016-01-20,57
2016-01-21,48
2016-01-22,46
2016-01-23,49
2016-01-24,57
2016-01-25,72
2016-01-26,59
2016-01-27,55
2016-01-28,51
2016-01-29,56
2016-01-30,56
2016-01-31,64
2016-02-01,100
2016-02-02,66
2016-02-03,52
2016-02-04,50
2016-02-05,50
2016-02-06,55
2016-02-07,66
2016-02-08,55
2016-02-09,53
2016-02-10,56
2016-02-11,48
2016-02-12,45
2016-02-13,49
2016-02-14,62
2016-02-15,79
2016-02-16,63
2016-02-17,66
2016-02-18,64
2016-02-19,59
2016-02-20,60
2016-02-21,69
2016-02-22,70
2016-02-23,59
2016-02-24,55
2016-02-25,49
2016-02-26,55
2016-02-27,49
2016-02-28,70
2016-02-29,51
2016-03-01,56
2016-03-02,47
2016-03-03,49
2016-03-04,44
2016-03-05,49
2016-03-06,82
2016-03-07,100
2016-03-08,59
2016-03-09,53
2016-03-10,58
2016-03-11,54
2016-03-12,86
2016-03-13,66
2016-03-14,70
2016-03-15,53
2016-03-16,49
2016-03-17,57
2016-03-18,51
2016-03-19,55
2016-03-20,65
2016-03-21,82
2016-03-22,58
2016-03-23,51
2016-03-24,46
2016-03-25,60
2016-03-26,59
2016-03-27,60
2016-03-28,70
2016-03-29,57
2016-03-30,59
2016-03-31,59
2016-04-01,58
2016-04-02,61
2016-04-03,82
2016-04-04,98
2016-04-05,68
2016-04-06,63
2016-04-07,62
2016-04-08,56
2016-04-09,60
2016-04-10,68
2016-04-11,83
2016-04-12,66
2016-04-13,67
2016-04-14,59
2016-04-15,54
2016-04-16,59
2016-04-17,70
2016-04-18,85
2016-04-19,61
2016-04-20,52
2016-04-21,50
2016-04-22,64
2016-04-23,62
2016-04-24,63
2016-04-25,53
2016-04-26,51
2016-04-27,52
2016-04-28,46
2016-04-29,48
2016-04-30,49
2016-05-01,64
2016-05-02,53
2016-05-03,51
2016-05-04,54
2016-05-05,49
2016-05-06,50
2016-05-07,50
2016-05-08,61
2016-05-09,59
2016-05-10,59
2016-05-11,49
2016-05-12,50
2016-05-13,55
2016-05-14,49
2016-05-15,60
2016-05-16,55
2016-05-17,55
2016-05-18,48
2016-05-19,53
2016-05-20,55
2016-05-21,50
2016-05-22,56
2016-05-23,54
2016-05-24,52
2016-05-25,48
2016-05-26,47
2016-05-27,51
2016-05-28,53
2016-05-29,60
2016-05-30,57
2016-05-31,46
2016-06-01,54
2016-06-02,50
2016-06-03,57
2016-06-04,57
2016-06-05,52
2016-06-06,54
2016-06-07,48
2016-06-08,46
2016-06-09,54
2016-06-10,51
2016-06-11,51
2016-06-12,59
2016-06-13,48
2016-06-14,46
2016-06-15,48
2016-06-16,45
2016-06-17,49
2016-06-18,56
2016-06-19,64
2016-06-20,52
2016-06-21,53
2016-06-22,48
2016-06-23,45
2016-06-24,38
2016-06-25,45
2016-06-26,62
2016-06-27,44
2016-06-28,50
2016-06-29,44
2016-06-30,57
2016-07-01,49
2016-07-02,49
2016-07-03,66
2016-07-04,55
2016-07-05,50
2016-07-06,48
2016-07-07,47
2016-07-08,48
2016-07-09,52
2016-07-10,53
2016-07-11,51
2016-07-12,50
2016-07-13,48
2016-07-14,48
2016-07-15,48
2016-07-16,48
2016-07-17,56
2016-07-18,50
2016-07-19,49
2016-07-20,51
2016-07-21,51
2016-07-22,48
2016-07-23,45
2016-07-24,54
2016-07-25,52
2016-07-26,49
2016-07-27,45
2016-07-28,50
2016-07-29,47
2016-07-30,44
2016-07-31,57
2016-08-01,53
2016-08-02,49
2016-08-03,51
2016-08-04,45
2016-08-05,44
2016-08-06,50
2016-08-07,53
2016-08-08,53
2016-08-09,54
2016-08-10,47
2016-08-11,46
2016-08-12,44
2016-08-13,49
2016-08-14,49
2016-08-15,49
2016-08-16,48
2016-08-17,46
2016-08-18,49
2016-08-19,52
2016-08-20,51
2016-08-21,51
2016-08-22,53
2016-08-23,48
2016-08-24,54
2016-08-25,48
2016-08-26,48
2016-08-27,40
2016-08-28,53
2016-08-29,49
2016-08-30,49
2016-08-31,48
2016-09-01,46
2016-09-02,50
2016-09-03,52
2016-09-04,58
2016-09-05,53
2016-09-06,52
2016-09-07,46
2016-09-08,50
2016-09-09,51
2016-09-10,50
2016-09-11,61
