date,ROST
2012-01-26,52
2012-01-27,49
2012-01-28,53
2012-01-29,63
2012-01-30,50
2012-01-31,48
2012-02-01,47
2012-02-02,49
2012-02-03,46
2012-02-04,45
2012-02-05,65
2012-02-06,48
2012-02-07,52
2012-02-08,42
2012-02-09,45
2012-02-10,52
2012-02-11,55
2012-02-12,58
2012-02-13,61
2012-02-14,54
2012-02-15,50
2012-02-16,52
2012-02-17,59
2012-02-18,46
2012-02-19,73
2012-02-20,51
2012-02-21,61
2012-02-22,60
2012-02-23,52
2012-02-24,54
2012-02-25,56
2012-02-26,68
2012-02-27,54
2012-02-28,60
2012-02-29,52
2012-03-01,55
2012-03-02,60
2012-03-03,57
2012-03-04,71
2012-03-05,60
2012-03-06,60
2012-03-07,59
2012-03-08,64
2012-03-09,47
2012-03-10,56
2012-03-11,67
2012-03-12,53
2012-03-13,68
2012-03-14,66
2012-03-15,58
2012-03-16,57
2012-03-17,59
2012-03-18,60
2012-03-19,68
2012-03-20,44
2012-03-21,56
2012-03-22,53
2012-03-23,55
2012-03-24,73
2012-03-25,62
2012-03-26,61
2012-03-27,52
2012-03-28,67
2012-03-29,60
2012-03-30,58
2012-03-31,63
2012-04-01,61
2012-04-02,60
2012-04-03,69
2012-04-04,68
2012-04-05,47
2012-04-06,55
2012-04-07,52
2012-04-08,57
2012-04-09,49
2012-04-10,51
2012-04-11,63
2012-04-12,71
2012-04-13,57
2012-04-14,60
2012-04-15,100
2012-04-16,64
2012-04-17,62
2012-04-18,48
2012-04-19,49
2012-04-20,58
2012-04-21,51
2012-04-22,65
2012-04-23,54
2012-04-24,54
2012-04-25,61
2012-04-26,56
2012-04-27,55
2012-04-28,52
2012-04-29,63
2012-04-30,54
2012-05-01,65
2012-05-02,61
2012-05-03,57
2012-05-04,54
2012-05-05,58
2012-05-06,59
2012-05-07,66
2012-05-08,48
2012-05-09,59
2012-05-10,57
2012-05-11,46
2012-05-12,50
2012-05-13,56
2012-05-14,60
2012-05-15,50
2012-05-16,44
2012-05-17,58
2012-05-18,54
2012-05-19,56
2012-05-20,55
2012-05-21,67
2012-05-22,61
2012-05-23,56
2012-05-24,58
2012-05-25,60
2012-05-26,51
2012-05-27,60
2012-05-28,46
2012-05-29,54
2012-05-30,58
2012-05-31,51
2012-06-01,62
2012-06-02,54
2012-06-03,53
2012-06-04,68
2012-06-05,58
2012-06-06,48
2012-06-07,66
2012-06-08,56
2012-06-09,57
2012-06-10,55
2012-06-11,78
2012-06-12,57
2012-06-13,67
2012-06-14,54
2012-06-15,58
2012-06-16,51
2012-06-17,61
2012-06-18,60
2012-06-19,63
2012-06-20,56
2012-06-21,57
2012-06-22,52
2012-06-23,44
2012-06-24,56
2012-06-25,60
2012-06-26,57
2012-06-27,53
2012-06-28,54
2012-06-29,47
2012-06-30,45
2012-07-01,55
2012-07-02,66
2012-07-03,59
2012-07-04,47
2012-07-05,55
2012-07-06,56
2012-07-07,52
2012-07-08,68
2012-07-09,61
2012-07-10,60
2012-07-11,66
2012-07-12,69
2012-07-13,48
2012-07-14,45
2012-07-15,64
2012-07-16,64
2012-07-17,53
2012-07-18,57
2012-07-19,51
2012-07-20,46
2012-07-21,56
2012-07-22,57
2012-07-23,57
2012-07-24,61
2012-07-25,59
2012-07-26,53
2012-07-27,56
2012-07-28,59
2012-07-29,55
2012-07-30,48
2012-07-31,50
2012-08-01,42
2012-08-02,60
2012-08-03,51
2012-08-04,59
2012-08-05,58
2012-08-06,61
2012-08-07,61
2012-08-08,60
2012-08-09,64
2012-08-10,52
2012-08-11,55
2012-08-12,51
2012-08-13,59
2012-08-14,67
2012-08-15,54
2012-08-16,61
2012-08-17,48
2012-08-18,50
2012-08-19,54
2012-08-20,64
2012-08-21,68
2012-08-22,67
2012-08-23,66
2012-08-24,53
2012-08-25,61
2012-08-26,78
2012-08-27,60
2012-08-28,62
2012-08-29,61
2012-08-30,55
2012-08-31,64
2012-09-01,51
2012-09-02,69
2012-09-03,73
2012-09-04,65
2012-09-05,57
2012-09-06,55
2012-09-07,60
2012-09-08,50
2012-09-09,68
2012-09-10,55
2012-09-11,56
2012-09-12,63
2012-09-13,48
2012-09-14,53
2012-09-15,60
2012-09-16,66
2012-09-17,50
2012-09-18,58
2012-09-19,57
2012-09-20,54
2012-09-21,47
2012-09-22,69
2012-09-23,64
2012-09-24,65
2012-09-25,50
2012-09-26,53
2012-09-27,70
2012-09-28,58
2012-09-29,60
2012-09-30,55
2012-10-01,69
2012-10-02,57
2012-10-03,63
2012-10-04,46
2012-10-05,60
2012-10-06,62
2012-10-07,72
2012-10-08,69
2012-10-09,67
2012-10-10,53
2012-10-11,51
2012-10-12,65
