date,ROST
2013-11-06,77
2013-11-07,68
2013-11-08,74
2013-11-09,73
2013-11-10,89
2013-11-11,85
2013-11-12,62
2013-11-13,64
2013-11-14,59
2013-11-15,60
2013-11-16,67
2013-11-17,88
2013-11-18,73
2013-11-19,71
2013-11-20,72
2013-11-21,81
2013-11-22,74
2013-11-23,67
2013-11-24,88
2013-11-25,72
2013-11-26,78
2013-11-27,76
2013-11-28,81
2013-11-29,64
2013-11-30,74
2013-12-01,63
2013-12-02,74
2013-12-03,77
2013-12-04,67
2013-12-05,69
2013-12-06,62
2013-12-07,66
2013-12-08,75
2013-12-09,64
2013-12-10,65
2013-12-11,64
2013-12-12,65
2013-12-13,67
2013-12-14,59
2013-12-15,62
2013-12-16,62
2013-12-17,62
2013-12-18,67
2013-12-19,70
2013-12-20,56
2013-12-21,62
2013-12-22,68
2013-12-23,64
2013-12-24,72
2013-12-25,85
2013-12-26,65
2013-12-27,60
2013-12-28,69
2013-12-29,74
2013-12-30,70
2013-12-31,57
2014-01-01,67
2014-01-02,68
2014-01-03,75
2014-01-04,78
2014-01-05,75
2014-01-06,71
2014-01-07,75
2014-01-08,72
2014-01-09,69
2014-01-10,78
2014-01-11,96
2014-01-12,67
2014-01-13,68
2014-01-14,68
2014-01-15,62
2014-01-16,58
2014-01-17,72
2014-01-18,68
2014-01-19,83
2014-01-20,71
2014-01-21,73
2014-01-22,70
2014-01-23,64
2014-01-24,61
2014-01-25,57
2014-01-26,73
2014-01-27,63
2014-01-28,60
2014-01-29,72
2014-01-30,74
2014-01-31,58
2014-02-01,62
2014-02-02,75
2014-02-03,69
2014-02-04,73
2014-02-05,77
2014-02-06,62
2014-02-07,71
2014-02-08,69
2014-02-09,85
2014-02-10,66
2014-02-11,69
2014-02-12,62
2014-02-13,71
2014-02-14,58
2014-02-15,70
2014-02-16,81
2014-02-17,55
2014-02-18,72
2014-02-19,65
2014-02-20,63
2014-02-21,61
2014-02-22,68
2014-02-23,75
2014-02-24,75
2014-02-25,67
2014-02-26,68
2014-02-27,70
2014-02-28,69
2014-03-01,79
2014-03-02,76
2014-03-03,74
2014-03-04,69
2014-03-05,68
2014-03-06,77
2014-03-07,66
2014-03-08,57
2014-03-09,84
2014-03-10,66
2014-03-11,84
2014-03-12,70
2014-03-13,86
2014-03-14,90
2014-03-15,71
2014-03-16,91
2014-03-17,86
2014-03-18,75
2014-03-19,74
2014-03-20,71
2014-03-21,70
2014-03-22,82
2014-03-23,95
2014-03-24,68
2014-03-25,72
2014-03-26,69
2014-03-27,75
2014-03-28,73
2014-03-29,73
2014-03-30,85
2014-03-31,81
2014-04-01,77
2014-04-02,78
2014-04-03,85
2014-04-04,77
2014-04-05,77
2014-04-06,98
2014-04-07,76
2014-04-08,78
2014-04-09,71
2014-04-10,55
2014-04-11,74
2014-04-12,82
2014-04-13,100
2014-04-14,72
2014-04-15,79
2014-04-16,74
2014-04-17,63
2014-04-18,70
2014-04-19,69
2014-04-20,90
2014-04-21,80
2014-04-22,76
2014-04-23,79
2014-04-24,74
2014-04-25,75
2014-04-26,74
2014-04-27,87
2014-04-28,79
2014-04-29,73
2014-04-30,73
2014-05-01,94
2014-05-02,73
2014-05-03,88
2014-05-04,87
2014-05-05,90
2014-05-06,78
2014-05-07,76
2014-05-08,79
2014-05-09,68
2014-05-10,79
2014-05-11,76
2014-05-12,89
2014-05-13,75
2014-05-14,69
2014-05-15,89
2014-05-16,68
2014-05-17,81
2014-05-18,87
2014-05-19,60
2014-05-20,75
2014-05-21,80
2014-05-22,72
2014-05-23,70
2014-05-24,70
2014-05-25,88
2014-05-26,83
2014-05-27,69
2014-05-28,75
2014-05-29,66
2014-05-30,72
2014-05-31,70
2014-06-01,93
2014-06-02,77
2014-06-03,65
2014-06-04,71
2014-06-05,75
2014-06-06,76
2014-06-07,56
2014-06-08,73
2014-06-09,65
2014-06-10,74
2014-06-11,80
2014-06-12,67
2014-06-13,61
2014-06-14,65
2014-06-15,78
2014-06-16,65
2014-06-17,73
2014-06-18,73
2014-06-19,67
2014-06-20,78
2014-06-21,56
2014-06-22,97
2014-06-23,64
2014-06-24,76
2014-06-25,75
2014-06-26,65
2014-06-27,68
2014-06-28,64
2014-06-29,92
2014-06-30,65
2014-07-01,70
2014-07-02,80
2014-07-03,80
2014-07-04,74
2014-07-05,70
2014-07-06,87
2014-07-07,77
2014-07-08,86
2014-07-09,80
2014-07-10,65
2014-07-11,68
2014-07-12,77
2014-07-13,78
2014-07-14,71
2014-07-15,65
2014-07-16,84
2014-07-17,73
2014-07-18,76
2014-07-19,69
2014-07-20,92
2014-07-21,81
2014-07-22,73
2014-07-23,75
2014-07-24,67
