date,ROST
2016-09-11,78
2016-09-12,81
2016-09-13,80
2016-09-14,72
2016-09-15,63
2016-09-16,67
2016-09-17,70
2016-09-18,88
2016-09-19,59
2016-09-20,62
2016-09-21,64
2016-09-22,70
2016-09-23,67
2016-09-24,65
2016-09-25,72
2016-09-26,75
2016-09-27,71
2016-09-28,70
2016-09-29,67
2016-09-30,70
2016-10-01,67
2016-10-02,71
2016-10-03,66
2016-10-04,74
2016-10-05,64
2016-10-06,64
2016-10-07,59
2016-10-08,60
2016-10-09,71
2016-10-10,66
2016-10-11,69
2016-10-12,68
2016-10-13,65
2016-10-14,64
2016-10-15,66
2016-10-16,73
2016-10-17,73
2016-10-18,72
2016-10-19,70
2016-10-20,69
2016-10-21,62
2016-10-22,63
2016-10-23,82
2016-10-24,67
2016-10-25,66
2016-10-26,60
2016-10-27,65
2016-10-28,59
2016-10-29,88
2016-10-30,73
2016-10-31,61
2016-11-01,70
2016-11-02,63
2016-11-03,69
2016-11-04,68
2016-11-05,72
2016-11-06,75
2016-11-07,64
2016-11-08,68
2016-11-09,54
2016-11-10,69
2016-11-11,64
2016-11-12,67
2016-11-13,72
2016-11-14,68
2016-11-15,57
2016-11-16,67
2016-11-17,60
2016-11-18,65
2016-11-19,73
2016-11-20,85
2016-11-21,66
2016-11-22,68
2016-11-23,66
2016-11-24,67
2016-11-25,57
2016-11-26,59
2016-11-27,69
2016-11-28,64
2016-11-29,57
2016-11-30,59
2016-12-01,58
2016-12-02,58
2016-12-03,59
2016-12-04,63
2016-12-05,61
2016-12-06,65
2016-12-07,66
2016-12-08,58
2016-12-09,64
2016-12-10,63
2016-12-11,72
2016-12-12,66
2016-12-13,58
2016-12-14,66
2016-12-15,63
2016-12-16,60
2016-12-17,65
2016-12-18,66
2016-12-19,71
2016-12-20,59
2016-12-21,60
2016-12-22,68
2016-12-23,65
2016-12-24,71
2016-12-25,78
2016-12-26,56
2016-12-27,67
2016-12-28,62
2016-12-29,66
2016-12-30,67
2016-12-31,61
2017-01-01,69
2017-01-02,68
2017-01-03,60
2017-01-04,62
2017-01-05,68
2017-01-06,62
2017-01-07,61
2017-01-08,72
2017-01-09,74
2017-01-10,70
2017-01-11,63
2017-01-12,69
2017-01-13,69
2017-01-14,76
2017-01-15,79
2017-01-16,67
2017-01-17,63
2017-01-18,77
2017-01-19,73
2017-01-20,71
2017-01-21,76
2017-01-22,76
2017-01-23,65
2017-01-24,69
2017-01-25,60
2017-01-26,69
2017-01-27,72
2017-01-28,70
2017-01-29,78
2017-01-30,65
2017-01-31,61
2017-02-01,61
2017-02-02,66
2017-02-03,67
2017-02-04,74
2017-02-05,78
2017-02-06,63
2017-02-07,76
2017-02-08,68
2017-02-09,72
2017-02-10,65
2017-02-11,75
2017-02-12,77
2017-02-13,67
2017-02-14,64
2017-02-15,60
2017-02-16,69
2017-02-17,71
2017-02-18,79
2017-02-19,83
2017-02-20,72
2017-02-21,66
2017-02-22,71
2017-02-23,70
2017-02-24,75
2017-02-25,70
2017-02-26,79
2017-02-27,73
2017-02-28,82
2017-03-01,97
2017-03-02,89
2017-03-03,83
2017-03-04,86
2017-03-05,98
2017-03-06,91
2017-03-07,80
2017-03-08,79
2017-03-09,76
2017-03-10,78
2017-03-11,96
2017-03-12,100
2017-03-13,96
2017-03-14,85
2017-03-15,86
2017-03-16,82
2017-03-17,80
2017-03-18,85
2017-03-19,100
2017-03-20,92
2017-03-21,85
2017-03-22,72
2017-03-23,76
2017-03-24,92
2017-03-25,97
2017-03-26,95
2017-03-27,79
2017-03-28,81
2017-03-29,79
2017-03-30,71
2017-03-31,85
2017-04-01,75
