date,FOXA,isPartial
2011-01-01,30,False
2011-01-02,13,False
2011-01-03,52,False
2011-01-04,10,False
2011-01-05,20,False
2011-01-06,31,False
2011-01-07,10,False
2011-01-08,0,False
2011-01-09,12,False
2011-01-10,48,False
2011-01-11,19,False
2011-01-12,10,False
2011-01-13,29,False
2011-01-14,0,False
2011-01-15,12,False
2011-01-16,59,False
2011-01-17,9,False
2011-01-18,9,False
2011-01-19,38,False
2011-01-20,57,False
2011-01-21,40,False
2011-01-22,24,False
2011-01-23,35,False
2011-01-24,28,False
2011-01-25,19,False
2011-01-26,38,False
2011-01-27,57,False
2011-01-28,40,False
2011-01-29,35,False
2011-01-30,22,False
2011-01-31,36,False
2011-02-01,81,False
2011-02-02,46,False
2011-02-03,28,False
2011-02-04,39,False
2011-02-05,0,False
2011-02-06,11,False
2011-02-07,18,False
2011-02-08,46,False
2011-02-09,56,False
2011-02-10,76,False
2011-02-11,49,False
2011-02-12,23,False
2011-02-13,0,False
2011-02-14,74,False
2011-02-15,36,False
2011-02-16,46,False
2011-02-17,47,False
2011-02-18,39,False
2011-02-19,23,False
2011-02-20,34,False
2011-02-21,28,False
2011-02-22,46,False
2011-02-23,19,False
2011-02-24,37,False
2011-02-25,19,False
2011-02-26,68,False
2011-02-27,45,False
2011-02-28,54,False
2011-03-01,45,False
2011-03-02,37,False
2011-03-03,47,False
2011-03-04,69,False
2011-03-05,35,False
2011-03-06,35,False
2011-03-07,85,False
2011-03-08,47,False
2011-03-09,28,False
2011-03-10,18,False
2011-03-11,19,False
2011-03-12,12,False
2011-03-13,23,False
2011-03-14,48,False
2011-03-15,37,False
2011-03-16,55,False
2011-03-17,28,False
2011-03-18,20,False
2011-03-19,34,False
2011-03-20,11,False
2011-03-21,27,False
2011-03-22,64,False
2011-03-23,73,False
2011-03-24,37,False
2011-03-25,10,False
2011-03-26,34,False
2011-03-27,23,False
2011-03-28,27,False
2011-03-29,100,False
2011-03-30,27,False
2011-03-31,46,False
2011-04-01,49,False
2011-04-02,24,False
2011-04-03,23,False
2011-04-04,27,False
2011-04-05,45,False
2011-04-06,28,False
2011-04-07,37,False
2011-04-08,10,False
2011-04-09,12,False
2011-04-10,12,False
2011-04-11,45,False
2011-04-12,18,False
2011-04-13,9,False
2011-04-14,47,False
2011-04-15,39,False
2011-04-16,0,False
2011-04-17,12,False
2011-04-18,19,False
2011-04-19,28,False
2011-04-20,29,False
2011-04-21,10,False
2011-04-22,22,False
2011-04-23,25,False
2011-04-24,25,False
2011-04-25,20,False
2011-04-26,55,False
2011-04-27,54,False
2011-04-28,74,False
2011-04-29,19,False
2011-04-30,24,False
2011-05-01,35,False
2011-05-02,36,False
2011-05-03,63,False
2011-05-04,46,False
2011-05-05,47,False
2011-05-06,19,False
2011-05-07,35,False
2011-05-08,24,False
2011-05-09,27,False
2011-05-10,27,False
2011-05-11,18,False
2011-05-12,64,False
2011-05-13,29,False
2011-05-14,58,False
2011-05-15,66,False
2011-05-16,53,False
2011-05-17,45,False
2011-05-18,36,False
2011-05-19,37,False
2011-05-20,48,False
2011-05-21,35,False
2011-05-22,11,False
2011-05-23,9,False
2011-05-24,27,False
2011-05-25,45,False
2011-05-26,27,False
2011-05-27,0,False
2011-05-28,23,False
2011-05-29,24,False
2011-05-30,38,False
2011-05-31,45,False
2011-06-01,46,False
2011-06-02,19,False
2011-06-03,49,False
2011-06-04,24,False
2011-06-05,12,False
2011-06-06,55,False
2011-06-07,44,False
2011-06-08,45,False
2011-06-09,36,False
2011-06-10,48,False
2011-06-11,35,False
2011-06-12,23,False
2011-06-13,46,False
2011-06-14,44,False
2011-06-15,27,False
2011-06-16,37,False
2011-06-17,39,False
2011-06-18,58,False
2011-06-19,35,False
2011-06-20,35,False
2011-06-21,27,False
2011-06-22,27,False
2011-06-23,10,False
2011-06-24,69,False
2011-06-25,12,False
2011-06-26,24,False
2011-06-27,36,False
2011-06-28,36,False
2011-06-29,18,False
2011-06-30,19,False
2011-07-01,29,False
2011-07-02,12,False
2011-07-03,0,False
2011-07-04,29,False
2011-07-05,19,False
2011-07-06,46,False
2011-07-07,9,False
2011-07-08,10,False
2011-07-09,24,False
2011-07-10,0,False
2011-07-11,27,False
2011-07-12,27,False
2011-07-13,18,False
2011-07-14,57,False
2011-07-15,10,False
2011-07-16,0,False
2011-07-17,12,False
2011-07-18,46,False
2011-07-19,18,False
2011-07-20,37,False
2011-07-21,0,False
2011-07-22,58,False
2011-07-23,11,False
2011-07-24,11,False
2011-07-25,18,False
2011-07-26,18,False
2011-07-27,28,False
2011-07-28,47,False
2011-07-29,10,False
2011-07-30,12,False
2011-07-31,12,False
2011-08-01,46,False
2011-08-02,46,False
2011-08-03,37,False
2011-08-04,37,False
2011-08-05,19,False
2011-08-06,34,False
2011-08-07,33,False
2011-08-08,26,False
2011-08-09,35,False
2011-08-10,27,False
2011-08-11,54,False
2011-08-12,10,False
2011-08-13,12,False
2011-08-14,23,False
2011-08-15,10,False
2011-08-16,63,False
2011-08-17,27,False
2011-08-18,27,False
2011-08-19,28,False
2011-08-20,22,False
2011-08-21,34,False
2011-08-22,9,False
2011-08-23,9,False
2011-08-24,9,False
2011-08-25,52,False
2011-08-26,9,False
2011-08-27,33,False
2011-08-28,32,False
2011-08-29,44,False
2011-08-30,9,False
2011-08-31,53,False
2011-09-01,9,False
2011-09-02,36,False
2011-09-03,11,False
2011-09-04,21,False
2011-09-05,17,False
2011-09-06,17,False
2011-09-07,34,False
2011-09-08,25,False
2011-09-09,18,False
2011-09-10,32,False
2011-09-11,20,False
2011-09-12,50,False
2011-09-13,49,False
2011-09-14,50,False
2011-09-15,59,False
2011-09-16,36,False
2011-09-17,63,False
2011-09-18,0,False
