date,FOXA,isPartial
2015-08-18,65,False
2015-08-19,56,False
2015-08-20,19,False
2015-08-21,29,False
2015-08-22,23,False
2015-08-23,32,False
2015-08-24,55,False
2015-08-25,46,False
2015-08-26,64,False
2015-08-27,47,False
2015-08-28,49,False
2015-08-29,44,False
2015-08-30,11,False
2015-08-31,45,False
2015-09-01,63,False
2015-09-02,18,False
2015-09-03,56,False
2015-09-04,76,False
2015-09-05,22,False
2015-09-06,22,False
2015-09-07,47,False
2015-09-08,45,False
2015-09-09,18,False
2015-09-10,73,False
2015-09-11,47,False
2015-09-12,11,False
2015-09-13,0,False
2015-09-14,44,False
2015-09-15,27,False
2015-09-16,54,False
2015-09-17,99,False
2015-09-18,37,False
2015-09-19,22,False
2015-09-20,21,False
2015-09-21,89,False
2015-09-22,27,False
2015-09-23,27,False
2015-09-24,55,False
2015-09-25,39,False
2015-09-26,11,False
2015-09-27,32,False
2015-09-28,61,False
2015-09-29,36,False
2015-09-30,27,False
2015-10-01,9,False
2015-10-02,38,False
2015-10-03,10,False
2015-10-04,31,False
2015-10-05,27,False
2015-10-06,35,False
2015-10-07,18,False
2015-10-08,9,False
2015-10-09,19,False
2015-10-10,32,False
2015-10-11,10,False
2015-10-12,36,False
2015-10-13,61,False
2015-10-14,9,False
2015-10-15,35,False
2015-10-16,64,False
2015-10-17,31,False
2015-10-18,21,False
2015-10-19,69,False
2015-10-20,61,False
2015-10-21,44,False
2015-10-22,53,False
2015-10-23,75,False
2015-10-24,10,False
2015-10-25,30,False
2015-10-26,60,False
2015-10-27,87,False
2015-10-28,78,False
2015-10-29,80,False
2015-10-30,18,False
2015-10-31,0,False
2015-11-01,21,False
2015-11-02,18,False
2015-11-03,9,False
2015-11-04,70,False
2015-11-05,26,False
2015-11-06,18,False
2015-11-07,10,False
2015-11-08,20,False
2015-11-09,43,False
2015-11-10,35,False
2015-11-11,36,False
2015-11-12,54,False
2015-11-13,37,False
2015-11-14,20,False
2015-11-15,20,False
2015-11-16,60,False
2015-11-17,34,False
2015-11-18,9,False
2015-11-19,44,False
2015-11-20,82,False
2015-11-21,51,False
2015-11-22,10,False
2015-11-23,26,False
2015-11-24,43,False
2015-11-25,9,False
2015-11-26,63,False
2015-11-27,9,False
2015-11-28,20,False
2015-11-29,20,False
2015-11-30,26,False
2015-12-01,9,False
2015-12-02,61,False
2015-12-03,18,False
2015-12-04,27,False
2015-12-05,10,False
2015-12-06,0,False
2015-12-07,44,False
2015-12-08,0,False
2015-12-09,61,False
2015-12-10,62,False
2015-12-11,46,False
2015-12-12,10,False
2015-12-13,41,False
2015-12-14,52,False
2015-12-15,54,False
2015-12-16,46,False
2015-12-17,46,False
2015-12-18,58,False
2015-12-19,11,False
2015-12-20,21,False
2015-12-21,28,False
2015-12-22,9,False
2015-12-23,60,False
2015-12-24,11,False
2015-12-25,12,False
2015-12-26,0,False
2015-12-27,33,False
2015-12-28,48,False
2015-12-29,29,False
2015-12-30,39,False
2015-12-31,33,False
2016-01-01,0,False
2016-01-02,33,False
2016-01-03,33,False
2016-01-04,38,False
2016-01-05,28,False
2016-01-06,19,False
2016-01-07,48,False
2016-01-08,49,False
2016-01-09,32,False
2016-01-10,31,False
2016-01-11,46,False
2016-01-12,36,False
2016-01-13,28,False
2016-01-14,46,False
2016-01-15,10,False
2016-01-16,32,False
2016-01-17,62,False
2016-01-18,46,False
2016-01-19,55,False
2016-01-20,56,False
2016-01-21,19,False
2016-01-22,10,False
2016-01-23,10,False
