date,XLNX
2011-01-01,39
2011-01-02,38
2011-01-03,36
2011-01-04,52
2011-01-05,44
2011-01-06,36
2011-01-07,24
2011-01-08,21
2011-01-09,31
2011-01-10,34
2011-01-11,59
2011-01-12,34
2011-01-13,34
2011-01-14,23
2011-01-15,35
2011-01-16,28
2011-01-17,42
2011-01-18,49
2011-01-19,72
2011-01-20,67
2011-01-21,52
2011-01-22,21
2011-01-23,54
2011-01-24,43
2011-01-25,44
2011-01-26,83
2011-01-27,61
2011-01-28,70
2011-01-29,47
2011-01-30,20
2011-01-31,84
2011-02-01,79
2011-02-02,74
2011-02-03,38
2011-02-04,34
2011-02-05,40
2011-02-06,26
2011-02-07,48
2011-02-08,49
2011-02-09,54
2011-02-10,50
2011-02-11,57
2011-02-12,41
2011-02-13,40
2011-02-14,49
2011-02-15,47
2011-02-16,32
2011-02-17,39
2011-02-18,26
2011-02-19,41
2011-02-20,100
2011-02-21,64
2011-02-22,48
2011-02-23,38
2011-02-24,33
2011-02-25,28
2011-02-26,20
2011-02-27,39
2011-02-28,47
2011-03-01,69
2011-03-02,43
2011-03-03,44
2011-03-04,52
2011-03-05,40
2011-03-06,20
2011-03-07,25
2011-03-08,33
2011-03-09,37
2011-03-10,32
2011-03-11,33
2011-03-12,48
2011-03-13,30
2011-03-14,45
2011-03-15,27
2011-03-16,69
2011-03-17,43
2011-03-18,40
2011-03-19,40
2011-03-20,53
2011-03-21,53
2011-03-22,37
2011-03-23,40
2011-03-24,24
2011-03-25,51
2011-03-26,60
2011-03-27,39
2011-03-28,31
2011-03-29,37
2011-03-30,32
2011-03-31,24
2011-04-01,17
2011-04-02,41
2011-04-03,20
2011-04-04,58
2011-04-05,16
2011-04-06,32
2011-04-07,22
2011-04-08,26
2011-04-09,21
2011-04-10,20
2011-04-11,32
2011-04-12,32
2011-04-13,59
2011-04-14,38
2011-04-15,34
2011-04-16,41
2011-04-17,41
2011-04-18,41
2011-04-19,66
2011-04-20,33
2011-04-21,36
2011-04-22,19
2011-04-23,33
2011-04-24,23
2011-04-25,27
2011-04-26,26
2011-04-27,63
2011-04-28,48
2011-04-29,34
2011-04-30,41
2011-05-01,20
2011-05-02,32
2011-05-03,53
2011-05-04,40
2011-05-05,54
2011-05-06,42
2011-05-07,51
2011-05-08,27
2011-05-09,26
2011-05-10,53
2011-05-11,37
2011-05-12,43
2011-05-13,50
2011-05-14,20
2011-05-15,39
2011-05-16,39
2011-05-17,26
2011-05-18,42
2011-05-19,32
2011-05-20,22
2011-05-21,31
2011-05-22,33
2011-05-23,42
2011-05-24,31
2011-05-25,32
2011-05-26,16
2011-05-27,25
2011-05-28,20
2011-05-29,0
2011-05-30,17
2011-05-31,32
2011-06-01,48
2011-06-02,17
2011-06-03,43
2011-06-04,21
2011-06-05,41
2011-06-06,39
2011-06-07,36
2011-06-08,32
2011-06-09,16
2011-06-10,42
2011-06-11,0
2011-06-12,34
2011-06-13,27
2011-06-14,36
2011-06-15,52
2011-06-16,47
2011-06-17,45
2011-06-18,61
2011-06-19,40
2011-06-20,31
2011-06-21,16
2011-06-22,32
2011-06-23,41
2011-06-24,43
2011-06-25,40
2011-06-26,41
2011-06-27,47
2011-06-28,31
2011-06-29,37
2011-06-30,16
2011-07-01,40
2011-07-02,21
2011-07-03,21
2011-07-04,17
2011-07-05,21
2011-07-06,40
2011-07-07,48
2011-07-08,17
2011-07-09,21
2011-07-10,21
2011-07-11,16
2011-07-12,24
2011-07-13,48
2011-07-14,16
2011-07-15,17
2011-07-16,42
2011-07-17,0
2011-07-18,32
2011-07-19,47
2011-07-20,32
2011-07-21,16
2011-07-22,23
2011-07-23,0
2011-07-24,27
2011-07-25,16
2011-07-26,21
2011-07-27,16
2011-07-28,41
2011-07-29,17
2011-07-30,0
2011-07-31,31
2011-08-01,16
2011-08-02,27
2011-08-03,21
2011-08-04,21
2011-08-05,17
2011-08-06,40
2011-08-07,39
2011-08-08,36
2011-08-09,47
2011-08-10,31
2011-08-11,31
2011-08-12,34
2011-08-13,20
2011-08-14,40
2011-08-15,22
2011-08-16,26
2011-08-17,32
2011-08-18,16
2011-08-19,16
2011-08-20,20
2011-08-21,0
2011-08-22,30
2011-08-23,15
2011-08-24,23
2011-08-25,39
2011-08-26,40
2011-08-27,19
2011-08-28,0
2011-08-29,38
2011-08-30,30
2011-08-31,35
2011-09-01,46
2011-09-02,37
2011-09-03,44
2011-09-04,64
2011-09-05,23
2011-09-06,44
2011-09-07,30
2011-09-08,30
2011-09-09,39
2011-09-10,0
2011-09-11,27
2011-09-12,19
2011-09-13,29
2011-09-14,22
2011-09-15,39
2011-09-16,47
2011-09-17,18
2011-09-18,41
