date,XLNX
2016-05-04,48
2016-05-05,34
2016-05-06,56
2016-05-07,33
2016-05-08,46
2016-05-09,39
2016-05-10,50
2016-05-11,39
2016-05-12,47
2016-05-13,48
2016-05-14,50
2016-05-15,25
2016-05-16,60
2016-05-17,44
2016-05-18,54
2016-05-19,41
2016-05-20,51
2016-05-21,33
2016-05-22,46
2016-05-23,41
2016-05-24,52
2016-05-25,66
2016-05-26,51
2016-05-27,54
2016-05-28,37
2016-05-29,26
2016-05-30,36
2016-05-31,23
2016-06-01,35
2016-06-02,57
2016-06-03,41
2016-06-04,49
2016-06-05,39
2016-06-06,37
2016-06-07,18
2016-06-08,34
2016-06-09,36
2016-06-10,27
2016-06-11,23
2016-06-12,20
2016-06-13,31
2016-06-14,60
2016-06-15,33
2016-06-16,37
2016-06-17,45
2016-06-18,30
2016-06-19,37
2016-06-20,33
2016-06-21,41
2016-06-22,27
2016-06-23,40
2016-06-24,49
2016-06-25,32
2016-06-26,39
2016-06-27,43
2016-06-28,43
2016-06-29,54
2016-06-30,39
2016-07-01,27
2016-07-02,33
2016-07-03,36
2016-07-04,27
2016-07-05,22
2016-07-06,58
2016-07-07,49
2016-07-08,59
2016-07-09,55
2016-07-10,40
2016-07-11,60
2016-07-12,51
2016-07-13,46
2016-07-14,57
2016-07-15,41
2016-07-16,40
2016-07-17,38
2016-07-18,58
2016-07-19,54
2016-07-20,50
2016-07-21,41
2016-07-22,49
2016-07-23,35
2016-07-24,42
2016-07-25,46
2016-07-26,36
2016-07-27,74
2016-07-28,57
2016-07-29,55
2016-07-30,31
2016-07-31,54
2016-08-01,46
2016-08-02,59
2016-08-03,42
2016-08-04,40
2016-08-05,42
2016-08-06,29
2016-08-07,42
2016-08-08,32
2016-08-09,45
2016-08-10,56
2016-08-11,73
2016-08-12,50
2016-08-13,38
2016-08-14,23
2016-08-15,52
2016-08-16,46
2016-08-17,54
2016-08-18,28
2016-08-19,43
2016-08-20,48
2016-08-21,43
2016-08-22,33
2016-08-23,54
2016-08-24,45
2016-08-25,64
2016-08-26,60
2016-08-27,60
2016-08-28,59
2016-08-29,41
2016-08-30,58
2016-08-31,39
2016-09-01,59
2016-09-02,38
2016-09-03,44
2016-09-04,59
2016-09-05,46
2016-09-06,40
2016-09-07,25
2016-09-08,50
2016-09-09,53
2016-09-10,54
2016-09-11,29
2016-09-12,54
2016-09-13,63
2016-09-14,46
2016-09-15,41
2016-09-16,56
2016-09-17,38
2016-09-18,50
2016-09-19,60
2016-09-20,56
2016-09-21,49
2016-09-22,82
2016-09-23,48
2016-09-24,36
2016-09-25,53
2016-09-26,73
2016-09-27,62
2016-09-28,37
2016-09-29,59
2016-09-30,60
2016-10-01,44
2016-10-02,59
2016-10-03,57
2016-10-04,50
2016-10-05,60
2016-10-06,56
2016-10-07,54
2016-10-08,46
2016-10-09,46
2016-10-10,32
2016-10-11,49
2016-10-12,53
2016-10-13,49
2016-10-14,56
2016-10-15,24
2016-10-16,66
2016-10-17,42
2016-10-18,66
2016-10-19,98
2016-10-20,82
2016-10-21,67
2016-10-22,35
2016-10-23,66
2016-10-24,65
2016-10-25,53
2016-10-26,55
2016-10-27,47
2016-10-28,55
2016-10-29,52
2016-10-30,39
2016-10-31,63
2016-11-01,55
2016-11-02,59
2016-11-03,68
2016-11-04,57
2016-11-05,44
2016-11-06,52
2016-11-07,52
2016-11-08,63
2016-11-09,41
2016-11-10,61
2016-11-11,38
2016-11-12,55
2016-11-13,71
2016-11-14,72
2016-11-15,51
2016-11-16,69
2016-11-17,52
2016-11-18,57
2016-11-19,43
2016-11-20,37
2016-11-21,56
2016-11-22,58
2016-11-23,40
2016-11-24,53
2016-11-25,51
2016-11-26,52
2016-11-27,39
2016-11-28,66
2016-11-29,41
2016-11-30,65
2016-12-01,63
2016-12-02,75
2016-12-03,57
2016-12-04,54
2016-12-05,73
2016-12-06,38
2016-12-07,65
2016-12-08,71
2016-12-09,47
2016-12-10,53
2016-12-11,43
2016-12-12,54
2016-12-13,74
2016-12-14,100
2016-12-15,91
2016-12-16,84
2016-12-17,46
2016-12-18,45
2016-12-19,50
2016-12-20,92
2016-12-21,52
2016-12-22,61
2016-12-23,76
2016-12-24,35
2016-12-25,67
2016-12-26,35
2016-12-27,71
2016-12-28,62
2016-12-29,51
2016-12-30,47
2016-12-31,34
2017-01-01,46
2017-01-02,29
2017-01-03,68
2017-01-04,54
2017-01-05,57
2017-01-06,40
2017-01-07,43
2017-01-08,49
2017-01-09,39
2017-01-10,57
2017-01-11,64
2017-01-12,53
2017-01-13,66
2017-01-14,59
2017-01-15,52
2017-01-16,60
2017-01-17,46
2017-01-18,53
2017-01-19,57
