date,XLNX
2012-01-26,47
2012-01-27,29
2012-01-28,78
2012-01-29,44
2012-01-30,18
2012-01-31,45
2012-02-01,45
2012-02-02,100
2012-02-03,47
2012-02-04,43
2012-02-05,54
2012-02-06,63
2012-02-07,63
2012-02-08,27
2012-02-09,36
2012-02-10,47
2012-02-11,43
2012-02-12,94
2012-02-13,27
2012-02-14,46
2012-02-15,55
2012-02-16,36
2012-02-17,19
2012-02-18,22
2012-02-19,22
2012-02-20,84
2012-02-21,55
2012-02-22,36
2012-02-23,36
2012-02-24,37
2012-02-25,22
2012-02-26,22
2012-02-27,53
2012-02-28,35
2012-02-29,72
2012-03-01,57
2012-03-02,49
2012-03-03,34
2012-03-04,45
2012-03-05,46
2012-03-06,54
2012-03-07,18
2012-03-08,55
2012-03-09,38
2012-03-10,43
2012-03-11,43
2012-03-12,44
2012-03-13,71
2012-03-14,27
2012-03-15,46
2012-03-16,47
2012-03-17,44
2012-03-18,0
2012-03-19,18
2012-03-20,53
2012-03-21,36
2012-03-22,27
2012-03-23,38
2012-03-24,22
2012-03-25,66
2012-03-26,45
2012-03-27,63
2012-03-28,18
2012-03-29,46
2012-03-30,38
2012-03-31,0
2012-04-01,55
2012-04-02,0
2012-04-03,46
2012-04-04,46
2012-04-05,38
2012-04-06,43
2012-04-07,57
2012-04-08,23
2012-04-09,43
2012-04-10,37
2012-04-11,36
2012-04-12,27
2012-04-13,76
2012-04-14,22
2012-04-15,43
2012-04-16,36
2012-04-17,26
2012-04-18,18
2012-04-19,45
2012-04-20,19
2012-04-21,75
2012-04-22,53
2012-04-23,71
2012-04-24,44
2012-04-25,62
2012-04-26,63
2012-04-27,66
2012-04-28,44
2012-04-29,66
2012-04-30,37
2012-05-01,49
2012-05-02,45
2012-05-03,54
2012-05-04,19
2012-05-05,43
2012-05-06,53
2012-05-07,53
2012-05-08,44
2012-05-09,35
2012-05-10,63
2012-05-11,56
2012-05-12,55
2012-05-13,65
2012-05-14,88
2012-05-15,35
2012-05-16,97
2012-05-17,37
2012-05-18,57
2012-05-19,33
2012-05-20,65
2012-05-21,53
2012-05-22,35
2012-05-23,89
2012-05-24,54
2012-05-25,76
2012-05-26,45
2012-05-27,23
2012-05-28,56
2012-05-29,60
2012-05-30,70
2012-05-31,89
2012-06-01,56
2012-06-02,22
2012-06-03,75
2012-06-04,52
2012-06-05,70
2012-06-06,44
2012-06-07,45
2012-06-08,37
2012-06-09,32
2012-06-10,65
2012-06-11,78
2012-06-12,69
2012-06-13,35
2012-06-14,45
2012-06-15,19
2012-06-16,0
2012-06-17,44
2012-06-18,18
2012-06-19,17
2012-06-20,18
2012-06-21,36
2012-06-22,47
2012-06-23,22
2012-06-24,0
2012-06-25,61
2012-06-26,35
2012-06-27,53
2012-06-28,18
2012-06-29,19
2012-06-30,22
2012-07-01,45
2012-07-02,62
2012-07-03,54
2012-07-04,19
2012-07-05,27
2012-07-06,19
2012-07-07,67
2012-07-08,55
2012-07-09,44
2012-07-10,62
2012-07-11,54
2012-07-12,45
2012-07-13,65
2012-07-14,0
2012-07-15,44
2012-07-16,53
2012-07-17,18
2012-07-18,27
2012-07-19,36
2012-07-20,66
2012-07-21,0
2012-07-22,0
2012-07-23,45
2012-07-24,45
2012-07-25,18
2012-07-26,18
2012-07-27,47
2012-07-28,45
2012-07-29,44
2012-07-30,53
2012-07-31,45
2012-08-01,27
2012-08-02,18
2012-08-03,28
2012-08-04,68
2012-08-05,22
2012-08-06,18
2012-08-07,36
2012-08-08,54
2012-08-09,27
2012-08-10,19
2012-08-11,0
2012-08-12,33
2012-08-13,62
2012-08-14,18
2012-08-15,19
2012-08-16,27
2012-08-17,37
2012-08-18,68
2012-08-19,34
2012-08-20,47
2012-08-21,27
2012-08-22,36
2012-08-23,36
2012-08-24,28
2012-08-25,86
2012-08-26,63
2012-08-27,35
2012-08-28,17
2012-08-29,0
2012-08-30,44
2012-08-31,0
2012-09-01,0
2012-09-02,43
2012-09-03,18
2012-09-04,17
2012-09-05,60
2012-09-06,53
2012-09-07,19
2012-09-08,42
2012-09-09,21
2012-09-10,17
2012-09-11,34
2012-09-12,51
2012-09-13,17
2012-09-14,63
2012-09-15,73
2012-09-16,31
2012-09-17,51
2012-09-18,50
2012-09-19,60
2012-09-20,43
2012-09-21,36
2012-09-22,21
2012-09-23,51
2012-09-24,34
2012-09-25,34
2012-09-26,34
2012-09-27,34
2012-09-28,54
2012-09-29,21
2012-09-30,40
2012-10-01,68
2012-10-02,51
2012-10-03,67
2012-10-04,33
2012-10-05,43
2012-10-06,20
2012-10-07,39
2012-10-08,33
2012-10-09,56
2012-10-10,65
2012-10-11,66
2012-10-12,44
