date,XLNX
2013-11-06,22
2013-11-07,29
2013-11-08,19
2013-11-09,32
2013-11-10,21
2013-11-11,27
2013-11-12,18
2013-11-13,23
2013-11-14,22
2013-11-15,36
2013-11-16,13
2013-11-17,25
2013-11-18,35
2013-11-19,14
2013-11-20,27
2013-11-21,27
2013-11-22,13
2013-11-23,17
2013-11-24,16
2013-11-25,25
2013-11-26,21
2013-11-27,27
2013-11-28,15
2013-11-29,9
2013-11-30,8
2013-12-01,16
2013-12-02,33
2013-12-03,26
2013-12-04,32
2013-12-05,23
2013-12-06,20
2013-12-07,10
2013-12-08,9
2013-12-09,35
2013-12-10,26
2013-12-11,38
2013-12-12,17
2013-12-13,27
2013-12-14,19
2013-12-15,23
2013-12-16,25
2013-12-17,25
2013-12-18,18
2013-12-19,36
2013-12-20,9
2013-12-21,17
2013-12-22,20
2013-12-23,14
2013-12-24,18
2013-12-25,21
2013-12-26,12
2013-12-27,12
2013-12-28,7
2013-12-29,17
2013-12-30,23
2013-12-31,17
2014-01-01,16
2014-01-02,6
2014-01-03,17
2014-01-04,20
2014-01-05,16
2014-01-06,23
2014-01-07,35
2014-01-08,17
2014-01-09,24
2014-01-10,20
2014-01-11,12
2014-01-12,18
2014-01-13,17
2014-01-14,26
2014-01-15,26
2014-01-16,19
2014-01-17,36
2014-01-18,22
2014-01-19,16
2014-01-20,26
2014-01-21,29
2014-01-22,46
2014-01-23,22
2014-01-24,30
2014-01-25,14
2014-01-26,27
2014-01-27,15
2014-01-28,37
2014-01-29,24
2014-01-30,26
2014-01-31,32
2014-02-01,22
2014-02-02,24
2014-02-03,25
2014-02-04,25
2014-02-05,22
2014-02-06,30
2014-02-07,17
2014-02-08,24
2014-02-09,29
2014-02-10,25
2014-02-11,34
2014-02-12,27
2014-02-13,22
2014-02-14,12
2014-02-15,14
2014-02-16,16
2014-02-17,19
2014-02-18,22
2014-02-19,30
2014-02-20,10
2014-02-21,23
2014-02-22,8
2014-02-23,26
2014-02-24,28
2014-02-25,23
2014-02-26,18
2014-02-27,27
2014-02-28,34
2014-03-01,12
2014-03-02,14
2014-03-03,22
2014-03-04,33
2014-03-05,22
2014-03-06,26
2014-03-07,30
2014-03-08,10
2014-03-09,10
2014-03-10,20
2014-03-11,27
2014-03-12,25
2014-03-13,34
2014-03-14,29
2014-03-15,12
2014-03-16,12
2014-03-17,25
2014-03-18,23
2014-03-19,30
2014-03-20,34
2014-03-21,21
2014-03-22,24
2014-03-23,16
2014-03-24,18
2014-03-25,27
2014-03-26,20
2014-03-27,27
2014-03-28,28
2014-03-29,12
2014-03-30,12
2014-03-31,27
2014-04-01,20
2014-04-02,17
2014-04-03,26
2014-04-04,23
2014-04-05,16
2014-04-06,21
2014-04-07,23
2014-04-08,28
2014-04-09,22
2014-04-10,29
2014-04-11,14
2014-04-12,23
2014-04-13,15
2014-04-14,17
2014-04-15,29
2014-04-16,31
2014-04-17,22
2014-04-18,12
2014-04-19,23
2014-04-20,13
2014-04-21,13
2014-04-22,15
2014-04-23,25
2014-04-24,57
2014-04-25,41
2014-04-26,28
2014-04-27,14
2014-04-28,25
2014-04-29,35
2014-04-30,21
2014-05-01,22
2014-05-02,20
2014-05-03,28
2014-05-04,21
2014-05-05,18
2014-05-06,34
2014-05-07,32
2014-05-08,22
2014-05-09,28
2014-05-10,20
2014-05-11,18
2014-05-12,25
2014-05-13,31
2014-05-14,37
2014-05-15,15
2014-05-16,16
2014-05-17,18
2014-05-18,24
2014-05-19,15
2014-05-20,10
2014-05-21,33
2014-05-22,30
2014-05-23,27
2014-05-24,27
2014-05-25,29
2014-05-26,17
2014-05-27,33
2014-05-28,24
2014-05-29,27
2014-05-30,29
2014-05-31,30
2014-06-01,27
2014-06-02,24
2014-06-03,18
2014-06-04,30
2014-06-05,25
2014-06-06,16
2014-06-07,32
2014-06-08,26
2014-06-09,25
2014-06-10,23
2014-06-11,35
2014-06-12,27
2014-06-13,37
2014-06-14,20
2014-06-15,17
2014-06-16,13
2014-06-17,26
2014-06-18,23
2014-06-19,17
2014-06-20,20
2014-06-21,24
2014-06-22,12
2014-06-23,19
2014-06-24,21
2014-06-25,25
2014-06-26,19
2014-06-27,12
2014-06-28,17
2014-06-29,14
2014-06-30,19
2014-07-01,13
2014-07-02,21
2014-07-03,25
2014-07-04,21
2014-07-05,7
2014-07-06,19
2014-07-07,11
2014-07-08,31
2014-07-09,11
2014-07-10,15
2014-07-11,24
2014-07-12,16
2014-07-13,20
2014-07-14,30
2014-07-15,21
2014-07-16,31
2014-07-17,21
2014-07-18,22
2014-07-19,9
2014-07-20,14
2014-07-21,19
2014-07-22,30
2014-07-23,100
2014-07-24,46
