date,CELG
2014-12-01,73
2014-12-02,63
2014-12-03,50
2014-12-04,53
2014-12-05,60
2014-12-06,30
2014-12-07,10
2014-12-08,73
2014-12-09,55
2014-12-10,77
2014-12-11,54
2014-12-12,48
2014-12-13,16
2014-12-14,11
2014-12-15,63
2014-12-16,48
2014-12-17,50
2014-12-18,46
2014-12-19,42
2014-12-20,16
2014-12-21,12
2014-12-22,58
2014-12-23,52
2014-12-24,30
2014-12-25,10
2014-12-26,35
2014-12-27,14
2014-12-28,8
2014-12-29,57
2014-12-30,51
2014-12-31,31
2015-01-01,9
2015-01-02,39
2015-01-03,27
2015-01-04,18
2015-01-05,77
2015-01-06,78
2015-01-07,68
2015-01-08,57
2015-01-09,64
2015-01-10,24
2015-01-11,15
2015-01-12,66
2015-01-13,67
2015-01-14,65
2015-01-15,51
2015-01-16,42
2015-01-17,17
2015-01-18,5
2015-01-19,61
2015-01-20,55
2015-01-21,53
2015-01-22,55
2015-01-23,45
2015-01-24,14
2015-01-25,13
2015-01-26,47
2015-01-27,47
2015-01-28,50
2015-01-29,53
2015-01-30,62
2015-01-31,44
2015-02-01,25
2015-02-02,74
2015-02-03,71
2015-02-04,83
2015-02-05,87
2015-02-06,69
2015-02-07,28
2015-02-08,17
2015-02-09,77
2015-02-10,74
2015-02-11,53
2015-02-12,58
2015-02-13,51
2015-02-14,22
2015-02-15,17
2015-02-16,34
2015-02-17,22
2015-02-18,73
2015-02-19,77
2015-02-20,71
2015-02-21,33
2015-02-22,11
2015-02-23,61
2015-02-24,58
2015-02-25,53
2015-02-26,50
2015-02-27,51
2015-02-28,20
2015-03-01,17
2015-03-02,69
2015-03-03,58
2015-03-04,58
2015-03-05,64
2015-03-06,61
2015-03-07,24
2015-03-08,12
2015-03-09,74
2015-03-10,80
2015-03-11,54
2015-03-12,52
2015-03-13,49
2015-03-14,24
2015-03-15,12
2015-03-16,56
2015-03-17,47
2015-03-18,46
2015-03-19,53
2015-03-20,51
2015-03-21,22
2015-03-22,12
2015-03-23,53
2015-03-24,47
2015-03-25,47
2015-03-26,55
2015-03-27,54
2015-03-28,23
2015-03-29,12
2015-03-30,75
2015-03-31,73
2015-04-01,62
2015-04-02,44
2015-04-03,17
2015-04-04,15
2015-04-05,12
2015-04-06,77
2015-04-07,64
2015-04-08,69
2015-04-09,55
2015-04-10,53
2015-04-11,18
2015-04-12,12
2015-04-13,66
2015-04-14,55
2015-04-15,59
2015-04-16,56
2015-04-17,50
2015-04-18,17
2015-04-19,13
2015-04-20,40
2015-04-21,17
2015-04-22,65
2015-04-23,59
2015-04-24,61
2015-04-25,21
2015-04-26,11
2015-04-27,67
2015-04-28,56
2015-04-29,64
2015-04-30,67
2015-05-01,16
2015-05-02,14
2015-05-03,13
2015-05-04,67
2015-05-05,59
2015-05-06,74
2015-05-07,65
2015-05-08,68
2015-05-09,28
2015-05-10,13
2015-05-11,59
2015-05-12,64
2015-05-13,53
2015-05-14,55
2015-05-15,52
2015-05-16,26
2015-05-17,6
2015-05-18,60
2015-05-19,71
2015-05-20,59
2015-05-21,52
2015-05-22,63
2015-05-23,13
2015-05-24,10
2015-05-25,52
2015-05-26,51
2015-05-27,45
2015-05-28,45
2015-05-29,42
2015-05-30,17
2015-05-31,10
2015-06-01,67
2015-06-02,55
2015-06-03,44
2015-06-04,18
2015-06-05,47
2015-06-06,17
2015-06-07,15
2015-06-08,100
2015-06-09,92
2015-06-10,81
2015-06-11,75
2015-06-12,46
2015-06-13,18
2015-06-14,9
2015-06-15,45
2015-06-16,39
2015-06-17,54
2015-06-18,53
2015-06-19,46
2015-06-20,16
2015-06-21,6
2015-06-22,54
2015-06-23,47
2015-06-24,37
2015-06-25,33
2015-06-26,31
2015-06-27,10
2015-06-28,7
2015-06-29,47
2015-06-30,56
2015-07-01,48
2015-07-02,47
2015-07-03,48
2015-07-04,21
2015-07-05,16
2015-07-06,67
2015-07-07,56
2015-07-08,60
2015-07-09,62
2015-07-10,53
2015-07-11,14
2015-07-12,8
2015-07-13,53
2015-07-14,60
2015-07-15,64
2015-07-16,54
2015-07-17,45
2015-07-18,17
2015-07-19,10
2015-07-20,54
2015-07-21,47
2015-07-22,50
2015-07-23,50
2015-07-24,43
2015-07-25,12
2015-07-26,6
2015-07-27,43
2015-07-28,45
2015-07-29,46
2015-07-30,43
2015-07-31,40
2015-08-01,16
2015-08-02,11
2015-08-03,61
2015-08-04,54
2015-08-05,50
2015-08-06,60
2015-08-07,60
2015-08-08,20
2015-08-09,9
2015-08-10,59
2015-08-11,76
2015-08-12,69
2015-08-13,59
2015-08-14,53
2015-08-15,15
2015-08-16,11
2015-08-17,60
2015-08-18,64
