date,CELG,isPartial
2011-09-18,13,False
2011-09-19,68,False
2011-09-20,62,False
2011-09-21,44,False
2011-09-22,40,False
2011-09-23,56,False
2011-09-24,23,False
2011-09-25,13,False
2011-09-26,62,False
2011-09-27,67,False
2011-09-28,68,False
2011-09-29,45,False
2011-09-30,47,False
2011-10-01,13,False
2011-10-02,23,False
2011-10-03,69,False
2011-10-04,72,False
2011-10-05,86,False
2011-10-06,71,False
2011-10-07,68,False
2011-10-08,22,False
2011-10-09,12,False
2011-10-10,78,False
2011-10-11,68,False
2011-10-12,25,False
2011-10-13,65,False
2011-10-14,73,False
2011-10-15,16,False
2011-10-16,15,False
2011-10-17,58,False
2011-10-18,56,False
2011-10-19,74,False
2011-10-20,55,False
2011-10-21,27,False
2011-10-22,22,False
2011-10-23,6,False
2011-10-24,58,False
2011-10-25,65,False
2011-10-26,49,False
2011-10-27,62,False
2011-10-28,57,False
2011-10-29,29,False
2011-10-30,6,False
2011-10-31,58,False
2011-11-01,42,False
2011-11-02,18,False
2011-11-03,61,False
2011-11-04,92,False
2011-11-05,28,False
2011-11-06,15,False
2011-11-07,89,False
2011-11-08,87,False
2011-11-09,83,False
2011-11-10,59,False
2011-11-11,59,False
2011-11-12,28,False
2011-11-13,12,False
2011-11-14,40,False
2011-11-15,25,False
2011-11-16,50,False
2011-11-17,75,False
2011-11-18,85,False
2011-11-19,30,False
2011-11-20,6,False
2011-11-21,87,False
2011-11-22,59,False
2011-11-23,43,False
2011-11-24,54,False
2011-11-25,71,False
2011-11-26,22,False
2011-11-27,9,False
2011-11-28,61,False
2011-11-29,71,False
2011-11-30,56,False
2011-12-01,90,False
2011-12-02,53,False
2011-12-03,27,False
2011-12-04,15,False
2011-12-05,84,False
2011-12-06,71,False
2011-12-07,91,False
2011-12-08,97,False
2011-12-09,90,False
2011-12-10,33,False
2011-12-11,15,False
2011-12-12,68,False
2011-12-13,56,False
2011-12-14,92,False
2011-12-15,43,False
2011-12-16,63,False
2011-12-17,28,False
2011-12-18,21,False
2011-12-19,80,False
2011-12-20,72,False
2011-12-21,39,False
2011-12-22,32,False
2011-12-23,46,False
2011-12-24,17,False
2011-12-25,11,False
2011-12-26,68,False
2011-12-27,43,False
2011-12-28,50,False
2011-12-29,62,False
2011-12-30,42,False
2011-12-31,13,False
2012-01-01,10,False
2012-01-02,74,False
2012-01-03,64,False
2012-01-04,78,False
2012-01-05,85,False
2012-01-06,72,False
2012-01-07,32,False
2012-01-08,20,False
2012-01-09,93,False
2012-01-10,71,False
2012-01-11,64,False
2012-01-12,69,False
2012-01-13,59,False
2012-01-14,28,False
2012-01-15,6,False
2012-01-16,47,False
2012-01-17,61,False
2012-01-18,49,False
2012-01-19,42,False
2012-01-20,37,False
2012-01-21,14,False
2012-01-22,14,False
2012-01-23,59,False
2012-01-24,68,False
2012-01-25,46,False
2012-01-26,57,False
2012-01-27,46,False
2012-01-28,28,False
2012-01-29,11,False
2012-01-30,34,False
2012-01-31,44,False
2012-02-01,37,False
2012-02-02,68,False
2012-02-03,55,False
2012-02-04,30,False
2012-02-05,14,False
2012-02-06,55,False
2012-02-07,88,False
2012-02-08,69,False
2012-02-09,41,False
2012-02-10,53,False
2012-02-11,31,False
2012-02-12,13,False
2012-02-13,50,False
2012-02-14,58,False
2012-02-15,48,False
2012-02-16,70,False
2012-02-17,36,False
2012-02-18,23,False
2012-02-19,9,False
2012-02-20,26,False
2012-02-21,14,False
2012-02-22,57,False
2012-02-23,56,False
2012-02-24,51,False
2012-02-25,25,False
2012-02-26,19,False
2012-02-27,73,False
2012-02-28,50,False
2012-02-29,73,False
2012-03-01,46,False
2012-03-02,86,False
2012-03-03,29,False
2012-03-04,17,False
2012-03-05,59,False
2012-03-06,100,False
2012-03-07,81,False
2012-03-08,63,False
2012-03-09,68,False
2012-03-10,30,False
2012-03-11,11,False
2012-03-12,71,False
2012-03-13,87,False
2012-03-14,57,False
2012-03-15,41,False
2012-03-16,68,False
2012-03-17,11,False
2012-03-18,14,False
2012-03-19,66,False
2012-03-20,44,False
2012-03-21,58,False
2012-03-22,40,False
2012-03-23,52,False
2012-03-24,31,False
2012-03-25,22,False
2012-03-26,59,False
2012-03-27,50,False
2012-03-28,42,False
2012-03-29,51,False
2012-03-30,52,False
2012-03-31,19,False
2012-04-01,17,False
2012-04-02,72,False
2012-04-03,58,False
2012-04-04,69,False
2012-04-05,39,False
2012-04-06,11,False
2012-04-07,18,False
2012-04-08,12,False
2012-04-09,78,False
2012-04-10,62,False
2012-04-11,58,False
2012-04-12,76,False
2012-04-13,83,False
2012-04-14,19,False
2012-04-15,13,False
2012-04-16,81,False
2012-04-17,61,False
2012-04-18,54,False
2012-04-19,55,False
2012-04-20,48,False
2012-04-21,33,False
2012-04-22,5,False
2012-04-23,66,False
2012-04-24,79,False
2012-04-25,43,False
2012-04-26,60,False
2012-04-27,63,False
2012-04-28,25,False
2012-04-29,8,False
2012-04-30,45,False
2012-05-01,28,False
2012-05-02,79,False
2012-05-03,69,False
2012-05-04,52,False
2012-05-05,22,False
2012-05-06,3,False
2012-05-07,70,False
2012-05-08,87,False
2012-05-09,56,False
2012-05-10,74,False
2012-05-11,55,False
2012-05-12,36,False
2012-05-13,20,False
2012-05-14,57,False
2012-05-15,55,False
2012-05-16,59,False
2012-05-17,37,False
2012-05-18,46,False
2012-05-19,20,False
2012-05-20,8,False
2012-05-21,53,False
2012-05-22,47,False
2012-05-23,45,False
2012-05-24,39,False
2012-05-25,43,False
2012-05-26,6,False
2012-05-27,9,False
2012-05-28,36,False
2012-05-29,55,False
2012-05-30,54,False
2012-05-31,54,False
2012-06-01,59,False
2012-06-02,31,False
2012-06-03,22,False
2012-06-04,55,False
