date,CA,isPartial
2017-10-06,85,False
2017-10-07,80,False
2017-10-08,76,False
2017-10-09,97,False
2017-10-10,100,False
2017-10-11,95,False
2017-10-12,94,False
2017-10-13,91,False
2017-10-14,82,False
2017-10-15,78,False
2017-10-16,86,False
2017-10-17,86,False
2017-10-18,86,False
2017-10-19,83,False
2017-10-20,84,False
2017-10-21,74,False
2017-10-22,71,False
2017-10-23,84,False
2017-10-24,85,False
2017-10-25,84,False
2017-10-26,82,False
2017-10-27,83,False
2017-10-28,73,False
2017-10-29,69,False
2017-10-30,80,False
2017-10-31,78,False
2017-11-01,77,False
2017-11-02,81,False
2017-11-03,81,False
2017-11-04,77,False
2017-11-05,70,False
2017-11-06,80,False
2017-11-07,82,False
2017-11-08,84,False
2017-11-09,80,False
2017-11-10,85,False
2017-11-11,77,False
2017-11-12,71,False
2017-11-13,81,False
2017-11-14,82,False
2017-11-15,86,False
2017-11-16,81,False
2017-11-17,80,False
2017-11-18,74,False
2017-11-19,68,False
2017-11-20,78,False
2017-11-21,78,False
2017-11-22,77,False
2017-11-23,64,False
2017-11-24,68,False
2017-11-25,71,False
2017-11-26,69,False
2017-11-27,79,False
2017-11-28,80,False
2017-11-29,79,False
2017-11-30,81,False
2017-12-01,82,False
2017-12-02,76,False
2017-12-03,71,False
2017-12-04,80,False
2017-12-05,85,False
2017-12-06,86,False
2017-12-07,90,False
2017-12-08,89,False
2017-12-09,79,False
2017-12-10,71,False
2017-12-11,80,False
2017-12-12,81,False
2017-12-13,77,False
2017-12-14,80,False
2017-12-15,85,False
2017-12-16,78,False
2017-12-17,72,False
2017-12-18,81,False
2017-12-19,83,False
2017-12-20,84,False
2017-12-21,86,False
2017-12-22,81,False
2017-12-23,77,False
2017-12-24,72,False
2017-12-25,65,False
2017-12-26,80,False
2017-12-27,87,False
2017-12-28,86,False
2017-12-29,85,False
2017-12-30,78,False
2017-12-31,74,False
2018-01-01,74,False
2018-01-02,82,False
2018-01-03,86,False
2018-01-04,88,False
2018-01-05,86,False
2018-01-06,80,False
2018-01-07,74,False
2018-01-08,85,False
2018-01-09,84,False
2018-01-10,87,False
2018-01-11,89,False
2018-01-12,84,False
2018-01-13,79,False
2018-01-14,74,False
2018-01-15,79,False
2018-01-16,85,False
2018-01-17,96,False
2018-01-18,84,False
2018-01-19,87,False
2018-01-20,76,False
2018-01-21,72,False
2018-01-22,82,False
2018-01-23,79,False
2018-01-24,81,False
2018-01-25,86,False
2018-01-26,85,False
2018-01-27,73,False
2018-01-28,70,False
2018-01-29,79,False
2018-01-30,81,False
2018-01-31,80,False
2018-02-01,82,False
2018-02-02,81,False
2018-02-03,77,False
2018-02-04,68,False
2018-02-05,79,False
2018-02-06,79,False
2018-02-07,82,False
2018-02-08,80,False
2018-02-09,81,False
2018-02-10,76,False
2018-02-11,70,False
2018-02-12,80,False
2018-02-13,79,False
2018-02-14,77,False
2018-02-15,77,False
2018-02-16,80,False
2018-02-17,74,False
2018-02-18,70,False
2018-02-19,74,False
2018-02-20,79,False
2018-02-21,80,False
2018-02-22,82,False
2018-02-23,83,False
2018-02-24,73,False
2018-02-25,69,False
2018-02-26,80,False
2018-02-27,84,False
2018-02-28,81,False
2018-03-01,85,False
2018-03-02,83,False
2018-03-03,80,False
2018-03-04,71,False
2018-03-05,79,False
2018-03-06,85,False
2018-03-07,84,False
2018-03-08,85,False
2018-03-09,89,False
2018-03-10,80,False
2018-03-11,72,False
2018-03-12,83,False
2018-03-13,81,False
2018-03-14,78,False
2018-03-15,83,False
2018-03-16,83,False
2018-03-17,77,False
2018-03-18,70,False
2018-03-19,81,False
2018-03-20,85,False
2018-03-21,83,False
2018-03-22,86,False
2018-03-23,82,False
2018-03-24,76,False
2018-03-25,70,False
2018-03-26,81,False
2018-03-27,80,False
2018-03-28,83,False
2018-03-29,86,False
2018-03-30,86,False
2018-03-31,79,False
2018-04-01,71,False
2018-04-02,87,False
2018-04-03,85,False
2018-04-04,86,False
2018-04-05,86,False
2018-04-06,86,False
2018-04-07,77,False
2018-04-08,74,False
2018-04-09,82,False
2018-04-10,83,False
2018-04-11,82,False
2018-04-12,81,False
2018-04-13,84,False
2018-04-14,75,False
2018-04-15,73,False
2018-04-16,83,False
2018-04-17,82,False
2018-04-18,81,False
2018-04-19,81,False
2018-04-20,80,False
2018-04-21,73,False
2018-04-22,71,False
2018-04-23,80,False
2018-04-24,81,False
2018-04-25,80,False
2018-04-26,79,False
2018-04-27,81,False
2018-04-28,74,False
2018-04-29,71,False
2018-04-30,81,False
2018-05-01,86,False
2018-05-02,82,False
2018-05-03,82,False
2018-05-04,82,False
2018-05-05,76,False
2018-05-06,70,False
2018-05-07,81,False
2018-05-08,83,False
2018-05-09,81,False
2018-05-10,84,False
2018-05-11,84,False
2018-05-12,74,False
2018-05-13,68,False
2018-05-14,81,False
2018-05-15,81,False
2018-05-16,82,False
2018-05-17,80,False
2018-05-18,80,False
2018-05-19,73,False
2018-05-20,70,False
2018-05-21,79,False
2018-05-22,78,False
2018-05-23,81,False
2018-05-24,82,False
2018-05-25,82,False
2018-05-26,77,False
2018-05-27,70,False
2018-05-28,70,False
2018-05-29,83,False
2018-05-30,83,False
2018-05-31,84,False
2018-06-01,83,False
