date,XRAY
2016-05-04,91
2016-05-05,93
2016-05-06,91
2016-05-07,71
2016-05-08,70
2016-05-09,86
2016-05-10,96
2016-05-11,88
2016-05-12,94
2016-05-13,90
2016-05-14,78
2016-05-15,76
2016-05-16,93
2016-05-17,95
2016-05-18,93
2016-05-19,89
2016-05-20,80
2016-05-21,75
2016-05-22,76
2016-05-23,84
2016-05-24,93
2016-05-25,90
2016-05-26,95
2016-05-27,85
2016-05-28,76
2016-05-29,73
2016-05-30,76
2016-05-31,89
2016-06-01,90
2016-06-02,87
2016-06-03,77
2016-06-04,84
2016-06-05,72
2016-06-06,91
2016-06-07,88
2016-06-08,90
2016-06-09,90
2016-06-10,87
2016-06-11,80
2016-06-12,71
2016-06-13,86
2016-06-14,83
2016-06-15,91
2016-06-16,87
2016-06-17,83
2016-06-18,79
2016-06-19,77
2016-06-20,86
2016-06-21,90
2016-06-22,89
2016-06-23,89
2016-06-24,80
2016-06-25,70
2016-06-26,72
2016-06-27,84
2016-06-28,93
2016-06-29,100
2016-06-30,91
2016-07-01,80
2016-07-02,67
2016-07-03,72
2016-07-04,74
2016-07-05,92
2016-07-06,91
2016-07-07,90
2016-07-08,87
2016-07-09,73
2016-07-10,73
2016-07-11,87
2016-07-12,90
2016-07-13,89
2016-07-14,86
2016-07-15,81
2016-07-16,70
2016-07-17,65
2016-07-18,95
2016-07-19,92
2016-07-20,88
2016-07-21,99
2016-07-22,87
2016-07-23,72
2016-07-24,68
2016-07-25,86
2016-07-26,90
2016-07-27,87
2016-07-28,93
2016-07-29,80
2016-07-30,69
2016-07-31,71
2016-08-01,83
2016-08-02,90
2016-08-03,89
2016-08-04,92
2016-08-05,86
2016-08-06,76
2016-08-07,68
2016-08-08,85
2016-08-09,93
2016-08-10,89
2016-08-11,85
2016-08-12,84
2016-08-13,69
2016-08-14,70
2016-08-15,91
2016-08-16,84
2016-08-17,86
2016-08-18,91
2016-08-19,83
2016-08-20,66
2016-08-21,72
2016-08-22,83
2016-08-23,94
2016-08-24,94
2016-08-25,91
2016-08-26,86
2016-08-27,78
2016-08-28,75
2016-08-29,86
2016-08-30,91
2016-08-31,93
2016-09-01,88
2016-09-02,78
2016-09-03,72
2016-09-04,71
2016-09-05,73
2016-09-06,84
2016-09-07,91
2016-09-08,88
2016-09-09,82
2016-09-10,79
2016-09-11,66
2016-09-12,93
2016-09-13,93
2016-09-14,90
2016-09-15,93
2016-09-16,85
2016-09-17,73
2016-09-18,75
2016-09-19,84
2016-09-20,89
2016-09-21,90
2016-09-22,92
2016-09-23,81
2016-09-24,70
2016-09-25,73
2016-09-26,89
2016-09-27,93
2016-09-28,86
2016-09-29,93
2016-09-30,84
2016-10-01,72
2016-10-02,63
2016-10-03,82
2016-10-04,94
2016-10-05,93
2016-10-06,85
2016-10-07,80
2016-10-08,70
2016-10-09,71
2016-10-10,84
2016-10-11,86
2016-10-12,89
2016-10-13,94
2016-10-14,83
2016-10-15,74
2016-10-16,70
2016-10-17,90
2016-10-18,90
2016-10-19,94
2016-10-20,90
2016-10-21,84
2016-10-22,72
2016-10-23,75
2016-10-24,85
2016-10-25,87
2016-10-26,87
2016-10-27,89
2016-10-28,81
2016-10-29,70
2016-10-30,76
2016-10-31,89
2016-11-01,92
2016-11-02,96
2016-11-03,90
2016-11-04,89
2016-11-05,68
2016-11-06,68
2016-11-07,92
2016-11-08,93
2016-11-09,74
2016-11-10,87
2016-11-11,82
2016-11-12,74
2016-11-13,72
2016-11-14,87
2016-11-15,84
2016-11-16,93
2016-11-17,94
2016-11-18,83
2016-11-19,70
2016-11-20,69
2016-11-21,88
2016-11-22,84
2016-11-23,80
2016-11-24,70
2016-11-25,66
2016-11-26,76
2016-11-27,70
2016-11-28,87
2016-11-29,90
2016-11-30,87
2016-12-01,89
2016-12-02,86
2016-12-03,72
2016-12-04,74
2016-12-05,91
2016-12-06,92
2016-12-07,90
2016-12-08,91
2016-12-09,82
2016-12-10,67
2016-12-11,73
2016-12-12,88
2016-12-13,86
2016-12-14,80
2016-12-15,83
2016-12-16,84
2016-12-17,69
2016-12-18,63
2016-12-19,78
2016-12-20,85
2016-12-21,83
2016-12-22,85
2016-12-23,72
2016-12-24,67
2016-12-25,57
2016-12-26,63
2016-12-27,78
2016-12-28,83
2016-12-29,87
2016-12-30,82
2016-12-31,61
2017-01-01,67
2017-01-02,66
2017-01-03,84
2017-01-04,88
2017-01-05,95
2017-01-06,89
2017-01-07,77
2017-01-08,74
2017-01-09,89
2017-01-10,90
2017-01-11,92
2017-01-12,91
2017-01-13,92
2017-01-14,77
2017-01-15,83
2017-01-16,83
2017-01-17,96
2017-01-18,97
2017-01-19,98
