date,XRAY
2016-08-02,89
2016-08-03,89
2016-08-04,86
2016-08-05,84
2016-08-06,73
2016-08-07,70
2016-08-08,87
2016-08-09,87
2016-08-10,87
2016-08-11,88
2016-08-12,84
2016-08-13,68
2016-08-14,69
2016-08-15,87
2016-08-16,88
2016-08-17,82
2016-08-18,92
2016-08-19,83
2016-08-20,68
2016-08-21,73
2016-08-22,88
2016-08-23,92
2016-08-24,93
2016-08-25,89
2016-08-26,88
2016-08-27,75
2016-08-28,72
2016-08-29,88
2016-08-30,92
2016-08-31,89
2016-09-01,88
2016-09-02,79
2016-09-03,72
2016-09-04,70
2016-09-05,72
2016-09-06,88
2016-09-07,91
2016-09-08,87
2016-09-09,82
2016-09-10,75
2016-09-11,69
2016-09-12,93
2016-09-13,91
2016-09-14,88
2016-09-15,91
2016-09-16,84
2016-09-17,74
2016-09-18,75
2016-09-19,86
2016-09-20,86
2016-09-21,91
2016-09-22,93
2016-09-23,88
2016-09-24,73
2016-09-25,67
2016-09-26,93
2016-09-27,97
2016-09-28,91
2016-09-29,89
2016-09-30,86
2016-10-01,74
2016-10-02,67
2016-10-03,86
2016-10-04,92
2016-10-05,92
2016-10-06,85
2016-10-07,82
2016-10-08,69
2016-10-09,73
2016-10-10,86
2016-10-11,88
2016-10-12,90
2016-10-13,88
2016-10-14,86
2016-10-15,74
2016-10-16,73
2016-10-17,92
2016-10-18,95
2016-10-19,95
2016-10-20,89
2016-10-21,84
2016-10-22,70
2016-10-23,72
2016-10-24,90
2016-10-25,86
2016-10-26,91
2016-10-27,92
2016-10-28,84
2016-10-29,73
2016-10-30,72
2016-10-31,84
2016-11-01,86
2016-11-02,95
2016-11-03,91
2016-11-04,92
2016-11-05,70
2016-11-06,77
2016-11-07,93
2016-11-08,87
2016-11-09,74
2016-11-10,89
2016-11-11,79
2016-11-12,71
2016-11-13,71
2016-11-14,85
2016-11-15,90
2016-11-16,89
2016-11-17,89
2016-11-18,88
2016-11-19,73
2016-11-20,71
2016-11-21,86
2016-11-22,89
2016-11-23,82
2016-11-24,70
2016-11-25,73
2016-11-26,68
2016-11-27,73
2016-11-28,87
2016-11-29,85
2016-11-30,83
2016-12-01,87
2016-12-02,83
2016-12-03,69
2016-12-04,72
2016-12-05,86
2016-12-06,89
2016-12-07,90
2016-12-08,84
2016-12-09,81
2016-12-10,69
2016-12-11,71
2016-12-12,84
2016-12-13,84
2016-12-14,83
2016-12-15,84
2016-12-16,79
2016-12-17,67
2016-12-18,67
2016-12-19,82
2016-12-20,87
2016-12-21,87
2016-12-22,81
2016-12-23,75
2016-12-24,60
2016-12-25,60
2016-12-26,65
2016-12-27,74
2016-12-28,81
2016-12-29,85
2016-12-30,78
2016-12-31,71
2017-01-01,63
2017-01-02,71
2017-01-03,81
2017-01-04,95
2017-01-05,92
2017-01-06,91
2017-01-07,74
2017-01-08,76
2017-01-09,90
2017-01-10,96
2017-01-11,88
2017-01-12,93
2017-01-13,91
2017-01-14,76
2017-01-15,81
2017-01-16,86
2017-01-17,90
2017-01-18,93
2017-01-19,93
2017-01-20,93
2017-01-21,80
2017-01-22,83
2017-01-23,97
2017-01-24,94
2017-01-25,92
2017-01-26,91
2017-01-27,88
2017-01-28,82
2017-01-29,79
2017-01-30,92
2017-01-31,95
2017-02-01,92
2017-02-02,96
2017-02-03,93
2017-02-04,77
2017-02-05,75
2017-02-06,90
2017-02-07,100
2017-02-08,99
2017-02-09,93
2017-02-10,90
2017-02-11,84
2017-02-12,79
2017-02-13,87
2017-02-14,93
2017-02-15,95
2017-02-16,97
2017-02-17,89
2017-02-18,78
2017-02-19,78
2017-02-20,92
2017-02-21,96
2017-02-22,97
2017-02-23,88
2017-02-24,92
2017-02-25,77
2017-02-26,79
2017-02-27,93
2017-02-28,92
2017-03-01,96
2017-03-02,95
2017-03-03,88
2017-03-04,74
2017-03-05,74
2017-03-06,97
2017-03-07,93
2017-03-08,95
2017-03-09,96
2017-03-10,88
2017-03-11,75
2017-03-12,73
2017-03-13,90
2017-03-14,90
2017-03-15,91
2017-03-16,93
2017-03-17,88
2017-03-18,73
2017-03-19,75
2017-03-20,92
2017-03-21,99
2017-03-22,99
2017-03-23,91
2017-03-24,88
2017-03-25,74
2017-03-26,77
2017-03-27,86
2017-03-28,94
2017-03-29,94
2017-03-30,92
2017-03-31,88
2017-04-01,80
2017-04-02,70
2017-04-03,90
2017-04-04,96
2017-04-05,87
2017-04-06,90
2017-04-07,83
2017-04-08,72
2017-04-09,72
2017-04-10,94
2017-04-11,92
2017-04-12,90
2017-04-13,94
2017-04-14,77
2017-04-15,70
2017-04-16,67
2017-04-17,88
2017-04-18,97
