date,XRAY
2015-04-10,76
2015-04-11,69
2015-04-12,68
2015-04-13,70
2015-04-14,83
2015-04-15,86
2015-04-16,83
2015-04-17,85
2015-04-18,70
2015-04-19,77
2015-04-20,86
2015-04-21,86
2015-04-22,83
2015-04-23,80
2015-04-24,73
2015-04-25,66
2015-04-26,66
2015-04-27,76
2015-04-28,77
2015-04-29,79
2015-04-30,77
2015-05-01,72
2015-05-02,65
2015-05-03,57
2015-05-04,76
2015-05-05,78
2015-05-06,75
2015-05-07,78
2015-05-08,74
2015-05-09,67
2015-05-10,61
2015-05-11,73
2015-05-12,75
2015-05-13,78
2015-05-14,77
2015-05-15,76
2015-05-16,69
2015-05-17,72
2015-05-18,74
2015-05-19,75
2015-05-20,74
2015-05-21,72
2015-05-22,64
2015-05-23,64
2015-05-24,59
2015-05-25,63
2015-05-26,67
2015-05-27,70
2015-05-28,62
2015-05-29,68
2015-05-30,60
2015-05-31,63
2015-06-01,65
2015-06-02,70
2015-06-03,73
2015-06-04,69
2015-06-05,71
2015-06-06,58
2015-06-07,63
2015-06-08,67
2015-06-09,73
2015-06-10,67
2015-06-11,73
2015-06-12,74
2015-06-13,68
2015-06-14,66
2015-06-15,76
2015-06-16,77
2015-06-17,68
2015-06-18,73
2015-06-19,69
2015-06-20,65
2015-06-21,61
2015-06-22,71
2015-06-23,73
2015-06-24,76
2015-06-25,74
2015-06-26,76
2015-06-27,60
2015-06-28,66
2015-06-29,71
2015-06-30,66
2015-07-01,68
2015-07-02,73
2015-07-03,62
2015-07-04,63
2015-07-05,56
2015-07-06,77
2015-07-07,73
2015-07-08,67
2015-07-09,70
2015-07-10,68
2015-07-11,58
2015-07-12,67
2015-07-13,71
2015-07-14,75
2015-07-15,74
2015-07-16,75
2015-07-17,68
2015-07-18,58
2015-07-19,62
2015-07-20,75
2015-07-21,74
2015-07-22,79
2015-07-23,73
2015-07-24,74
2015-07-25,62
2015-07-26,63
2015-07-27,76
2015-07-28,77
2015-07-29,73
2015-07-30,75
2015-07-31,72
2015-08-01,62
2015-08-02,58
2015-08-03,75
2015-08-04,72
2015-08-05,77
2015-08-06,71
2015-08-07,70
2015-08-08,66
2015-08-09,62
2015-08-10,74
2015-08-11,73
2015-08-12,75
2015-08-13,71
2015-08-14,70
2015-08-15,58
2015-08-16,63
2015-08-17,74
2015-08-18,77
2015-08-19,73
2015-08-20,80
2015-08-21,75
2015-08-22,69
2015-08-23,64
2015-08-24,75
2015-08-25,69
2015-08-26,70
2015-08-27,72
2015-08-28,74
2015-08-29,58
2015-08-30,63
2015-08-31,72
2015-09-01,69
2015-09-02,74
2015-09-03,72
2015-09-04,75
2015-09-05,58
2015-09-06,62
2015-09-07,68
2015-09-08,69
2015-09-09,71
2015-09-10,72
2015-09-11,68
2015-09-12,57
2015-09-13,62
2015-09-14,68
2015-09-15,74
2015-09-16,72
2015-09-17,69
2015-09-18,72
2015-09-19,60
2015-09-20,62
2015-09-21,68
2015-09-22,77
2015-09-23,69
2015-09-24,71
2015-09-25,76
2015-09-26,57
2015-09-27,59
2015-09-28,71
2015-09-29,77
2015-09-30,72
2015-10-01,70
2015-10-02,67
2015-10-03,61
2015-10-04,62
2015-10-05,66
2015-10-06,82
2015-10-07,78
2015-10-08,77
2015-10-09,71
2015-10-10,66
2015-10-11,64
2015-10-12,74
2015-10-13,77
2015-10-14,73
2015-10-15,73
2015-10-16,75
2015-10-17,64
2015-10-18,69
2015-10-19,78
2015-10-20,78
2015-10-21,72
2015-10-22,78
2015-10-23,79
2015-10-24,65
2015-10-25,61
2015-10-26,76
2015-10-27,77
2015-10-28,77
2015-10-29,72
2015-10-30,72
2015-10-31,61
2015-11-01,60
2015-11-02,73
2015-11-03,74
2015-11-04,74
2015-11-05,70
2015-11-06,89
2015-11-07,73
2015-11-08,71
2015-11-09,89
2015-11-10,82
2015-11-11,80
2015-11-12,75
2015-11-13,65
2015-11-14,61
2015-11-15,64
2015-11-16,73
2015-11-17,70
2015-11-18,72
2015-11-19,69
2015-11-20,75
2015-11-21,59
2015-11-22,65
2015-11-23,76
2015-11-24,69
2015-11-25,69
2015-11-26,60
2015-11-27,55
2015-11-28,65
2015-11-29,70
2015-11-30,70
2015-12-01,77
2015-12-02,74
2015-12-03,72
2015-12-04,72
2015-12-05,64
2015-12-06,63
2015-12-07,69
2015-12-08,73
2015-12-09,72
2015-12-10,72
2015-12-11,67
2015-12-12,59
2015-12-13,62
2015-12-14,71
2015-12-15,100
2015-12-16,84
2015-12-17,82
2015-12-18,67
2015-12-19,60
2015-12-20,60
2015-12-21,67
2015-12-22,68
2015-12-23,70
2015-12-24,65
2015-12-25,62
2015-12-26,63
