date,XRAY
2010-08-24,49
2010-08-25,51
2010-08-26,45
2010-08-27,44
2010-08-28,33
2010-08-29,43
2010-08-30,46
2010-08-31,53
2010-09-01,52
2010-09-02,49
2010-09-03,39
2010-09-04,33
2010-09-05,38
2010-09-06,36
2010-09-07,48
2010-09-08,47
2010-09-09,52
2010-09-10,43
2010-09-11,39
2010-09-12,35
2010-09-13,46
2010-09-14,48
2010-09-15,47
2010-09-16,47
2010-09-17,45
2010-09-18,45
2010-09-19,40
2010-09-20,49
2010-09-21,46
2010-09-22,53
2010-09-23,45
2010-09-24,44
2010-09-25,35
2010-09-26,44
2010-09-27,54
2010-09-28,48
2010-09-29,47
2010-09-30,46
2010-10-01,49
2010-10-02,45
2010-10-03,34
2010-10-04,41
2010-10-05,44
2010-10-06,46
2010-10-07,43
2010-10-08,43
2010-10-09,44
2010-10-10,42
2010-10-11,48
2010-10-12,46
2010-10-13,49
2010-10-14,51
2010-10-15,50
2010-10-16,41
2010-10-17,44
2010-10-18,52
2010-10-19,55
2010-10-20,51
2010-10-21,45
2010-10-22,48
2010-10-23,36
2010-10-24,39
2010-10-25,52
2010-10-26,49
2010-10-27,48
2010-10-28,49
2010-10-29,53
2010-10-30,41
2010-10-31,43
2010-11-01,47
2010-11-02,49
2010-11-03,53
2010-11-04,53
2010-11-05,45
2010-11-06,44
2010-11-07,44
2010-11-08,100
2010-11-09,68
2010-11-10,54
2010-11-11,53
2010-11-12,51
2010-11-13,59
2010-11-14,43
2010-11-15,64
2010-11-16,66
2010-11-17,68
2010-11-18,69
2010-11-19,60
2010-11-20,54
2010-11-21,49
2010-11-22,60
2010-11-23,68
2010-11-24,53
2010-11-25,47
2010-11-26,38
2010-11-27,34
2010-11-28,44
2010-11-29,50
2010-11-30,52
2010-12-01,55
2010-12-02,58
2010-12-03,52
2010-12-04,44
2010-12-05,46
2010-12-06,52
2010-12-07,58
2010-12-08,61
2010-12-09,55
2010-12-10,53
2010-12-11,45
2010-12-12,43
2010-12-13,53
2010-12-14,55
2010-12-15,55
2010-12-16,54
2010-12-17,46
2010-12-18,46
2010-12-19,42
2010-12-20,48
2010-12-21,48
2010-12-22,51
2010-12-23,45
2010-12-24,33
2010-12-25,39
2010-12-26,40
2010-12-27,52
2010-12-28,49
2010-12-29,51
2010-12-30,46
2010-12-31,49
2011-01-01,40
2011-01-02,49
2011-01-03,52
2011-01-04,56
2011-01-05,58
2011-01-06,57
2011-01-07,56
2011-01-08,44
2011-01-09,46
2011-01-10,47
2011-01-11,54
2011-01-12,48
2011-01-13,53
2011-01-14,44
2011-01-15,41
2011-01-16,43
2011-01-17,49
2011-01-18,55
2011-01-19,45
2011-01-20,51
2011-01-21,48
2011-01-22,46
2011-01-23,46
2011-01-24,53
2011-01-25,48
2011-01-26,45
2011-01-27,47
2011-01-28,48
2011-01-29,44
2011-01-30,43
2011-01-31,49
2011-02-01,54
2011-02-02,50
2011-02-03,55
2011-02-04,42
2011-02-05,41
2011-02-06,40
2011-02-07,48
2011-02-08,53
2011-02-09,49
2011-02-10,49
2011-02-11,49
2011-02-12,39
2011-02-13,37
2011-02-14,46
2011-02-15,47
2011-02-16,50
2011-02-17,51
2011-02-18,46
2011-02-19,41
2011-02-20,48
2011-02-21,46
2011-02-22,53
2011-02-23,53
2011-02-24,53
2011-02-25,46
2011-02-26,43
2011-02-27,41
2011-02-28,49
2011-03-01,46
2011-03-02,49
2011-03-03,53
2011-03-04,52
2011-03-05,41
2011-03-06,47
2011-03-07,50
2011-03-08,53
2011-03-09,57
2011-03-10,57
2011-03-11,47
2011-03-12,46
2011-03-13,48
2011-03-14,55
2011-03-15,58
2011-03-16,55
2011-03-17,57
2011-03-18,55
2011-03-19,51
2011-03-20,47
2011-03-21,56
2011-03-22,53
2011-03-23,56
2011-03-24,59
2011-03-25,55
2011-03-26,50
2011-03-27,49
2011-03-28,56
2011-03-29,56
2011-03-30,55
2011-03-31,57
2011-04-01,56
2011-04-02,52
2011-04-03,50
2011-04-04,52
2011-04-05,59
2011-04-06,56
2011-04-07,53
2011-04-08,49
2011-04-09,45
2011-04-10,41
2011-04-11,58
2011-04-12,55
2011-04-13,61
2011-04-14,54
2011-04-15,53
2011-04-16,40
2011-04-17,44
2011-04-18,55
2011-04-19,62
2011-04-20,53
2011-04-21,52
2011-04-22,50
2011-04-23,48
2011-04-24,45
2011-04-25,57
2011-04-26,71
2011-04-27,60
2011-04-28,58
2011-04-29,57
2011-04-30,51
2011-05-01,46
2011-05-02,53
2011-05-03,57
2011-05-04,56
2011-05-05,55
2011-05-06,59
2011-05-07,50
2011-05-08,52
2011-05-09,60
2011-05-10,56
2011-05-11,56
