date,ISRG,isPartial
2011-01-01,15,False
2011-01-02,0,False
2011-01-03,0,False
2011-01-04,50,False
2011-01-05,41,False
2011-01-06,21,False
2011-01-07,11,False
2011-01-08,0,False
2011-01-09,24,False
2011-01-10,20,False
2011-01-11,48,False
2011-01-12,19,False
2011-01-13,10,False
2011-01-14,0,False
2011-01-15,12,False
2011-01-16,12,False
2011-01-17,10,False
2011-01-18,38,False
2011-01-19,38,False
2011-01-20,58,False
2011-01-21,100,False
2011-01-22,12,False
2011-01-23,47,False
2011-01-24,57,False
2011-01-25,19,False
2011-01-26,29,False
2011-01-27,58,False
2011-01-28,20,False
2011-01-29,0,False
2011-01-30,11,False
2011-01-31,18,False
2011-02-01,18,False
2011-02-02,28,False
2011-02-03,57,False
2011-02-04,10,False
2011-02-05,23,False
2011-02-06,11,False
2011-02-07,28,False
2011-02-08,9,False
2011-02-09,38,False
2011-02-10,58,False
2011-02-11,10,False
2011-02-12,0,False
2011-02-13,0,False
2011-02-14,9,False
2011-02-15,18,False
2011-02-16,47,False
2011-02-17,9,False
2011-02-18,20,False
2011-02-19,12,False
2011-02-20,0,False
2011-02-21,9,False
2011-02-22,28,False
2011-02-23,9,False
2011-02-24,0,False
2011-02-25,20,False
2011-02-26,0,False
2011-02-27,11,False
2011-02-28,18,False
2011-03-01,9,False
2011-03-02,19,False
2011-03-03,47,False
2011-03-04,10,False
2011-03-05,12,False
2011-03-06,0,False
2011-03-07,19,False
2011-03-08,29,False
2011-03-09,9,False
2011-03-10,28,False
2011-03-11,29,False
2011-03-12,0,False
2011-03-13,0,False
2011-03-14,10,False
2011-03-15,0,False
2011-03-16,18,False
2011-03-17,38,False
2011-03-18,20,False
2011-03-19,0,False
2011-03-20,0,False
2011-03-21,9,False
2011-03-22,9,False
2011-03-23,9,False
2011-03-24,28,False
2011-03-25,0,False
2011-03-26,23,False
2011-03-27,12,False
2011-03-28,18,False
2011-03-29,9,False
2011-03-30,28,False
2011-03-31,9,False
2011-04-01,39,False
2011-04-02,0,False
2011-04-03,0,False
2011-04-04,18,False
2011-04-05,37,False
2011-04-06,65,False
2011-04-07,28,False
2011-04-08,20,False
2011-04-09,24,False
2011-04-10,0,False
2011-04-11,37,False
2011-04-12,18,False
