date,ISRG,isPartial
2017-05-29,0,False
2017-05-30,28,False
2017-05-31,7,False
2017-06-01,14,False
2017-06-02,15,False
2017-06-03,8,False
2017-06-04,8,False
2017-06-05,5,False
2017-06-06,9,False
2017-06-07,11,False
2017-06-08,18,False
2017-06-09,15,False
2017-06-10,14,False
2017-06-11,0,False
2017-06-12,18,False
2017-06-13,23,False
2017-06-14,16,False
2017-06-15,12,False
2017-06-16,12,False
2017-06-17,3,False
2017-06-18,0,False
2017-06-19,12,False
2017-06-20,16,False
2017-06-21,13,False
2017-06-22,27,False
2017-06-23,14,False
2017-06-24,5,False
2017-06-25,0,False
2017-06-26,7,False
2017-06-27,17,False
2017-06-28,12,False
2017-06-29,14,False
2017-06-30,22,False
2017-07-01,3,False
2017-07-02,0,False
2017-07-03,5,False
2017-07-04,5,False
2017-07-05,17,False
2017-07-06,24,False
2017-07-07,15,False
2017-07-08,3,False
2017-07-09,3,False
2017-07-10,17,False
2017-07-11,16,False
2017-07-12,17,False
2017-07-13,20,False
2017-07-14,15,False
2017-07-15,8,False
2017-07-16,8,False
2017-07-17,14,False
2017-07-18,9,False
2017-07-19,12,False
2017-07-20,67,False
2017-07-21,45,False
2017-07-22,3,False
2017-07-23,11,False
2017-07-24,23,False
2017-07-25,19,False
2017-07-26,16,False
2017-07-27,17,False
2017-07-28,10,False
2017-07-29,3,False
2017-07-30,0,False
2017-07-31,12,False
2017-08-01,14,False
2017-08-02,11,False
2017-08-03,7,False
2017-08-04,7,False
2017-08-05,5,False
2017-08-06,3,False
2017-08-07,25,False
2017-08-08,11,False
2017-08-09,9,False
2017-08-10,14,False
2017-08-11,22,False
2017-08-12,3,False
2017-08-13,3,False
2017-08-14,23,False
2017-08-15,26,False
2017-08-16,23,False
2017-08-17,19,False
2017-08-18,12,False
2017-08-19,16,False
2017-08-20,8,False
2017-08-21,14,False
2017-08-22,18,False
2017-08-23,12,False
2017-08-24,12,False
2017-08-25,15,False
2017-08-26,11,False
2017-08-27,3,False
2017-08-28,0,False
2017-08-29,7,False
2017-08-30,23,False
2017-08-31,23,False
2017-09-01,14,False
2017-09-02,3,False
2017-09-03,3,False
2017-09-04,5,False
2017-09-05,29,False
