date,ISRG,isPartial
2014-12-01,20,False
2014-12-02,25,False
2014-12-03,29,False
2014-12-04,17,False
2014-12-05,40,False
2014-12-06,20,False
2014-12-07,0,False
2014-12-08,17,False
2014-12-09,21,False
2014-12-10,21,False
2014-12-11,17,False
2014-12-12,27,False
2014-12-13,20,False
2014-12-14,0,False
2014-12-15,17,False
2014-12-16,13,False
2014-12-17,26,False
2014-12-18,31,False
2014-12-19,18,False
2014-12-20,0,False
2014-12-21,10,False
2014-12-22,18,False
2014-12-23,33,False
2014-12-24,26,False
2014-12-25,11,False
2014-12-26,0,False
2014-12-27,20,False
2014-12-28,0,False
2014-12-29,18,False
2014-12-30,23,False
2014-12-31,20,False
2015-01-01,11,False
2015-01-02,19,False
2015-01-03,20,False
2015-01-04,9,False
2015-01-05,13,False
2015-01-06,38,False
2015-01-07,12,False
2015-01-08,21,False
2015-01-09,21,False
2015-01-10,9,False
2015-01-11,0,False
2015-01-12,12,False
2015-01-13,97,False
2015-01-14,20,False
2015-01-15,24,False
2015-01-16,21,False
2015-01-17,10,False
2015-01-18,9,False
2015-01-19,8,False
2015-01-20,8,False
2015-01-21,32,False
2015-01-22,69,False
2015-01-23,33,False
2015-01-24,37,False
2015-01-25,9,False
2015-01-26,8,False
2015-01-27,20,False
2015-01-28,36,False
2015-01-29,24,False
2015-01-30,33,False
2015-01-31,19,False
2015-02-01,18,False
2015-02-02,24,False
2015-02-03,12,False
2015-02-04,24,False
2015-02-05,16,False
2015-02-06,13,False
2015-02-07,0,False
2015-02-08,9,False
2015-02-09,28,False
2015-02-10,8,False
2015-02-11,40,False
2015-02-12,8,False
2015-02-13,21,False
2015-02-14,10,False
2015-02-15,10,False
2015-02-16,12,False
2015-02-17,25,False
2015-02-18,16,False
2015-02-19,37,False
2015-02-20,25,False
2015-02-21,9,False
2015-02-22,9,False
2015-02-23,27,False
2015-02-24,16,False
2015-02-25,16,False
2015-02-26,12,False
2015-02-27,21,False
2015-02-28,9,False
2015-03-01,0,False
2015-03-02,8,False
2015-03-03,8,False
2015-03-04,24,False
2015-03-05,8,False
2015-03-06,13,False
2015-03-07,9,False
2015-03-08,0,False
2015-03-09,20,False
2015-03-10,16,False
2015-03-11,8,False
2015-03-12,28,False
2015-03-13,12,False
2015-03-14,23,False
2015-03-15,9,False
2015-03-16,8,False
2015-03-17,16,False
2015-03-18,32,False
2015-03-19,36,False
2015-03-20,16,False
2015-03-21,9,False
2015-03-22,9,False
2015-03-23,27,False
2015-03-24,24,False
2015-03-25,23,False
2015-03-26,9,False
2015-03-27,29,False
2015-03-28,20,False
2015-03-29,10,False
2015-03-30,28,False
2015-03-31,12,False
2015-04-01,12,False
2015-04-02,21,False
2015-04-03,22,False
2015-04-04,0,False
2015-04-05,0,False
2015-04-06,8,False
2015-04-07,0,False
2015-04-08,24,False
2015-04-09,8,False
2015-04-10,46,False
2015-04-11,0,False
2015-04-12,9,False
2015-04-13,24,False
2015-04-14,23,False
2015-04-15,44,False
2015-04-16,48,False
2015-04-17,29,False
2015-04-18,9,False
2015-04-19,28,False
2015-04-20,59,False
2015-04-21,92,False
2015-04-22,60,False
2015-04-23,36,False
2015-04-24,38,False
2015-04-25,9,False
2015-04-26,9,False
2015-04-27,16,False
2015-04-28,35,False
2015-04-29,20,False
2015-04-30,20,False
2015-05-01,0,False
2015-05-02,19,False
2015-05-03,0,False
2015-05-04,8,False
2015-05-05,47,False
2015-05-06,8,False
2015-05-07,12,False
2015-05-08,8,False
2015-05-09,0,False
2015-05-10,19,False
2015-05-11,20,False
2015-05-12,12,False
2015-05-13,24,False
2015-05-14,24,False
2015-05-15,17,False
2015-05-16,14,False
2015-05-17,19,False
2015-05-18,12,False
2015-05-19,19,False
2015-05-20,16,False
2015-05-21,12,False
2015-05-22,8,False
2015-05-23,10,False
2015-05-24,10,False
2015-05-25,0,False
2015-05-26,27,False
2015-05-27,19,False
2015-05-28,20,False
2015-05-29,25,False
2015-05-30,10,False
2015-05-31,9,False
2015-06-01,71,False
2015-06-02,20,False
2015-06-03,28,False
2015-06-04,20,False
2015-06-05,25,False
2015-06-06,0,False
2015-06-07,0,False
2015-06-08,23,False
2015-06-09,23,False
2015-06-10,24,False
2015-06-11,16,False
2015-06-12,21,False
2015-06-13,14,False
2015-06-14,0,False
2015-06-15,19,False
2015-06-16,19,False
2015-06-17,24,False
2015-06-18,16,False
2015-06-19,17,False
2015-06-20,10,False
2015-06-21,0,False
2015-06-22,16,False
2015-06-23,12,False
2015-06-24,12,False
2015-06-25,36,False
2015-06-26,17,False
2015-06-27,10,False
2015-06-28,10,False
2015-06-29,24,False
2015-06-30,8,False
2015-07-01,8,False
2015-07-02,16,False
2015-07-03,0,False
2015-07-04,0,False
2015-07-05,15,False
2015-07-06,28,False
2015-07-07,16,False
2015-07-08,24,False
2015-07-09,20,False
2015-07-10,29,False
2015-07-11,10,False
2015-07-12,0,False
2015-07-13,20,False
2015-07-14,16,False
2015-07-15,28,False
2015-07-16,12,False
2015-07-17,13,False
2015-07-18,10,False
2015-07-19,20,False
2015-07-20,33,False
2015-07-21,100,False
2015-07-22,96,False
2015-07-23,36,False
2015-07-24,42,False
2015-07-25,14,False
2015-07-26,14,False
2015-07-27,39,False
2015-07-28,16,False
2015-07-29,28,False
2015-07-30,44,False
2015-07-31,38,False
2015-08-01,0,False
2015-08-02,10,False
2015-08-03,20,False
2015-08-04,32,False
2015-08-05,12,False
2015-08-06,20,False
2015-08-07,21,False
2015-08-08,9,False
2015-08-09,9,False
2015-08-10,20,False
