date,ULTA
2011-01-01,86
2011-01-02,92
2011-01-03,67
2011-01-04,62
2011-01-05,66
2011-01-06,63
2011-01-07,69
2011-01-08,73
2011-01-09,83
2011-01-10,60
2011-01-11,57
2011-01-12,53
2011-01-13,55
2011-01-14,65
2011-01-15,80
2011-01-16,72
2011-01-17,67
2011-01-18,54
2011-01-19,53
2011-01-20,55
2011-01-21,68
2011-01-22,79
2011-01-23,84
2011-01-24,61
2011-01-25,61
2011-01-26,62
2011-01-27,58
2011-01-28,70
2011-01-29,82
2011-01-30,94
2011-01-31,58
2011-02-01,52
2011-02-02,54
2011-02-03,62
2011-02-04,65
2011-02-05,84
2011-02-06,78
2011-02-07,59
2011-02-08,60
2011-02-09,59
2011-02-10,63
2011-02-11,72
2011-02-12,78
2011-02-13,83
2011-02-14,62
2011-02-15,59
2011-02-16,66
2011-02-17,71
2011-02-18,74
2011-02-19,89
2011-02-20,83
2011-02-21,67
2011-02-22,58
2011-02-23,65
2011-02-24,66
2011-02-25,68
2011-02-26,83
2011-02-27,84
2011-02-28,55
2011-03-01,60
2011-03-02,55
2011-03-03,62
2011-03-04,69
2011-03-05,88
2011-03-06,81
2011-03-07,67
2011-03-08,60
2011-03-09,63
2011-03-10,65
2011-03-11,65
2011-03-12,68
2011-03-13,70
2011-03-14,57
2011-03-15,56
2011-03-16,68
2011-03-17,62
2011-03-18,66
2011-03-19,84
2011-03-20,79
2011-03-21,65
2011-03-22,59
2011-03-23,63
2011-03-24,61
2011-03-25,66
2011-03-26,78
2011-03-27,76
2011-03-28,58
2011-03-29,66
2011-03-30,65
2011-03-31,62
2011-04-01,70
2011-04-02,80
2011-04-03,93
2011-04-04,60
2011-04-05,60
2011-04-06,64
2011-04-07,66
2011-04-08,76
2011-04-09,91
2011-04-10,82
2011-04-11,63
2011-04-12,61
2011-04-13,69
2011-04-14,70
2011-04-15,80
2011-04-16,90
2011-04-17,88
2011-04-18,72
2011-04-19,66
2011-04-20,65
2011-04-21,76
2011-04-22,83
2011-04-23,83
2011-04-24,72
2011-04-25,72
2011-04-26,64
2011-04-27,63
2011-04-28,64
2011-04-29,68
2011-04-30,79
2011-05-01,81
2011-05-02,69
2011-05-03,73
2011-05-04,67
2011-05-05,73
2011-05-06,78
2011-05-07,95
2011-05-08,91
2011-05-09,70
2011-05-10,66
2011-05-11,68
2011-05-12,68
2011-05-13,77
2011-05-14,82
2011-05-15,79
2011-05-16,66
2011-05-17,68
2011-05-18,67
2011-05-19,71
2011-05-20,73
2011-05-21,86
2011-05-22,75
2011-05-23,63
2011-05-24,62
2011-05-25,68
2011-05-26,66
2011-05-27,69
2011-05-28,83
2011-05-29,76
2011-05-30,67
2011-05-31,69
2011-06-01,79
2011-06-02,79
2011-06-03,86
2011-06-04,87
2011-06-05,86
2011-06-06,66
2011-06-07,67
2011-06-08,66
2011-06-09,67
2011-06-10,77
2011-06-11,81
2011-06-12,80
2011-06-13,66
2011-06-14,63
2011-06-15,64
2011-06-16,67
2011-06-17,70
2011-06-18,75
2011-06-19,70
2011-06-20,59
2011-06-21,64
2011-06-22,66
2011-06-23,69
2011-06-24,83
2011-06-25,77
2011-06-26,80
2011-06-27,69
2011-06-28,76
2011-06-29,77
2011-06-30,84
2011-07-01,79
2011-07-02,89
2011-07-03,93
2011-07-04,70
2011-07-05,68
2011-07-06,73
2011-07-07,78
2011-07-08,78
2011-07-09,93
2011-07-10,84
2011-07-11,73
2011-07-12,71
2011-07-13,73
2011-07-14,73
2011-07-15,75
2011-07-16,84
2011-07-17,80
2011-07-18,73
2011-07-19,80
2011-07-20,82
2011-07-21,77
2011-07-22,83
2011-07-23,83
2011-07-24,100
2011-07-25,78
2011-07-26,79
2011-07-27,82
2011-07-28,85
2011-07-29,84
2011-07-30,100
2011-07-31,95
2011-08-01,85
2011-08-02,80
2011-08-03,85
2011-08-04,81
2011-08-05,88
2011-08-06,100
2011-08-07,94
2011-08-08,82
2011-08-09,75
2011-08-10,75
2011-08-11,75
2011-08-12,78
2011-08-13,90
2011-08-14,85
2011-08-15,76
2011-08-16,70
2011-08-17,72
2011-08-18,73
2011-08-19,75
2011-08-20,86
2011-08-21,77
2011-08-22,69
2011-08-23,70
2011-08-24,62
2011-08-25,66
2011-08-26,67
2011-08-27,71
2011-08-28,90
2011-08-29,69
2011-08-30,71
2011-08-31,77
2011-09-01,75
2011-09-02,81
2011-09-03,96
2011-09-04,94
2011-09-05,80
2011-09-06,63
2011-09-07,64
2011-09-08,66
2011-09-09,80
2011-09-10,83
2011-09-11,83
2011-09-12,63
2011-09-13,64
2011-09-14,66
2011-09-15,62
2011-09-16,73
2011-09-17,84
2011-09-18,77
