date,ULTA
2015-08-18,24
2015-08-19,26
2015-08-20,24
2015-08-21,26
2015-08-22,33
2015-08-23,30
2015-08-24,23
2015-08-25,22
2015-08-26,22
2015-08-27,22
2015-08-28,24
2015-08-29,30
2015-08-30,32
2015-08-31,22
2015-09-01,23
2015-09-02,25
2015-09-03,26
2015-09-04,29
2015-09-05,32
2015-09-06,35
2015-09-07,34
2015-09-08,24
2015-09-09,26
2015-09-10,24
2015-09-11,26
2015-09-12,32
2015-09-13,34
2015-09-14,25
2015-09-15,24
2015-09-16,24
2015-09-17,25
2015-09-18,30
2015-09-19,34
2015-09-20,35
2015-09-21,25
2015-09-22,23
2015-09-23,24
2015-09-24,25
2015-09-25,28
2015-09-26,34
2015-09-27,34
2015-09-28,23
2015-09-29,24
2015-09-30,25
2015-10-01,25
2015-10-02,29
2015-10-03,35
2015-10-04,35
2015-10-05,23
2015-10-06,23
2015-10-07,24
2015-10-08,24
2015-10-09,27
2015-10-10,32
2015-10-11,31
2015-10-12,24
2015-10-13,22
2015-10-14,22
2015-10-15,24
2015-10-16,26
2015-10-17,32
2015-10-18,30
2015-10-19,22
2015-10-20,22
2015-10-21,23
2015-10-22,25
2015-10-23,29
2015-10-24,33
2015-10-25,33
2015-10-26,25
2015-10-27,23
2015-10-28,24
2015-10-29,25
2015-10-30,27
2015-10-31,32
2015-11-01,29
2015-11-02,23
2015-11-03,23
2015-11-04,25
2015-11-05,27
2015-11-06,30
2015-11-07,35
2015-11-08,34
2015-11-09,25
2015-11-10,26
2015-11-11,28
2015-11-12,27
2015-11-13,30
2015-11-14,34
2015-11-15,35
2015-11-16,28
2015-11-17,26
2015-11-18,30
2015-11-19,29
2015-11-20,38
2015-11-21,43
2015-11-22,44
2015-11-23,35
2015-11-24,36
2015-11-25,39
2015-11-26,56
2015-11-27,100
2015-11-28,58
2015-11-29,47
2015-11-30,58
2015-12-01,43
2015-12-02,34
2015-12-03,34
2015-12-04,39
2015-12-05,44
2015-12-06,43
2015-12-07,38
2015-12-08,38
2015-12-09,38
2015-12-10,41
2015-12-11,45
2015-12-12,53
2015-12-13,54
2015-12-14,44
2015-12-15,44
2015-12-16,46
2015-12-17,49
2015-12-18,52
2015-12-19,64
2015-12-20,66
2015-12-21,56
2015-12-22,61
2015-12-23,65
2015-12-24,77
2015-12-25,36
2015-12-26,58
2015-12-27,58
2015-12-28,45
2015-12-29,46
2015-12-30,47
2015-12-31,51
2016-01-01,45
2016-01-02,45
2016-01-03,43
2016-01-04,31
2016-01-05,29
2016-01-06,29
2016-01-07,28
2016-01-08,32
2016-01-09,38
2016-01-10,37
2016-01-11,27
2016-01-12,25
2016-01-13,25
2016-01-14,26
2016-01-15,31
2016-01-16,39
2016-01-17,36
2016-01-18,30
2016-01-19,25
2016-01-20,25
2016-01-21,26
2016-01-22,27
2016-01-23,33
2016-01-24,35
2016-01-25,26
2016-01-26,25
2016-01-27,27
2016-01-28,28
2016-01-29,30
2016-01-30,40
2016-01-31,39
2016-02-01,24
2016-02-02,23
2016-02-03,24
2016-02-04,23
2016-02-05,28
2016-02-06,35
2016-02-07,33
2016-02-08,24
2016-02-09,24
2016-02-10,25
2016-02-11,26
2016-02-12,30
2016-02-13,38
2016-02-14,35
2016-02-15,28
2016-02-16,27
2016-02-17,26
2016-02-18,29
2016-02-19,33
2016-02-20,40
2016-02-21,38
2016-02-22,27
2016-02-23,25
2016-02-24,24
2016-02-25,27
2016-02-26,30
2016-02-27,37
2016-02-28,36
2016-02-29,24
2016-03-01,25
2016-03-02,25
2016-03-03,26
2016-03-04,29
2016-03-05,36
2016-03-06,35
2016-03-07,27
2016-03-08,27
2016-03-09,27
2016-03-10,30
2016-03-11,35
2016-03-12,39
2016-03-13,44
2016-03-14,34
2016-03-15,31
2016-03-16,29
2016-03-17,32
2016-03-18,36
2016-03-19,43
2016-03-20,40
2016-03-21,33
2016-03-22,34
2016-03-23,32
2016-03-24,36
2016-03-25,45
2016-03-26,48
2016-03-27,42
2016-03-28,34
2016-03-29,33
2016-03-30,34
2016-03-31,36
2016-04-01,37
2016-04-02,45
2016-04-03,44
2016-04-04,30
2016-04-05,29
2016-04-06,30
2016-04-07,32
2016-04-08,33
2016-04-09,41
2016-04-10,40
2016-04-11,31
2016-04-12,29
2016-04-13,31
2016-04-14,32
2016-04-15,36
2016-04-16,41
2016-04-17,38
2016-04-18,28
2016-04-19,29
2016-04-20,30
2016-04-21,29
2016-04-22,31
2016-04-23,37
2016-04-24,35
2016-04-25,28
2016-04-26,28
2016-04-27,28
2016-04-28,29
2016-04-29,33
2016-04-30,39
2016-05-01,39
2016-05-02,29
2016-05-03,31
2016-05-04,32
