date,ULTA
2015-12-26,100
2015-12-27,95
2015-12-28,80
2015-12-29,80
2015-12-30,79
2015-12-31,94
2016-01-01,79
2016-01-02,79
2016-01-03,76
2016-01-04,55
2016-01-05,52
2016-01-06,50
2016-01-07,52
2016-01-08,54
2016-01-09,67
2016-01-10,62
2016-01-11,45
2016-01-12,45
2016-01-13,43
2016-01-14,46
2016-01-15,54
2016-01-16,67
2016-01-17,63
2016-01-18,51
2016-01-19,45
2016-01-20,43
2016-01-21,46
2016-01-22,49
2016-01-23,58
2016-01-24,63
2016-01-25,46
2016-01-26,44
2016-01-27,47
2016-01-28,49
2016-01-29,54
2016-01-30,71
2016-01-31,68
2016-02-01,44
2016-02-02,40
2016-02-03,44
2016-02-04,43
2016-02-05,50
2016-02-06,61
2016-02-07,54
2016-02-08,42
2016-02-09,43
2016-02-10,44
2016-02-11,46
2016-02-12,50
2016-02-13,64
2016-02-14,62
2016-02-15,51
2016-02-16,47
2016-02-17,44
2016-02-18,51
2016-02-19,59
2016-02-20,67
2016-02-21,70
2016-02-22,46
2016-02-23,43
2016-02-24,43
2016-02-25,47
2016-02-26,53
2016-02-27,62
2016-02-28,66
2016-02-29,44
2016-03-01,44
2016-03-02,45
2016-03-03,46
2016-03-04,51
2016-03-05,63
2016-03-06,64
2016-03-07,47
2016-03-08,45
2016-03-09,45
2016-03-10,50
2016-03-11,61
2016-03-12,67
2016-03-13,77
2016-03-14,60
2016-03-15,52
2016-03-16,56
2016-03-17,56
2016-03-18,63
2016-03-19,78
2016-03-20,72
2016-03-21,58
2016-03-22,55
2016-03-23,55
2016-03-24,65
2016-03-25,78
2016-03-26,83
2016-03-27,73
2016-03-28,61
2016-03-29,56
2016-03-30,58
2016-03-31,60
2016-04-01,66
2016-04-02,79
2016-04-03,74
2016-04-04,52
2016-04-05,50
2016-04-06,53
2016-04-07,55
2016-04-08,60
2016-04-09,73
2016-04-10,71
2016-04-11,52
2016-04-12,52
2016-04-13,55
2016-04-14,56
2016-04-15,63
2016-04-16,72
2016-04-17,65
2016-04-18,49
2016-04-19,49
2016-04-20,51
2016-04-21,50
2016-04-22,55
2016-04-23,63
2016-04-24,62
2016-04-25,48
2016-04-26,47
2016-04-27,49
2016-04-28,53
2016-04-29,58
2016-04-30,69
2016-05-01,67
2016-05-02,51
2016-05-03,51
2016-05-04,57
2016-05-05,58
2016-05-06,64
2016-05-07,76
2016-05-08,69
2016-05-09,53
2016-05-10,54
2016-05-11,56
2016-05-12,55
2016-05-13,58
2016-05-14,67
2016-05-15,67
2016-05-16,51
2016-05-17,51
2016-05-18,52
2016-05-19,51
2016-05-20,58
2016-05-21,65
2016-05-22,62
2016-05-23,48
2016-05-24,50
2016-05-25,49
2016-05-26,52
2016-05-27,55
2016-05-28,62
2016-05-29,57
2016-05-30,54
2016-05-31,49
2016-06-01,50
2016-06-02,53
2016-06-03,56
2016-06-04,61
2016-06-05,63
2016-06-06,49
2016-06-07,48
2016-06-08,49
2016-06-09,53
2016-06-10,56
2016-06-11,60
2016-06-12,64
2016-06-13,46
2016-06-14,47
2016-06-15,52
2016-06-16,52
2016-06-17,57
2016-06-18,61
2016-06-19,54
2016-06-20,46
2016-06-21,51
2016-06-22,50
2016-06-23,52
2016-06-24,59
2016-06-25,63
2016-06-26,65
2016-06-27,53
2016-06-28,55
2016-06-29,60
2016-06-30,61
2016-07-01,74
2016-07-02,75
2016-07-03,78
2016-07-04,60
2016-07-05,53
2016-07-06,57
2016-07-07,59
2016-07-08,60
2016-07-09,67
2016-07-10,66
2016-07-11,54
2016-07-12,54
2016-07-13,55
2016-07-14,56
2016-07-15,62
2016-07-16,69
2016-07-17,68
2016-07-18,57
2016-07-19,56
2016-07-20,57
2016-07-21,60
2016-07-22,64
2016-07-23,70
2016-07-24,72
2016-07-25,57
2016-07-26,57
2016-07-27,55
2016-07-28,57
2016-07-29,66
2016-07-30,100
2016-07-31,81
2016-08-01,60
2016-08-02,57
2016-08-03,61
2016-08-04,61
2016-08-05,66
2016-08-06,69
2016-08-07,71
2016-08-08,56
2016-08-09,57
2016-08-10,54
2016-08-11,59
2016-08-12,64
2016-08-13,71
2016-08-14,71
2016-08-15,63
2016-08-16,60
2016-08-17,63
2016-08-18,60
2016-08-19,62
2016-08-20,76
2016-08-21,75
2016-08-22,57
2016-08-23,57
2016-08-24,54
2016-08-25,58
2016-08-26,65
2016-08-27,74
2016-08-28,82
2016-08-29,58
2016-08-30,56
2016-08-31,59
2016-09-01,63
2016-09-02,71
2016-09-03,82
2016-09-04,82
2016-09-05,79
2016-09-06,58
2016-09-07,58
2016-09-08,58
2016-09-09,65
2016-09-10,85
2016-09-11,86
