date,TSCO
2016-05-04,32
2016-05-05,40
2016-05-06,34
2016-05-07,36
2016-05-08,26
2016-05-09,30
2016-05-10,38
2016-05-11,37
2016-05-12,35
2016-05-13,52
2016-05-14,25
2016-05-15,25
2016-05-16,32
2016-05-17,26
2016-05-18,30
2016-05-19,32
2016-05-20,31
2016-05-21,34
2016-05-22,20
2016-05-23,38
2016-05-24,45
2016-05-25,52
2016-05-26,35
2016-05-27,52
2016-05-28,28
2016-05-29,24
2016-05-30,50
2016-05-31,30
2016-06-01,47
2016-06-02,36
2016-06-03,44
2016-06-04,26
2016-06-05,34
2016-06-06,47
2016-06-07,42
2016-06-08,29
2016-06-09,43
2016-06-10,41
2016-06-11,18
2016-06-12,33
2016-06-13,35
2016-06-14,45
2016-06-15,38
2016-06-16,24
2016-06-17,39
2016-06-18,20
2016-06-19,24
2016-06-20,47
2016-06-21,27
2016-06-22,44
2016-06-23,48
2016-06-24,55
2016-06-25,28
2016-06-26,38
2016-06-27,40
2016-06-28,25
2016-06-29,41
2016-06-30,58
2016-07-01,41
2016-07-02,28
2016-07-03,37
2016-07-04,37
2016-07-05,33
2016-07-06,46
2016-07-07,39
2016-07-08,38
2016-07-09,35
2016-07-10,32
2016-07-11,48
2016-07-12,34
2016-07-13,36
2016-07-14,33
2016-07-15,27
2016-07-16,24
2016-07-17,18
2016-07-18,26
2016-07-19,38
2016-07-20,41
2016-07-21,40
2016-07-22,39
2016-07-23,28
2016-07-24,28
2016-07-25,31
2016-07-26,29
2016-07-27,33
2016-07-28,31
2016-07-29,25
2016-07-30,41
2016-07-31,28
2016-08-01,26
2016-08-02,37
2016-08-03,41
2016-08-04,38
2016-08-05,38
2016-08-06,41
2016-08-07,24
2016-08-08,37
2016-08-09,54
2016-08-10,19
2016-08-11,36
2016-08-12,39
2016-08-13,16
2016-08-14,26
2016-08-15,25
2016-08-16,32
2016-08-17,26
2016-08-18,26
2016-08-19,32
2016-08-20,18
2016-08-21,39
2016-08-22,29
2016-08-23,33
2016-08-24,36
2016-08-25,26
2016-08-26,27
2016-08-27,24
2016-08-28,37
2016-08-29,17
2016-08-30,25
2016-08-31,37
2016-09-01,35
2016-09-02,28
2016-09-03,41
2016-09-04,23
2016-09-05,26
2016-09-06,21
2016-09-07,48
2016-09-08,100
2016-09-09,85
2016-09-10,46
2016-09-11,34
2016-09-12,38
2016-09-13,52
2016-09-14,37
2016-09-15,28
2016-09-16,26
2016-09-17,34
2016-09-18,24
2016-09-19,37
2016-09-20,24
2016-09-21,31
2016-09-22,46
2016-09-23,31
2016-09-24,38
2016-09-25,38
2016-09-26,19
2016-09-27,32
2016-09-28,32
2016-09-29,54
2016-09-30,37
2016-10-01,30
2016-10-02,22
2016-10-03,49
2016-10-04,36
2016-10-05,86
2016-10-06,61
2016-10-07,27
2016-10-08,34
2016-10-09,30
2016-10-10,55
2016-10-11,36
2016-10-12,38
2016-10-13,40
2016-10-14,35
2016-10-15,35
2016-10-16,28
2016-10-17,38
2016-10-18,33
2016-10-19,56
2016-10-20,57
2016-10-21,42
2016-10-22,41
2016-10-23,33
2016-10-24,33
2016-10-25,33
2016-10-26,53
2016-10-27,26
2016-10-28,49
2016-10-29,34
2016-10-30,30
2016-10-31,31
2016-11-01,36
2016-11-02,49
2016-11-03,36
2016-11-04,33
2016-11-05,34
2016-11-06,27
2016-11-07,22
2016-11-08,37
2016-11-09,45
2016-11-10,37
2016-11-11,43
2016-11-12,38
2016-11-13,31
2016-11-14,31
2016-11-15,46
2016-11-16,47
2016-11-17,40
2016-11-18,41
2016-11-19,27
2016-11-20,38
2016-11-21,45
2016-11-22,51
2016-11-23,49
2016-11-24,46
2016-11-25,45
2016-11-26,25
2016-11-27,41
2016-11-28,40
2016-11-29,37
2016-11-30,36
2016-12-01,46
2016-12-02,43
2016-12-03,27
2016-12-04,50
2016-12-05,38
2016-12-06,48
2016-12-07,42
2016-12-08,31
2016-12-09,33
2016-12-10,33
2016-12-11,34
2016-12-12,50
2016-12-13,51
2016-12-14,50
2016-12-15,46
2016-12-16,43
2016-12-17,28
2016-12-18,33
2016-12-19,49
2016-12-20,34
2016-12-21,48
2016-12-22,34
2016-12-23,34
2016-12-24,28
2016-12-25,16
2016-12-26,44
2016-12-27,40
2016-12-28,47
2016-12-29,34
2016-12-30,33
2016-12-31,43
2017-01-01,40
2017-01-02,33
2017-01-03,49
2017-01-04,31
2017-01-05,36
2017-01-06,37
2017-01-07,21
2017-01-08,30
2017-01-09,41
2017-01-10,40
2017-01-11,29
2017-01-12,40
2017-01-13,46
2017-01-14,26
2017-01-15,35
2017-01-16,36
2017-01-17,35
2017-01-18,38
2017-01-19,38
