date,TSCO
2015-12-26,39
2015-12-27,31
2015-12-28,33
2015-12-29,66
2015-12-30,37
2015-12-31,41
2016-01-01,34
2016-01-02,13
2016-01-03,58
2016-01-04,39
2016-01-05,50
2016-01-06,39
2016-01-07,36
2016-01-08,42
2016-01-09,35
2016-01-10,34
2016-01-11,45
2016-01-12,33
2016-01-13,63
2016-01-14,68
2016-01-15,39
2016-01-16,35
2016-01-17,40
2016-01-18,43
2016-01-19,38
2016-01-20,35
2016-01-21,44
2016-01-22,37
2016-01-23,22
2016-01-24,25
2016-01-25,30
2016-01-26,67
2016-01-27,46
2016-01-28,57
2016-01-29,48
2016-01-30,25
2016-01-31,30
2016-02-01,31
2016-02-02,36
2016-02-03,29
2016-02-04,50
2016-02-05,35
2016-02-06,28
2016-02-07,15
2016-02-08,35
2016-02-09,29
2016-02-10,26
2016-02-11,32
2016-02-12,22
2016-02-13,36
2016-02-14,24
2016-02-15,58
2016-02-16,16
2016-02-17,31
2016-02-18,28
2016-02-19,35
2016-02-20,18
2016-02-21,39
2016-02-22,28
2016-02-23,26
2016-02-24,28
2016-02-25,21
2016-02-26,19
2016-02-27,32
2016-02-28,41
2016-02-29,35
2016-03-01,38
2016-03-02,36
2016-03-03,23
2016-03-04,47
2016-03-05,21
2016-03-06,23
2016-03-07,20
2016-03-08,20
2016-03-09,20
2016-03-10,36
2016-03-11,62
2016-03-12,15
2016-03-13,24
2016-03-14,35
2016-03-15,41
2016-03-16,15
2016-03-17,26
2016-03-18,40
2016-03-19,27
2016-03-20,9
2016-03-21,28
2016-03-22,31
2016-03-23,29
2016-03-24,27
2016-03-25,32
2016-03-26,25
2016-03-27,19
2016-03-28,22
2016-03-29,33
2016-03-30,26
2016-03-31,18
2016-04-01,21
2016-04-02,39
2016-04-03,44
2016-04-04,25
2016-04-05,25
2016-04-06,36
2016-04-07,28
2016-04-08,21
2016-04-09,18
2016-04-10,35
2016-04-11,28
2016-04-12,28
2016-04-13,59
2016-04-14,49
2016-04-15,56
2016-04-16,30
2016-04-17,36
2016-04-18,23
2016-04-19,28
2016-04-20,44
2016-04-21,31
2016-04-22,33
2016-04-23,24
2016-04-24,27
2016-04-25,48
2016-04-26,40
2016-04-27,36
2016-04-28,26
2016-04-29,32
2016-04-30,40
2016-05-01,24
2016-05-02,31
2016-05-03,38
2016-05-04,28
2016-05-05,43
2016-05-06,44
2016-05-07,46
2016-05-08,40
2016-05-09,33
2016-05-10,35
2016-05-11,25
2016-05-12,28
2016-05-13,38
2016-05-14,24
2016-05-15,36
2016-05-16,41
2016-05-17,58
2016-05-18,33
2016-05-19,49
2016-05-20,27
2016-05-21,24
2016-05-22,21
2016-05-23,33
2016-05-24,36
2016-05-25,36
2016-05-26,40
2016-05-27,54
2016-05-28,22
2016-05-29,31
2016-05-30,45
2016-05-31,44
2016-06-01,38
2016-06-02,39
2016-06-03,63
2016-06-04,25
2016-06-05,37
2016-06-06,38
2016-06-07,38
2016-06-08,26
2016-06-09,50
2016-06-10,38
2016-06-11,30
2016-06-12,27
2016-06-13,35
2016-06-14,35
2016-06-15,41
2016-06-16,49
2016-06-17,38
2016-06-18,12
2016-06-19,27
2016-06-20,62
2016-06-21,52
2016-06-22,24
2016-06-23,68
2016-06-24,51
2016-06-25,34
2016-06-26,27
2016-06-27,43
2016-06-28,36
2016-06-29,44
2016-06-30,77
2016-07-01,63
2016-07-02,25
2016-07-03,13
2016-07-04,52
2016-07-05,43
2016-07-06,41
2016-07-07,54
2016-07-08,33
2016-07-09,41
2016-07-10,19
2016-07-11,37
2016-07-12,36
2016-07-13,37
2016-07-14,37
2016-07-15,27
2016-07-16,40
2016-07-17,19
2016-07-18,21
2016-07-19,26
2016-07-20,64
2016-07-21,32
2016-07-22,27
2016-07-23,34
2016-07-24,31
2016-07-25,31
2016-07-26,21
2016-07-27,37
2016-07-28,45
2016-07-29,19
2016-07-30,28
2016-07-31,16
2016-08-01,39
2016-08-02,8
2016-08-03,56
2016-08-04,62
2016-08-05,47
2016-08-06,32
2016-08-07,13
2016-08-08,34
2016-08-09,45
2016-08-10,13
2016-08-11,48
2016-08-12,33
2016-08-13,28
2016-08-14,34
2016-08-15,17
2016-08-16,50
2016-08-17,21
2016-08-18,19
2016-08-19,22
2016-08-20,24
2016-08-21,33
2016-08-22,23
2016-08-23,29
2016-08-24,34
2016-08-25,42
2016-08-26,35
2016-08-27,34
2016-08-28,21
2016-08-29,18
2016-08-30,23
2016-08-31,43
2016-09-01,26
2016-09-02,32
2016-09-03,30
2016-09-04,33
2016-09-05,42
2016-09-06,25
2016-09-07,49
2016-09-08,100
2016-09-09,71
2016-09-10,53
2016-09-11,23
