date,TSCO
2015-08-18,63
2015-08-19,42
2015-08-20,64
2015-08-21,26
2015-08-22,40
2015-08-23,44
2015-08-24,70
2015-08-25,90
2015-08-26,34
2015-08-27,88
2015-08-28,39
2015-08-29,25
2015-08-30,15
2015-08-31,37
2015-09-01,45
2015-09-02,37
2015-09-03,46
2015-09-04,30
2015-09-05,34
2015-09-06,34
2015-09-07,35
2015-09-08,65
2015-09-09,45
2015-09-10,29
2015-09-11,59
2015-09-12,38
2015-09-13,38
2015-09-14,44
2015-09-15,36
2015-09-16,28
2015-09-17,41
2015-09-18,42
2015-09-19,34
2015-09-20,42
2015-09-21,56
2015-09-22,36
2015-09-23,49
2015-09-24,54
2015-09-25,34
2015-09-26,34
2015-09-27,33
2015-09-28,28
2015-09-29,36
2015-09-30,76
2015-10-01,32
2015-10-02,59
2015-10-03,57
2015-10-04,23
2015-10-05,79
2015-10-06,68
2015-10-07,81
2015-10-08,48
2015-10-09,79
2015-10-10,33
2015-10-11,56
2015-10-12,37
2015-10-13,67
2015-10-14,44
2015-10-15,72
2015-10-16,54
2015-10-17,33
2015-10-18,64
2015-10-19,43
2015-10-20,59
2015-10-21,51
2015-10-22,60
2015-10-23,30
2015-10-24,23
2015-10-25,32
2015-10-26,39
2015-10-27,32
2015-10-28,31
2015-10-29,64
2015-10-30,46
2015-10-31,48
2015-11-01,33
2015-11-02,56
2015-11-03,67
2015-11-04,43
2015-11-05,56
2015-11-06,49
2015-11-07,47
2015-11-08,64
2015-11-09,79
2015-11-10,71
2015-11-11,40
2015-11-12,73
2015-11-13,58
2015-11-14,32
2015-11-15,37
2015-11-16,55
2015-11-17,51
2015-11-18,64
2015-11-19,52
2015-11-20,46
2015-11-21,27
2015-11-22,37
2015-11-23,75
2015-11-24,58
2015-11-25,39
2015-11-26,98
2015-11-27,100
2015-11-28,55
2015-11-29,50
2015-11-30,69
2015-12-01,46
2015-12-02,55
2015-12-03,72
2015-12-04,49
2015-12-05,42
2015-12-06,59
2015-12-07,51
2015-12-08,60
2015-12-09,63
2015-12-10,28
2015-12-11,71
2015-12-12,69
2015-12-13,27
2015-12-14,63
2015-12-15,73
2015-12-16,53
2015-12-17,46
2015-12-18,61
2015-12-19,40
2015-12-20,63
2015-12-21,55
2015-12-22,65
2015-12-23,63
2015-12-24,65
2015-12-25,43
2015-12-26,25
2015-12-27,78
2015-12-28,39
2015-12-29,74
2015-12-30,66
2015-12-31,44
2016-01-01,32
2016-01-02,28
2016-01-03,60
2016-01-04,59
2016-01-05,48
2016-01-06,76
2016-01-07,68
2016-01-08,74
2016-01-09,46
2016-01-10,44
2016-01-11,42
2016-01-12,65
2016-01-13,70
2016-01-14,55
2016-01-15,68
2016-01-16,23
2016-01-17,48
2016-01-18,47
2016-01-19,31
2016-01-20,62
2016-01-21,55
2016-01-22,36
2016-01-23,22
2016-01-24,40
2016-01-25,42
2016-01-26,54
2016-01-27,54
2016-01-28,50
2016-01-29,76
2016-01-30,49
2016-01-31,60
2016-02-01,44
2016-02-02,66
2016-02-03,82
2016-02-04,45
2016-02-05,39
2016-02-06,57
2016-02-07,52
2016-02-08,61
2016-02-09,65
2016-02-10,68
2016-02-11,49
2016-02-12,47
2016-02-13,52
2016-02-14,47
2016-02-15,61
2016-02-16,48
2016-02-17,67
2016-02-18,41
2016-02-19,54
2016-02-20,39
2016-02-21,34
2016-02-22,37
2016-02-23,26
2016-02-24,41
2016-02-25,37
2016-02-26,34
2016-02-27,38
2016-02-28,42
2016-02-29,39
2016-03-01,68
2016-03-02,58
2016-03-03,48
2016-03-04,53
2016-03-05,25
2016-03-06,42
2016-03-07,36
2016-03-08,29
2016-03-09,62
2016-03-10,66
2016-03-11,80
2016-03-12,34
2016-03-13,42
2016-03-14,33
2016-03-15,55
2016-03-16,33
2016-03-17,33
2016-03-18,15
2016-03-19,59
2016-03-20,25
2016-03-21,44
2016-03-22,41
2016-03-23,26
2016-03-24,43
2016-03-25,25
2016-03-26,26
2016-03-27,22
2016-03-28,27
2016-03-29,47
2016-03-30,44
2016-03-31,67
2016-04-01,38
2016-04-02,47
2016-04-03,59
2016-04-04,66
2016-04-05,65
2016-04-06,29
2016-04-07,40
2016-04-08,34
2016-04-09,26
2016-04-10,64
2016-04-11,51
2016-04-12,32
2016-04-13,74
2016-04-14,71
2016-04-15,54
2016-04-16,30
2016-04-17,39
2016-04-18,62
2016-04-19,15
2016-04-20,59
2016-04-21,75
2016-04-22,58
2016-04-23,30
2016-04-24,47
2016-04-25,51
2016-04-26,43
2016-04-27,55
2016-04-28,52
2016-04-29,85
2016-04-30,53
2016-05-01,35
2016-05-02,67
2016-05-03,62
2016-05-04,62
