date,AVGO,isPartial
2011-01-01,0,False
2011-01-02,29,False
2011-01-03,23,False
2011-01-04,22,False
2011-01-05,0,False
2011-01-06,0,False
2011-01-07,0,False
2011-01-08,0,False
2011-01-09,27,False
2011-01-10,22,False
2011-01-11,0,False
2011-01-12,21,False
2011-01-13,0,False
2011-01-14,0,False
2011-01-15,0,False
2011-01-16,26,False
2011-01-17,21,False
2011-01-18,64,False
2011-01-19,0,False
2011-01-20,22,False
2011-01-21,0,False
2011-01-22,0,False
2011-01-23,0,False
2011-01-24,21,False
2011-01-25,0,False
2011-01-26,0,False
2011-01-27,22,False
2011-01-28,23,False
2011-01-29,26,False
2011-01-30,0,False
2011-01-31,40,False
2011-02-01,61,False
2011-02-02,20,False
2011-02-03,21,False
2011-02-04,22,False
2011-02-05,0,False
2011-02-06,25,False
2011-02-07,20,False
2011-02-08,0,False
2011-02-09,0,False
2011-02-10,21,False
2011-02-11,0,False
2011-02-12,0,False
2011-02-13,0,False
2011-02-14,21,False
2011-02-15,82,False
2011-02-16,21,False
2011-02-17,21,False
2011-02-18,22,False
2011-02-19,0,False
2011-02-20,0,False
2011-02-21,42,False
2011-02-22,20,False
2011-02-23,21,False
2011-02-24,0,False
2011-02-25,44,False
2011-02-26,0,False
2011-02-27,25,False
2011-02-28,20,False
2011-03-01,61,False
2011-03-02,63,False
2011-03-03,0,False
2011-03-04,22,False
2011-03-05,0,False
2011-03-06,0,False
2011-03-07,0,False
2011-03-08,0,False
2011-03-09,62,False
2011-03-10,21,False
2011-03-11,21,False
2011-03-12,27,False
2011-03-13,0,False
2011-03-14,22,False
2011-03-15,0,False
2011-03-16,41,False
2011-03-17,63,False
2011-03-18,22,False
2011-03-19,0,False
2011-03-20,51,False
2011-03-21,20,False
2011-03-22,0,False
2011-03-23,21,False
2011-03-24,42,False
2011-03-25,44,False
2011-03-26,51,False
2011-03-27,26,False
2011-03-28,0,False
2011-03-29,20,False
2011-03-30,21,False
2011-03-31,0,False
2011-04-01,22,False
2011-04-02,0,False
2011-04-03,0,False
2011-04-04,41,False
2011-04-05,41,False
2011-04-06,62,False
2011-04-07,0,False
2011-04-08,44,False
2011-04-09,79,False
2011-04-10,26,False
2011-04-11,41,False
2011-04-12,0,False
2011-04-13,21,False
2011-04-14,0,False
2011-04-15,0,False
2011-04-16,0,False
2011-04-17,0,False
2011-04-18,21,False
2011-04-19,42,False
2011-04-20,0,False
2011-04-21,68,False
2011-04-22,0,False
2011-04-23,0,False
2011-04-24,0,False
2011-04-25,23,False
2011-04-26,21,False
2011-04-27,20,False
2011-04-28,62,False
2011-04-29,44,False
2011-04-30,27,False
2011-05-01,52,False
2011-05-02,41,False
2011-05-03,20,False
2011-05-04,0,False
2011-05-05,63,False
2011-05-06,22,False
2011-05-07,0,False
2011-05-08,0,False
2011-05-09,0,False
2011-05-10,20,False
2011-05-11,20,False
2011-05-12,20,False
2011-05-13,0,False
2011-05-14,0,False
2011-05-15,0,False
2011-05-16,39,False
2011-05-17,20,False
2011-05-18,20,False
2011-05-19,0,False
2011-05-20,22,False
2011-05-21,0,False
2011-05-22,26,False
2011-05-23,20,False
2011-05-24,61,False
2011-05-25,20,False
2011-05-26,21,False
2011-05-27,43,False
2011-05-28,0,False
2011-05-29,0,False
2011-05-30,21,False
2011-05-31,20,False
2011-06-01,62,False
2011-06-02,22,False
2011-06-03,22,False
2011-06-04,54,False
2011-06-05,26,False
2011-06-06,0,False
2011-06-07,100,False
2011-06-08,20,False
2011-06-09,20,False
2011-06-10,0,False
2011-06-11,0,False
2011-06-12,0,False
2011-06-13,41,False
2011-06-14,20,False
2011-06-15,41,False
2011-06-16,41,False
2011-06-17,43,False
2011-06-18,0,False
2011-06-19,0,False
2011-06-20,20,False
2011-06-21,40,False
2011-06-22,0,False
2011-06-23,43,False
2011-06-24,0,False
2011-06-25,0,False
2011-06-26,0,False
2011-06-27,20,False
2011-06-28,20,False
2011-06-29,41,False
2011-06-30,21,False
2011-07-01,44,False
2011-07-02,80,False
2011-07-03,0,False
2011-07-04,22,False
2011-07-05,0,False
2011-07-06,42,False
2011-07-07,42,False
2011-07-08,0,False
2011-07-09,0,False
2011-07-10,0,False
2011-07-11,0,False
2011-07-12,0,False
2011-07-13,0,False
2011-07-14,21,False
2011-07-15,0,False
2011-07-16,54,False
2011-07-17,0,False
2011-07-18,21,False
2011-07-19,41,False
2011-07-20,21,False
2011-07-21,0,False
2011-07-22,43,False
2011-07-23,0,False
2011-07-24,0,False
2011-07-25,0,False
2011-07-26,81,False
2011-07-27,0,False
2011-07-28,63,False
2011-07-29,66,False
2011-07-30,0,False
2011-07-31,0,False
2011-08-01,41,False
2011-08-02,21,False
2011-08-03,21,False
2011-08-04,0,False
2011-08-05,64,False
2011-08-06,0,False
2011-08-07,25,False
2011-08-08,59,False
2011-08-09,0,False
2011-08-10,40,False
2011-08-11,41,False
2011-08-12,22,False
2011-08-13,26,False
2011-08-14,0,False
2011-08-15,21,False
2011-08-16,0,False
2011-08-17,21,False
2011-08-18,40,False
2011-08-19,21,False
2011-08-20,25,False
2011-08-21,0,False
2011-08-22,20,False
2011-08-23,19,False
2011-08-24,98,False
2011-08-25,20,False
2011-08-26,21,False
2011-08-27,0,False
2011-08-28,0,False
2011-08-29,20,False
2011-08-30,19,False
2011-08-31,20,False
2011-09-01,20,False
2011-09-02,0,False
2011-09-03,0,False
2011-09-04,24,False
2011-09-05,0,False
2011-09-06,0,False
2011-09-07,19,False
2011-09-08,38,False
2011-09-09,0,False
2011-09-10,0,False
2011-09-11,0,False
2011-09-12,56,False
2011-09-13,18,False
2011-09-14,0,False
2011-09-15,76,False
2011-09-16,20,False
2011-09-17,0,False
2011-09-18,0,False
