date,AVGO,isPartial
2014-03-16,23,False
2014-03-17,24,False
2014-03-18,29,False
2014-03-19,48,False
2014-03-20,39,False
2014-03-21,41,False
2014-03-22,17,False
2014-03-23,22,False
2014-03-24,48,False
2014-03-25,47,False
2014-03-26,29,False
2014-03-27,49,False
2014-03-28,61,False
2014-03-29,57,False
2014-03-30,23,False
2014-03-31,19,False
2014-04-01,29,False
2014-04-02,44,False
2014-04-03,29,False
2014-04-04,30,False
2014-04-05,23,False
2014-04-06,11,False
2014-04-07,34,False
2014-04-08,38,False
2014-04-09,24,False
2014-04-10,45,False
2014-04-11,16,False
2014-04-12,23,False
2014-04-13,29,False
2014-04-14,39,False
2014-04-15,24,False
2014-04-16,55,False
2014-04-17,31,False
2014-04-18,28,False
2014-04-19,36,False
2014-04-20,25,False
2014-04-21,42,False
2014-04-22,29,False
2014-04-23,49,False
2014-04-24,35,False
2014-04-25,47,False
2014-04-26,52,False
2014-04-27,68,False
2014-04-28,34,False
2014-04-29,19,False
2014-04-30,10,False
2014-05-01,32,False
2014-05-02,37,False
2014-05-03,29,False
2014-05-04,34,False
2014-05-05,54,False
2014-05-06,67,False
2014-05-07,43,False
2014-05-08,59,False
2014-05-09,20,False
2014-05-10,23,False
2014-05-11,17,False
2014-05-12,43,False
2014-05-13,29,False
2014-05-14,34,False
2014-05-15,29,False
2014-05-16,50,False
2014-05-17,48,False
2014-05-18,29,False
2014-05-19,58,False
2014-05-20,39,False
2014-05-21,42,False
2014-05-22,43,False
2014-05-23,39,False
2014-05-24,59,False
2014-05-25,20,False
2014-05-26,27,False
2014-05-27,31,False
2014-05-28,21,False
2014-05-29,54,False
2014-05-30,62,False
2014-05-31,52,False
2014-06-01,78,False
2014-06-02,48,False
2014-06-03,11,False
2014-06-04,26,False
2014-06-05,22,False
2014-06-06,29,False
2014-06-07,34,False
2014-06-08,27,False
2014-06-09,49,False
2014-06-10,22,False
2014-06-11,32,False
2014-06-12,22,False
2014-06-13,34,False
2014-06-14,20,False
2014-06-15,39,False
2014-06-16,32,False
2014-06-17,32,False
2014-06-18,22,False
2014-06-19,28,False
2014-06-20,23,False
2014-06-21,13,False
2014-06-22,27,False
2014-06-23,33,False
2014-06-24,48,False
2014-06-25,32,False
2014-06-26,60,False
2014-06-27,23,False
2014-06-28,40,False
2014-06-29,0,False
2014-06-30,16,False
2014-07-01,55,False
2014-07-02,50,False
2014-07-03,62,False
2014-07-04,42,False
2014-07-05,40,False
2014-07-06,20,False
2014-07-07,27,False
2014-07-08,22,False
2014-07-09,88,False
2014-07-10,44,False
2014-07-11,29,False
2014-07-12,52,False
2014-07-13,26,False
2014-07-14,32,False
2014-07-15,33,False
2014-07-16,28,False
2014-07-17,17,False
2014-07-18,34,False
2014-07-19,20,False
2014-07-20,33,False
2014-07-21,16,False
2014-07-22,22,False
2014-07-23,34,False
2014-07-24,28,False
2014-07-25,58,False
2014-07-26,13,False
2014-07-27,27,False
2014-07-28,11,False
2014-07-29,33,False
2014-07-30,33,False
2014-07-31,11,False
2014-08-01,63,False
2014-08-02,33,False
2014-08-03,20,False
2014-08-04,22,False
2014-08-05,22,False
2014-08-06,44,False
2014-08-07,64,False
2014-08-08,46,False
2014-08-09,27,False
2014-08-10,39,False
2014-08-11,32,False
2014-08-12,48,False
2014-08-13,32,False
2014-08-14,11,False
2014-08-15,71,False
2014-08-16,33,False
2014-08-17,13,False
2014-08-18,38,False
2014-08-19,27,False
2014-08-20,43,False
2014-08-21,16,False
2014-08-22,22,False
2014-08-23,39,False
2014-08-24,51,False
2014-08-25,31,False
2014-08-26,26,False
2014-08-27,37,False
2014-08-28,49,False
