date,AVGO,isPartial
2014-12-01,10,False
2014-12-02,9,False
2014-12-03,32,False
2014-12-04,21,False
2014-12-05,14,False
2014-12-06,8,False
2014-12-07,6,False
2014-12-08,16,False
2014-12-09,16,False
2014-12-10,11,False
2014-12-11,10,False
2014-12-12,6,False
2014-12-13,8,False
2014-12-14,6,False
2014-12-15,4,False
2014-12-16,13,False
2014-12-17,14,False
2014-12-18,13,False
2014-12-19,13,False
2014-12-20,8,False
2014-12-21,7,False
2014-12-22,6,False
2014-12-23,10,False
2014-12-24,8,False
2014-12-25,7,False
2014-12-26,10,False
2014-12-27,8,False
2014-12-28,16,False
2014-12-29,11,False
2014-12-30,10,False
2014-12-31,10,False
2015-01-01,3,False
2015-01-02,9,False
2015-01-03,3,False
2015-01-04,3,False
2015-01-05,12,False
2015-01-06,7,False
2015-01-07,9,False
2015-01-08,4,False
2015-01-09,11,False
2015-01-10,15,False
2015-01-11,6,False
2015-01-12,14,False
2015-01-13,15,False
2015-01-14,8,False
2015-01-15,4,False
2015-01-16,5,False
2015-01-17,6,False
2015-01-18,12,False
2015-01-19,17,False
2015-01-20,6,False
2015-01-21,10,False
2015-01-22,9,False
2015-01-23,20,False
2015-01-24,6,False
2015-01-25,6,False
2015-01-26,10,False
2015-01-27,10,False
2015-01-28,17,False
2015-01-29,10,False
2015-01-30,5,False
2015-01-31,6,False
2015-02-01,6,False
2015-02-02,13,False
2015-02-03,8,False
2015-02-04,8,False
2015-02-05,8,False
2015-02-06,17,False
2015-02-07,9,False
2015-02-08,7,False
2015-02-09,8,False
2015-02-10,21,False
2015-02-11,21,False
2015-02-12,8,False
2015-02-13,7,False
2015-02-14,9,False
2015-02-15,12,False
2015-02-16,9,False
2015-02-17,14,False
2015-02-18,10,False
2015-02-19,12,False
2015-02-20,9,False
2015-02-21,15,False
2015-02-22,7,False
2015-02-23,14,False
2015-02-24,18,False
2015-02-25,36,False
2015-02-26,47,False
2015-02-27,43,False
2015-02-28,10,False
2015-03-01,10,False
2015-03-02,13,False
2015-03-03,22,False
2015-03-04,13,False
2015-03-05,13,False
2015-03-06,13,False
2015-03-07,11,False
2015-03-08,6,False
2015-03-09,21,False
2015-03-10,14,False
2015-03-11,18,False
2015-03-12,17,False
2015-03-13,18,False
2015-03-14,12,False
2015-03-15,10,False
2015-03-16,29,False
2015-03-17,15,False
2015-03-18,14,False
2015-03-19,9,False
2015-03-20,19,False
2015-03-21,9,False
2015-03-22,9,False
2015-03-23,19,False
2015-03-24,19,False
2015-03-25,15,False
2015-03-26,23,False
2015-03-27,19,False
2015-03-28,10,False
2015-03-29,6,False
2015-03-30,23,False
2015-03-31,11,False
2015-04-01,8,False
2015-04-02,17,False
2015-04-03,9,False
2015-04-04,6,False
2015-04-05,11,False
2015-04-06,15,False
2015-04-07,20,False
2015-04-08,15,False
2015-04-09,14,False
2015-04-10,15,False
2015-04-11,8,False
2015-04-12,12,False
2015-04-13,8,False
2015-04-14,14,False
2015-04-15,13,False
2015-04-16,19,False
2015-04-17,17,False
2015-04-18,9,False
2015-04-19,6,False
2015-04-20,9,False
2015-04-21,10,False
2015-04-22,15,False
2015-04-23,20,False
2015-04-24,21,False
2015-04-25,15,False
2015-04-26,7,False
2015-04-27,21,False
2015-04-28,12,False
2015-04-29,11,False
2015-04-30,13,False
2015-05-01,10,False
2015-05-02,12,False
2015-05-03,3,False
2015-05-04,11,False
2015-05-05,19,False
2015-05-06,13,False
2015-05-07,11,False
2015-05-08,11,False
2015-05-09,11,False
2015-05-10,6,False
2015-05-11,16,False
2015-05-12,10,False
2015-05-13,13,False
2015-05-14,17,False
2015-05-15,25,False
2015-05-16,12,False
2015-05-17,3,False
2015-05-18,15,False
2015-05-19,10,False
2015-05-20,15,False
2015-05-21,14,False
2015-05-22,11,False
2015-05-23,12,False
2015-05-24,9,False
2015-05-25,9,False
2015-05-26,9,False
2015-05-27,54,False
2015-05-28,100,False
2015-05-29,30,False
2015-05-30,24,False
2015-05-31,9,False
2015-06-01,43,False
2015-06-02,22,False
2015-06-03,16,False
2015-06-04,23,False
2015-06-05,28,False
2015-06-06,18,False
2015-06-07,5,False
2015-06-08,27,False
2015-06-09,20,False
2015-06-10,40,False
2015-06-11,17,False
2015-06-12,8,False
2015-06-13,9,False
2015-06-14,9,False
2015-06-15,19,False
2015-06-16,19,False
2015-06-17,16,False
2015-06-18,8,False
2015-06-19,20,False
2015-06-20,9,False
2015-06-21,6,False
2015-06-22,9,False
2015-06-23,16,False
2015-06-24,15,False
2015-06-25,10,False
2015-06-26,18,False
2015-06-27,5,False
2015-06-28,5,False
2015-06-29,8,False
2015-06-30,28,False
2015-07-01,14,False
2015-07-02,13,False
2015-07-03,11,False
2015-07-04,16,False
2015-07-05,11,False
2015-07-06,13,False
2015-07-07,17,False
2015-07-08,10,False
2015-07-09,28,False
2015-07-10,17,False
2015-07-11,11,False
2015-07-12,8,False
2015-07-13,21,False
2015-07-14,18,False
2015-07-15,14,False
2015-07-16,14,False
2015-07-17,7,False
2015-07-18,7,False
2015-07-19,5,False
2015-07-20,21,False
2015-07-21,22,False
2015-07-22,24,False
2015-07-23,23,False
2015-07-24,13,False
2015-07-25,5,False
2015-07-26,6,False
2015-07-27,15,False
2015-07-28,24,False
2015-07-29,14,False
2015-07-30,23,False
2015-07-31,13,False
2015-08-01,11,False
2015-08-02,12,False
2015-08-03,19,False
2015-08-04,27,False
2015-08-05,13,False
2015-08-06,14,False
2015-08-07,15,False
2015-08-08,9,False
2015-08-09,15,False
2015-08-10,8,False
2015-08-11,20,False
