date,VIAB
2013-11-06,44
2013-11-07,27
2013-11-08,70
2013-11-09,32
2013-11-10,31
2013-11-11,26
2013-11-12,26
2013-11-13,40
2013-11-14,72
2013-11-15,42
2013-11-16,31
2013-11-17,31
2013-11-18,0
2013-11-19,26
2013-11-20,61
2013-11-21,52
2013-11-22,27
2013-11-23,31
2013-11-24,30
2013-11-25,77
2013-11-26,78
2013-11-27,80
2013-11-28,28
2013-11-29,28
2013-11-30,31
2013-12-01,29
2013-12-02,25
2013-12-03,51
2013-12-04,53
2013-12-05,78
2013-12-06,0
2013-12-07,0
2013-12-08,31
2013-12-09,35
2013-12-10,35
2013-12-11,40
2013-12-12,36
2013-12-13,28
2013-12-14,95
2013-12-15,46
2013-12-16,53
2013-12-17,27
2013-12-18,40
2013-12-19,37
2013-12-20,0
2013-12-21,33
2013-12-22,0
2013-12-23,74
2013-12-24,65
2013-12-25,35
2013-12-26,61
2013-12-27,74
2013-12-28,43
2013-12-29,32
2013-12-30,0
2013-12-31,32
2014-01-01,34
2014-01-02,27
2014-01-03,27
2014-01-04,30
2014-01-05,30
2014-01-06,40
2014-01-07,51
2014-01-08,26
2014-01-09,38
2014-01-10,27
2014-01-11,30
2014-01-12,30
2014-01-13,38
2014-01-14,25
2014-01-15,42
2014-01-16,39
2014-01-17,40
2014-01-18,60
2014-01-19,59
2014-01-20,38
2014-01-21,41
2014-01-22,38
2014-01-23,0
2014-01-24,52
2014-01-25,0
2014-01-26,29
2014-01-27,50
2014-01-28,25
2014-01-29,50
2014-01-30,51
2014-01-31,53
2014-02-01,0
2014-02-02,29
2014-02-03,50
2014-02-04,25
2014-02-05,25
2014-02-06,34
2014-02-07,0
2014-02-08,44
2014-02-09,29
2014-02-10,24
2014-02-11,25
2014-02-12,25
2014-02-13,25
2014-02-14,92
2014-02-15,30
2014-02-16,0
2014-02-17,42
2014-02-18,62
2014-02-19,25
2014-02-20,25
2014-02-21,26
2014-02-22,0
2014-02-23,29
2014-02-24,37
2014-02-25,25
2014-02-26,25
2014-02-27,25
2014-02-28,44
2014-03-01,0
2014-03-02,0
2014-03-03,75
2014-03-04,42
2014-03-05,59
2014-03-06,38
2014-03-07,26
2014-03-08,0
2014-03-09,29
2014-03-10,25
2014-03-11,25
2014-03-12,42
2014-03-13,51
2014-03-14,26
2014-03-15,29
2014-03-16,72
2014-03-17,38
2014-03-18,62
2014-03-19,25
2014-03-20,50
2014-03-21,92
2014-03-22,59
2014-03-23,43
2014-03-24,73
2014-03-25,49
2014-03-26,37
2014-03-27,25
2014-03-28,35
2014-03-29,30
2014-03-30,44
2014-03-31,49
2014-04-01,74
2014-04-02,38
2014-04-03,34
2014-04-04,53
2014-04-05,29
2014-04-06,29
2014-04-07,49
2014-04-08,41
2014-04-09,50
2014-04-10,51
2014-04-11,27
2014-04-12,30
2014-04-13,30
2014-04-14,38
2014-04-15,34
2014-04-16,38
2014-04-17,54
2014-04-18,29
2014-04-19,31
2014-04-20,0
2014-04-21,27
2014-04-22,33
2014-04-23,63
2014-04-24,25
2014-04-25,40
2014-04-26,0
2014-04-27,29
2014-04-28,25
2014-04-29,49
2014-04-30,50
2014-05-01,55
2014-05-02,67
2014-05-03,0
2014-05-04,0
2014-05-05,38
2014-05-06,25
2014-05-07,25
2014-05-08,25
2014-05-09,26
2014-05-10,30
2014-05-11,44
2014-05-12,97
2014-05-13,33
2014-05-14,25
2014-05-15,25
2014-05-16,26
2014-05-17,61
2014-05-18,30
2014-05-19,37
2014-05-20,25
2014-05-21,27
2014-05-22,41
2014-05-23,58
2014-05-24,0
2014-05-25,34
2014-05-26,46
2014-05-27,54
2014-05-28,27
2014-05-29,47
2014-05-30,58
2014-05-31,0
2014-06-01,0
2014-06-02,55
2014-06-03,41
2014-06-04,27
2014-06-05,28
2014-06-06,59
2014-06-07,0
2014-06-08,0
2014-06-09,66
2014-06-10,70
2014-06-11,28
2014-06-12,28
2014-06-13,39
2014-06-14,100
2014-06-15,33
2014-06-16,27
2014-06-17,46
2014-06-18,28
2014-06-19,38
2014-06-20,59
2014-06-21,0
2014-06-22,34
2014-06-23,28
2014-06-24,28
2014-06-25,28
2014-06-26,71
2014-06-27,45
2014-06-28,46
2014-06-29,0
2014-06-30,56
2014-07-01,56
2014-07-02,57
2014-07-03,29
2014-07-04,0
2014-07-05,0
2014-07-06,34
2014-07-07,28
2014-07-08,56
2014-07-09,56
2014-07-10,37
2014-07-11,59
2014-07-12,34
2014-07-13,0
2014-07-14,84
2014-07-15,74
2014-07-16,58
2014-07-17,57
2014-07-18,59
2014-07-19,35
2014-07-20,34
2014-07-21,28
2014-07-22,70
2014-07-23,29
2014-07-24,0
