date,VIAB
2012-06-04,31
2012-06-05,31
2012-06-06,21
2012-06-07,0
2012-06-08,22
2012-06-09,0
2012-06-10,26
2012-06-11,21
2012-06-12,42
2012-06-13,21
2012-06-14,22
2012-06-15,0
2012-06-16,53
2012-06-17,26
2012-06-18,21
2012-06-19,21
2012-06-20,21
2012-06-21,21
2012-06-22,45
2012-06-23,0
2012-06-24,0
2012-06-25,31
2012-06-26,21
2012-06-27,21
2012-06-28,22
2012-06-29,23
2012-06-30,0
2012-07-01,0
2012-07-02,42
2012-07-03,63
2012-07-04,22
2012-07-05,33
2012-07-06,22
2012-07-07,0
2012-07-08,0
2012-07-09,21
2012-07-10,21
2012-07-11,21
2012-07-12,32
2012-07-13,67
2012-07-14,27
2012-07-15,27
2012-07-16,21
2012-07-17,28
2012-07-18,21
2012-07-19,43
2012-07-20,23
2012-07-21,0
2012-07-22,27
2012-07-23,21
2012-07-24,0
2012-07-25,22
2012-07-26,22
2012-07-27,23
2012-07-28,0
2012-07-29,26
2012-07-30,32
2012-07-31,32
2012-08-01,22
2012-08-02,22
2012-08-03,23
2012-08-04,27
2012-08-05,0
2012-08-06,21
2012-08-07,21
2012-08-08,21
2012-08-09,22
2012-08-10,0
2012-08-11,53
2012-08-12,0
2012-08-13,21
2012-08-14,32
2012-08-15,34
2012-08-16,33
2012-08-17,45
2012-08-18,27
2012-08-19,27
2012-08-20,22
2012-08-21,22
2012-08-22,21
2012-08-23,43
2012-08-24,22
2012-08-25,26
2012-08-26,25
2012-08-27,52
2012-08-28,41
2012-08-29,84
2012-08-30,32
2012-08-31,22
2012-09-01,26
2012-09-02,25
2012-09-03,0
2012-09-04,21
2012-09-05,31
2012-09-06,85
2012-09-07,44
2012-09-08,25
2012-09-09,0
2012-09-10,34
2012-09-11,20
2012-09-12,30
2012-09-13,41
2012-09-14,42
2012-09-15,100
2012-09-16,25
2012-09-17,0
2012-09-18,20
2012-09-19,21
2012-09-20,42
2012-09-21,65
2012-09-22,25
2012-09-23,24
2012-09-24,20
2012-09-25,30
2012-09-26,20
2012-09-27,27
2012-09-28,65
2012-09-29,25
2012-09-30,0
2012-10-01,41
2012-10-02,34
2012-10-03,40
2012-10-04,40
2012-10-05,52
2012-10-06,24
2012-10-07,46
2012-10-08,39
2012-10-09,48
2012-10-10,49
2012-10-11,69
2012-10-12,21
2012-10-13,24
2012-10-14,46
2012-10-15,38
2012-10-16,38
2012-10-17,19
2012-10-18,20
2012-10-19,21
2012-10-20,47
2012-10-21,23
2012-10-22,38
2012-10-23,26
2012-10-24,19
2012-10-25,20
2012-10-26,21
2012-10-27,24
2012-10-28,23
2012-10-29,19
2012-10-30,0
2012-10-31,40
2012-11-01,31
2012-11-02,21
2012-11-03,23
2012-11-04,23
2012-11-05,25
2012-11-06,31
2012-11-07,37
2012-11-08,29
2012-11-09,34
2012-11-10,0
2012-11-11,0
2012-11-12,19
2012-11-13,0
2012-11-14,38
2012-11-15,59
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,29
2012-11-20,19
2012-11-21,38
2012-11-22,0
2012-11-23,21
2012-11-24,23
2012-11-25,22
2012-11-26,18
2012-11-27,25
2012-11-28,19
2012-11-29,76
2012-11-30,46
2012-12-01,23
2012-12-02,0
2012-12-03,43
2012-12-04,56
2012-12-05,37
2012-12-06,45
2012-12-07,33
2012-12-08,45
2012-12-09,33
2012-12-10,31
2012-12-11,37
2012-12-12,25
2012-12-13,32
2012-12-14,33
2012-12-15,22
2012-12-16,0
2012-12-17,0
2012-12-18,32
2012-12-19,19
2012-12-20,50
2012-12-21,31
2012-12-22,23
2012-12-23,0
2012-12-24,24
2012-12-25,25
2012-12-26,43
2012-12-27,0
2012-12-28,21
2012-12-29,46
2012-12-30,23
2012-12-31,0
2013-01-01,0
2013-01-02,26
2013-01-03,19
2013-01-04,19
2013-01-05,22
2013-01-06,43
2013-01-07,0
2013-01-08,36
2013-01-09,54
2013-01-10,18
2013-01-11,38
2013-01-12,21
2013-01-13,0
2013-01-14,18
2013-01-15,41
2013-01-16,18
2013-01-17,54
2013-01-18,57
2013-01-19,0
2013-01-20,0
2013-01-21,18
2013-01-22,41
2013-01-23,27
2013-01-24,18
2013-01-25,19
2013-01-26,0
2013-01-27,21
2013-01-28,23
2013-01-29,26
2013-01-30,18
2013-01-31,53
2013-02-01,28
2013-02-02,21
2013-02-03,0
2013-02-04,35
2013-02-05,18
2013-02-06,36
2013-02-07,27
2013-02-08,19
2013-02-09,43
2013-02-10,32
2013-02-11,27
2013-02-12,18
2013-02-13,18
2013-02-14,0
2013-02-15,37
2013-02-16,21
2013-02-17,41
2013-02-18,18
2013-02-19,17
