date,VIAB
2016-07-30,63
2016-07-31,42
2016-08-01,26
2016-08-02,53
2016-08-03,18
2016-08-04,99
2016-08-05,28
2016-08-06,43
2016-08-07,21
2016-08-08,18
2016-08-09,44
2016-08-10,44
2016-08-11,18
2016-08-12,46
2016-08-13,42
2016-08-14,21
2016-08-15,0
2016-08-16,18
2016-08-17,53
2016-08-18,36
2016-08-19,100
2016-08-20,41
2016-08-21,0
2016-08-22,70
2016-08-23,35
2016-08-24,26
2016-08-25,44
2016-08-26,82
2016-08-27,21
2016-08-28,51
2016-08-29,25
2016-08-30,34
2016-08-31,34
2016-09-01,35
2016-09-02,27
2016-09-03,20
2016-09-04,0
2016-09-05,26
2016-09-06,34
2016-09-07,26
2016-09-08,51
2016-09-09,26
2016-09-10,20
2016-09-11,30
2016-09-12,26
2016-09-13,51
2016-09-14,26
2016-09-15,35
2016-09-16,62
2016-09-17,0
2016-09-18,19
2016-09-19,42
2016-09-20,33
2016-09-21,67
2016-09-22,42
2016-09-23,35
2016-09-24,40
2016-09-25,0
2016-09-26,50
2016-09-27,42
2016-09-28,59
2016-09-29,34
2016-09-30,61
2016-10-01,19
2016-10-02,38
2016-10-03,41
2016-10-04,16
2016-10-05,17
2016-10-06,25
2016-10-07,51
2016-10-08,0
2016-10-09,19
2016-10-10,50
2016-10-11,33
2016-10-12,67
2016-10-13,33
2016-10-14,17
2016-10-15,19
2016-10-16,19
2016-10-17,57
2016-10-18,48
2016-10-19,49
2016-10-20,16
2016-10-21,34
2016-10-22,0
2016-10-23,19
2016-10-24,16
2016-10-25,16
2016-10-26,65
2016-10-27,58
2016-10-28,17
2016-10-29,19
2016-10-30,19
2016-10-31,51
2016-11-01,59
2016-11-02,33
2016-11-03,33
2016-11-04,51
2016-11-05,37
2016-11-06,18
2016-11-07,16
2016-11-08,31
2016-11-09,30
2016-11-10,33
2016-11-11,26
2016-11-12,0
2016-11-13,19
2016-11-14,32
2016-11-15,16
2016-11-16,32
2016-11-17,33
2016-11-18,59
2016-11-19,19
2016-11-20,55
2016-11-21,32
2016-11-22,24
2016-11-23,16
2016-11-24,85
2016-11-25,34
2016-11-26,0
2016-11-27,0
2016-11-28,32
2016-11-29,16
2016-11-30,32
2016-12-01,33
2016-12-02,25
2016-12-03,19
2016-12-04,28
2016-12-05,79
2016-12-06,32
2016-12-07,48
2016-12-08,67
2016-12-09,26
2016-12-10,0
2016-12-11,0
2016-12-12,80
2016-12-13,64
2016-12-14,32
2016-12-15,41
2016-12-16,17
2016-12-17,19
2016-12-18,28
2016-12-19,16
2016-12-20,42
2016-12-21,34
2016-12-22,35
2016-12-23,18
2016-12-24,62
2016-12-25,21
2016-12-26,18
2016-12-27,68
2016-12-28,17
2016-12-29,17
2016-12-30,18
2016-12-31,0
2017-01-01,21
2017-01-02,17
2017-01-03,16
2017-01-04,0
2017-01-05,65
2017-01-06,68
2017-01-07,18
2017-01-08,18
2017-01-09,31
2017-01-10,31
2017-01-11,78
2017-01-12,47
2017-01-13,32
2017-01-14,36
2017-01-15,27
2017-01-16,39
2017-01-17,24
2017-01-18,55
2017-01-19,39
2017-01-20,56
2017-01-21,0
2017-01-22,18
2017-01-23,23
2017-01-24,55
2017-01-25,31
2017-01-26,39
2017-01-27,33
2017-01-28,46
2017-01-29,36
2017-01-30,31
2017-01-31,31
2017-02-01,16
2017-02-02,47
2017-02-03,48
2017-02-04,36
2017-02-05,18
2017-02-06,46
2017-02-07,23
2017-02-08,23
2017-02-09,70
2017-02-10,48
2017-02-11,54
2017-02-12,27
2017-02-13,15
2017-02-14,39
2017-02-15,31
2017-02-16,39
2017-02-17,24
2017-02-18,36
2017-02-19,36
2017-02-20,23
2017-02-21,31
2017-02-22,15
2017-02-23,47
2017-02-24,32
2017-02-25,18
2017-02-26,54
2017-02-27,31
2017-02-28,40
2017-03-01,15
2017-03-02,23
2017-03-03,32
2017-03-04,17
2017-03-05,18
2017-03-06,30
2017-03-07,30
2017-03-08,53
2017-03-09,46
2017-03-10,32
2017-03-11,26
2017-03-12,26
2017-03-13,23
2017-03-14,38
2017-03-15,31
2017-03-16,46
2017-03-17,24
2017-03-18,18
2017-03-19,17
2017-03-20,46
2017-03-21,31
2017-03-22,15
2017-03-23,0
2017-03-24,32
2017-03-25,0
2017-03-26,46
2017-03-27,31
2017-03-28,46
2017-03-29,16
2017-03-30,16
2017-03-31,16
2017-04-01,18
2017-04-02,18
2017-04-03,23
2017-04-04,39
2017-04-05,0
2017-04-06,55
2017-04-07,41
2017-04-08,18
2017-04-09,19
2017-04-10,16
2017-04-11,32
2017-04-12,32
2017-04-13,17
2017-04-14,18
