date,VIAB
2015-12-26,17
2015-12-27,17
2015-12-28,24
2015-12-29,59
2015-12-30,20
2015-12-31,25
2016-01-01,19
2016-01-02,16
2016-01-03,0
2016-01-04,23
2016-01-05,14
2016-01-06,21
2016-01-07,14
2016-01-08,28
2016-01-09,39
2016-01-10,23
2016-01-11,13
2016-01-12,26
2016-01-13,31
2016-01-14,18
2016-01-15,28
2016-01-16,23
2016-01-17,23
2016-01-18,13
2016-01-19,47
2016-01-20,20
2016-01-21,18
2016-01-22,28
2016-01-23,15
2016-01-24,15
2016-01-25,22
2016-01-26,13
2016-01-27,20
2016-01-28,20
2016-01-29,23
2016-01-30,15
2016-01-31,29
2016-02-01,31
2016-02-02,13
2016-02-03,47
2016-02-04,60
2016-02-05,40
2016-02-06,22
2016-02-07,15
2016-02-08,33
2016-02-09,100
2016-02-10,64
2016-02-11,43
2016-02-12,31
2016-02-13,30
2016-02-14,22
2016-02-15,19
2016-02-16,34
2016-02-17,30
2016-02-18,46
2016-02-19,20
2016-02-20,15
2016-02-21,15
2016-02-22,57
2016-02-23,25
2016-02-24,46
2016-02-25,34
2016-02-26,26
2016-02-27,15
2016-02-28,0
2016-02-29,30
2016-03-01,25
2016-03-02,19
2016-03-03,38
2016-03-04,26
2016-03-05,24
2016-03-06,21
2016-03-07,31
2016-03-08,33
2016-03-09,25
2016-03-10,29
2016-03-11,26
2016-03-12,15
2016-03-13,14
2016-03-14,19
2016-03-15,56
2016-03-16,31
2016-03-17,25
2016-03-18,26
2016-03-19,0
2016-03-20,29
2016-03-21,19
2016-03-22,21
2016-03-23,21
2016-03-24,33
2016-03-25,28
2016-03-26,20
2016-03-27,23
2016-03-28,26
2016-03-29,31
2016-03-30,38
2016-03-31,19
2016-04-01,20
2016-04-02,14
2016-04-03,15
2016-04-04,13
2016-04-05,12
2016-04-06,17
2016-04-07,25
2016-04-08,26
2016-04-09,15
2016-04-10,29
2016-04-11,19
2016-04-12,12
2016-04-13,19
2016-04-14,25
2016-04-15,35
2016-04-16,20
2016-04-17,14
2016-04-18,21
2016-04-19,54
2016-04-20,59
2016-04-21,77
2016-04-22,66
2016-04-23,15
2016-04-24,29
2016-04-25,25
2016-04-26,29
2016-04-27,29
2016-04-28,59
2016-04-29,31
2016-04-30,30
2016-05-01,22
2016-05-02,25
2016-05-03,25
2016-05-04,38
2016-05-05,26
2016-05-06,22
2016-05-07,0
2016-05-08,30
2016-05-09,50
2016-05-10,25
2016-05-11,21
2016-05-12,21
2016-05-13,22
2016-05-14,15
2016-05-15,0
2016-05-16,17
2016-05-17,18
2016-05-18,13
2016-05-19,25
2016-05-20,26
2016-05-21,35
2016-05-22,22
2016-05-23,50
2016-05-24,33
2016-05-25,19
2016-05-26,33
2016-05-27,45
2016-05-28,23
2016-05-29,15
2016-05-30,13
2016-05-31,12
2016-06-01,38
2016-06-02,19
2016-06-03,36
2016-06-04,0
2016-06-05,15
2016-06-06,69
2016-06-07,33
2016-06-08,25
2016-06-09,26
2016-06-10,40
2016-06-11,0
2016-06-12,0
2016-06-13,63
2016-06-14,31
2016-06-15,17
2016-06-16,68
2016-06-17,48
2016-06-18,38
2016-06-19,30
2016-06-20,42
2016-06-21,42
2016-06-22,17
2016-06-23,34
2016-06-24,26
2016-06-25,15
2016-06-26,15
2016-06-27,21
2016-06-28,38
2016-06-29,34
2016-06-30,26
2016-07-01,40
2016-07-02,15
2016-07-03,31
2016-07-04,27
2016-07-05,22
2016-07-06,27
2016-07-07,18
2016-07-08,27
2016-07-09,21
2016-07-10,20
2016-07-11,17
2016-07-12,25
2016-07-13,22
2016-07-14,26
2016-07-15,13
2016-07-16,23
2016-07-17,15
2016-07-18,19
2016-07-19,22
2016-07-20,35
2016-07-21,13
2016-07-22,20
2016-07-23,25
2016-07-24,15
2016-07-25,26
2016-07-26,13
2016-07-27,19
2016-07-28,13
2016-07-29,18
2016-07-30,15
2016-07-31,15
2016-08-01,19
2016-08-02,38
2016-08-03,26
2016-08-04,52
2016-08-05,13
2016-08-06,23
2016-08-07,15
2016-08-08,13
2016-08-09,13
2016-08-10,39
2016-08-11,26
2016-08-12,13
2016-08-13,20
2016-08-14,15
2016-08-15,34
2016-08-16,13
2016-08-17,52
2016-08-18,30
2016-08-19,53
2016-08-20,30
2016-08-21,15
2016-08-22,32
2016-08-23,26
2016-08-24,26
2016-08-25,52
2016-08-26,33
2016-08-27,15
2016-08-28,22
2016-08-29,37
2016-08-30,25
2016-08-31,25
2016-09-01,29
2016-09-02,30
2016-09-03,15
2016-09-04,15
2016-09-05,38
2016-09-06,25
2016-09-07,19
2016-09-08,25
2016-09-09,26
2016-09-10,14
2016-09-11,22
