stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
ACN,1.41293158471559,1.00918914999032,0.995426404211003,1.01887321340234,68,20,47.9770114942529,13.3478260869565,32,1.03614766276638,1.04260260751023,1.08202081818302,0.998278647058723,116.190002
AVP,0.394730783848348,1.05269221087309,1.03857394003849,1.04289364597605,7,2,23.4137931034483,2,72,1.01627486407595,1.00361663643761,1.01446654654973,0.974683544231465,5.53
AMGN,1.27562502029128,1.01204796002875,0.998014640604894,1.02417287309928,37,4,43.816091954023,6.16666666666667,75,0.995798536687727,0.991529444183288,1.01626342670941,1.07833568832243,147.570007
AMZN,1.90085840644698,1.00681055547162,0.992803142826189,1.02219958165877,71,7,48.5977011494253,5.3,37,1.07098450958181,1.03812783355593,1.05754989603723,1.0785532711635,739.880005
ATVI,1.76896971152361,1.0039532987732,0.990220145538925,1.02027062196434,23,8,50.3793103448276,12.2173913043478,76,0.999480757925773,0.990911503004165,0.990911503093722,0.99948075775293,38.509998
AVGO,2.02635028866337,1.00497799165182,0.991175518241735,0.98985611425766,28,6,50.3333333333333,12.15,19,1.06686707625964,1.05772694419428,1.09404689527393,1.0868310384676,166.300003
BIDU,1.05406893854506,1.02245475917797,1.00867813063389,1.0265273769408,29,12,36.6896551724138,11.5217391304348,31,1.02003527714362,1.04469883455949,1.05352897288737,1.11442660104202,164.210007
BIIB,1.37721830125594,1.01505694333729,1.00119534590579,1.03604561340222,78,12,41.4252873563218,5.83333333333333,86,0.993346761642309,0.941667936146089,0.895868807864654,0.932755743717986,323.149994
BMRN,1.33782438118357,1.02180313860527,1.00790397931437,1.03981103048419,79,11,37.183908045977,5.41666666666667,83,0.963868595592146,0.959502249027342,0.920860169403331,1.00425716607029,91.610001
CA,1.11808599332086,1.01612661810337,1.00223369822461,1.02328335191252,56,15,40.9195402298851,11.4782608695652,33,1.00861793852439,1.0398979253112,1.05234602578551,1.0609639960865,31.33
CELG,1.58104699511142,1.00644012499287,0.992642994347576,1.01129291708608,67,6,51.2068965517241,8.75,54,1.03922384188535,1.02398398537556,0.964940049713399,1.01257490011472,239.5228195
CERN,0.988830290327313,1.02300556100028,1.00907476263594,1.02989291904615,40,6,32.7241379310345,6.08333333333333,50,1.03053124243246,1.02605330704632,0.989822918505999,1.01282306037745,193.3765142
CHKP,1.23747086691775,1.00805168400414,0.99438316100488,1.02336961326022,52,8,51.0344827586207,13.7826086956522,69,1.02936154885815,1.0062133767287,1.03935180248763,1.08345513969131,82.080002
CHTR,1.87096853825835,0.983001853650663,0.969441125640054,0.981822574547782,21,7,52.8390804597701,6.07692307692308,7,1.05100003890687,1.08107687288444,1.09653848484815,1.1544230533406,260
CMCSA,1.42614339165555,1.00666614519143,0.992991707144788,0.994396851922731,35,8,51.4827586206897,7.92307692307692,24,1.03563948814929,1.05241090184424,1.05166223530492,1.07457327163854,66.779999
COST,1.27164355963606,1.0036699666461,0.989857010785539,1.02001986835577,42,6,54.7931034482759,6.4,74,1.00565083756722,0.995728964158724,1.06472166944967,1.06715291310248,152.190002
CSCO,1.33968610692938,1.01049567431614,0.996785735011084,1.01525184701034,40,12,48.8850574712644,14.1304347826087,85,0.954775459869214,0.947185327221211,0.969006894888425,0.966160595953315,31.620001
CSX,1.25606023639481,1.0047744355999,0.991109189900391,1.00846240631486,48,5,52.9770114942529,6.8,29,1.0168213747236,1.04669373621993,1.07859625900756,1.0896171699234,102.1660752
CTRP,1.54484373237842,1.02079303832318,1.0068510515981,1.01242378649511,48,2,40.2873563218391,2.75,1,1.04217756366874,1.13609620263262,1.058116799448,1.07356547548679,81.06104769
CTSH,1.1572245148246,1.01727390894859,1.00366618199321,1.03259250328468,67,17,45.1724137931034,11.8695652173913,30,0.995538166896815,1.04591925878387,1.05651609882384,1.0583751432925,107.8415101
CTXS,1.20606871416045,1.02055713392938,1.00656961410553,1.03621039476283,36,8,39.2068965517241,10,47,1.03219406144361,1.03009445843335,1.06228851950304,1.06730432405079,85.730004
DISCA,0.893109549893509,1.0219918627304,1.00834606082129,1.00966267919134,62,9,34.3218390804598,6.15384615384615,66,1.00756480525822,1.00864553361101,1.04466858804955,0.96469744191819,53.28636172
DISCK,0.929345082453574,1.02356083694936,1.00981384926029,1.0082964978913,56,7,34.3908045977011,6.92307692307692,49,1.01462861980342,1.02700671425294,1.05251309057264,0.982370630100551,52.59473723
DISH,1.14559266124823,1.01116685309663,0.99750048325794,1.00443043514249,26,3,45.5172413793103,7,9,1.03680529997075,1.07508277552448,1.07857933422419,1.13746781334256,54.34
DLTR,1.37175171750065,1.00496474709046,0.99135107876351,1.00706566368512,7,1,49.183908045977,6.9,2,1.14448479442002,1.12633023129936,1.08689113223718,0.981595080281386,159.4526565
EA,1.9345988893173,1.01430661055049,1.00036864206989,1.02274269049269,21,13,42.0919540229885,10.3478260869565,28,1.01237113423265,1.0485825394085,1.06443299159238,1.02100522007068,77.599998
EBAY,1.32768732853066,1.02727381861481,1.01351549344223,1.03964019489728,37,3,31.5172413793103,3.4,67,1.03698492551973,1.00704476952723,1.07502645546244,1.08207115469632,69.98784109
ESRX,1.1512401934079,1.01271632007217,0.998851405408497,1.03772110459132,70,10,41.6091954022989,5,71,0.990267324042316,1.00363350658801,0.954061755879684,0.947313805833138,77.059998
EXPE,1.66388826698083,1.01490173359474,1.00123937029681,1.0165538138659,15,2,41.4137931034483,2.25,55,1.03960311453485,1.02358300384937,0.98959096550436,0.961616646196109,122.970001
