stock,average,OPEN,Self,1 week,2 weeks,4 weeks,8 weeks,price,stock,average,OPEN,Self,1 week,2 weeks
ACN,1.02028488907254,1.41718775678897,0.996517834920683,1.00085805762178,0.978376489100328,1.02067956063268,1.06684400968427,116.540001,ACN,1.02028488907254,1.41718775678897,0.996517834920683,1.00085805762178,0.978376489100328
AVP,1.04565501172832,0.4161447504224,1.07874234740439,0.98113207509434,1.01029159487136,1.03430531709777,0.739279587970841,5.83,AVP,1.04565501172832,0.4161447504224,1.07874234740439,0.98113207509434,1.01029159487136
AMGN,1.01651442453947,1.34581590119732,1.0581356997023,0.982722062862101,1.00815726742601,1.08073731670155,1.16853998802856,155.690002,AMGN,1.01651442453947,1.34581590119732,1.0581356997023,0.982722062862101,1.00815726742601
AMZN,1.00662372556245,2.07972221119671,0.979628730267377,1.0178999254651,1.02160591720198,1.04138357043854,1.05911053200865,809.5,AMZN,1.00662372556245,2.07972221119671,0.979628730267377,1.0178999254651,1.02160591720198
ATVI,1.01196278069014,1.79147811821285,1.02503440914072,1.00384620472053,1.0328204868835,1.19743592278809,1.27102564121078,39,ATVI,1.01196278069014,1.79147811821285,1.02503440914072,1.00384620472053,1.0328204868835
AVGO,1.01199858271961,2.19767007514531,1.03151057539096,1.10689730501558,1.12258815633961,1.14831448166506,1.25532270332212,180.360001,AVGO,1.01199858271961,2.19767007514531,1.03151057539096,1.10689730501558,1.12258815633961
BIDU,1.03237924592392,1.14637451734891,0.993381368149401,1.00229578406314,0.98650538640899,1.03835604564883,0.973794769663487,178.589996,BIDU,1.03237924592392,1.14637451734891,0.993381368149401,1.00229578406314,0.98650538640899
BIIB,1.03103941683676,1.21373362120392,1.0714582765777,0.977562362883637,0.976157839710848,0.982337867011915,1.03198842903958,284.790009,BIIB,1.03103941683676,1.21373362120392,1.0714582765777,0.977562362883637,0.976157839710848
BMRN,1.03592335395657,1.2586735599955,1.0000020607111,0.979463928539281,1.02216029685186,1.05511080089215,1.07437052804282,86.190002,BMRN,1.03592335395657,1.2586735599955,1.0000020607111,0.979463928539281,1.02216029685186
CA,1.0253537895911,1.17018962141963,0.89960546028008,1.0103690145688,0.957913969198774,0.978956907804289,0.992375724746303,32.790001,CA,1.0253537895911,1.17018962141963,0.89960546028008,1.0103690145688,0.957913969198774
