date,CERN,isPartial
2015-08-18,14,False
2015-08-19,12,False
2015-08-20,13,False
2015-08-21,12,False
2015-08-22,11,False
2015-08-23,13,False
2015-08-24,15,False
2015-08-25,14,False
2015-08-26,13,False
2015-08-27,15,False
2015-08-28,15,False
2015-08-29,14,False
2015-08-30,14,False
2015-08-31,15,False
2015-09-01,21,False
2015-09-02,21,False
2015-09-03,21,False
2015-09-04,19,False
2015-09-05,17,False
2015-09-06,20,False
2015-09-07,22,False
2015-09-08,19,False
2015-09-09,20,False
2015-09-10,20,False
2015-09-11,20,False
2015-09-12,21,False
2015-09-13,22,False
2015-09-14,24,False
2015-09-15,23,False
2015-09-16,25,False
2015-09-17,26,False
2015-09-18,26,False
2015-09-19,24,False
2015-09-20,27,False
2015-09-21,31,False
2015-09-22,47,False
2015-09-23,100,False
2015-09-24,50,False
2015-09-25,28,False
2015-09-26,21,False
2015-09-27,21,False
2015-09-28,21,False
2015-09-29,16,False
2015-09-30,14,False
2015-10-01,11,False
2015-10-02,12,False
2015-10-03,9,False
2015-10-04,9,False
2015-10-05,10,False
2015-10-06,9,False
2015-10-07,11,False
2015-10-08,9,False
2015-10-09,8,False
2015-10-10,8,False
2015-10-11,8,False
2015-10-12,9,False
2015-10-13,8,False
2015-10-14,9,False
2015-10-15,8,False
2015-10-16,8,False
2015-10-17,5,False
2015-10-18,8,False
2015-10-19,8,False
2015-10-20,11,False
2015-10-21,10,False
2015-10-22,9,False
2015-10-23,10,False
2015-10-24,7,False
2015-10-25,10,False
2015-10-26,8,False
2015-10-27,9,False
2015-10-28,9,False
2015-10-29,9,False
2015-10-30,8,False
2015-10-31,6,False
2015-11-01,8,False
2015-11-02,9,False
2015-11-03,8,False
2015-11-04,9,False
2015-11-05,10,False
2015-11-06,9,False
2015-11-07,6,False
2015-11-08,7,False
2015-11-09,14,False
2015-11-10,9,False
2015-11-11,9,False
2015-11-12,8,False
2015-11-13,8,False
2015-11-14,5,False
2015-11-15,7,False
2015-11-16,7,False
2015-11-17,7,False
2015-11-18,7,False
2015-11-19,8,False
2015-11-20,7,False
2015-11-21,6,False
2015-11-22,7,False
2015-11-23,8,False
2015-11-24,8,False
2015-11-25,8,False
2015-11-26,8,False
2015-11-27,8,False
2015-11-28,6,False
2015-11-29,8,False
2015-11-30,7,False
2015-12-01,7,False
2015-12-02,8,False
2015-12-03,7,False
2015-12-04,8,False
2015-12-05,6,False
2015-12-06,5,False
2015-12-07,8,False
2015-12-08,7,False
2015-12-09,6,False
2015-12-10,7,False
2015-12-11,8,False
2015-12-12,5,False
2015-12-13,7,False
2015-12-14,10,False
2015-12-15,9,False
2015-12-16,12,False
2015-12-17,8,False
2015-12-18,7,False
2015-12-19,7,False
2015-12-20,7,False
2015-12-21,6,False
2015-12-22,7,False
2015-12-23,7,False
2015-12-24,5,False
2015-12-25,4,False
2015-12-26,6,False
2015-12-27,6,False
2015-12-28,5,False
2015-12-29,7,False
2015-12-30,6,False
2015-12-31,6,False
2016-01-01,6,False
2016-01-02,6,False
2016-01-03,6,False
2016-01-04,7,False
2016-01-05,8,False
2016-01-06,7,False
2016-01-07,11,False
2016-01-08,9,False
2016-01-09,8,False
2016-01-10,7,False
2016-01-11,8,False
2016-01-12,7,False
2016-01-13,8,False
2016-01-14,9,False
2016-01-15,7,False
2016-01-16,6,False
2016-01-17,6,False
2016-01-18,7,False
2016-01-19,7,False
2016-01-20,6,False
2016-01-21,8,False
2016-01-22,9,False
2016-01-23,7,False
2016-01-24,9,False
2016-01-25,8,False
2016-01-26,8,False
2016-01-27,8,False
2016-01-28,8,False
2016-01-29,7,False
2016-01-30,4,False
2016-01-31,6,False
2016-02-01,6,False
2016-02-02,6,False
2016-02-03,7,False
2016-02-04,7,False
2016-02-05,6,False
2016-02-06,6,False
2016-02-07,6,False
2016-02-08,7,False
2016-02-09,8,False
2016-02-10,6,False
2016-02-11,9,False
2016-02-12,8,False
2016-02-13,6,False
2016-02-14,5,False
2016-02-15,6,False
2016-02-16,7,False
2016-02-17,8,False
2016-02-18,7,False
2016-02-19,6,False
2016-02-20,5,False
2016-02-21,5,False
2016-02-22,7,False
2016-02-23,7,False
2016-02-24,7,False
2016-02-25,7,False
2016-02-26,6,False
2016-02-27,4,False
2016-02-28,5,False
2016-02-29,6,False
2016-03-01,6,False
2016-03-02,7,False
2016-03-03,7,False
2016-03-04,7,False
2016-03-05,5,False
2016-03-06,5,False
2016-03-07,7,False
2016-03-08,6,False
2016-03-09,7,False
2016-03-10,6,False
2016-03-11,7,False
2016-03-12,5,False
2016-03-13,5,False
2016-03-14,7,False
2016-03-15,7,False
2016-03-16,8,False
2016-03-17,6,False
2016-03-18,8,False
2016-03-19,4,False
2016-03-20,5,False
2016-03-21,6,False
2016-03-22,7,False
2016-03-23,7,False
2016-03-24,6,False
2016-03-25,6,False
2016-03-26,4,False
2016-03-27,5,False
2016-03-28,5,False
2016-03-29,5,False
2016-03-30,6,False
2016-03-31,6,False
2016-04-01,6,False
2016-04-02,5,False
2016-04-03,4,False
2016-04-04,5,False
2016-04-05,6,False
2016-04-06,6,False
2016-04-07,6,False
2016-04-08,7,False
2016-04-09,4,False
2016-04-10,4,False
2016-04-11,6,False
2016-04-12,6,False
2016-04-13,7,False
2016-04-14,7,False
2016-04-15,7,False
2016-04-16,5,False
2016-04-17,6,False
2016-04-18,7,False
2016-04-19,7,False
2016-04-20,7,False
2016-04-21,7,False
2016-04-22,7,False
2016-04-23,6,False
2016-04-24,8,False
2016-04-25,9,False
2016-04-26,8,False
2016-04-27,9,False
2016-04-28,8,False
2016-04-29,9,False
2016-04-30,10,False
2016-05-01,9,False
2016-05-02,9,False
2016-05-03,9,False
2016-05-04,8,False
