date,ORLY
2017-01-19,4
2017-01-20,4
2017-01-21,4
2017-01-22,4
2017-01-23,5
2017-01-24,4
2017-01-25,4
2017-01-26,4
2017-01-27,4
2017-01-28,4
2017-01-29,5
2017-01-30,5
2017-01-31,4
2017-02-01,4
2017-02-02,5
2017-02-03,5
2017-02-04,4
2017-02-05,5
2017-02-06,4
2017-02-07,4
2017-02-08,5
2017-02-09,5
2017-02-10,5
2017-02-11,4
2017-02-12,5
2017-02-13,4
2017-02-14,4
2017-02-15,4
2017-02-16,4
2017-02-17,4
2017-02-18,4
2017-02-19,5
2017-02-20,5
2017-02-21,4
2017-02-22,4
2017-02-23,4
2017-02-24,4
2017-02-25,4
2017-02-26,4
2017-02-27,5
2017-02-28,4
2017-03-01,4
2017-03-02,4
2017-03-03,5
2017-03-04,4
2017-03-05,6
2017-03-06,6
2017-03-07,5
2017-03-08,5
2017-03-09,5
2017-03-10,5
2017-03-11,4
2017-03-12,5
2017-03-13,5
2017-03-14,5
2017-03-15,5
2017-03-16,5
2017-03-17,5
2017-03-18,100
2017-03-19,30
2017-03-20,16
2017-03-21,12
2017-03-22,7
2017-03-23,6
2017-03-24,6
2017-03-25,6
2017-03-26,5
2017-03-27,5
2017-03-28,5
2017-03-29,6
2017-03-30,5
2017-03-31,5
2017-04-01,5
