date,ORLY
2011-09-18,62
2011-09-19,69
2011-09-20,68
2011-09-21,99
2011-09-22,84
2011-09-23,73
2011-09-24,56
2011-09-25,65
2011-09-26,65
2011-09-27,62
2011-09-28,65
2011-09-29,69
2011-09-30,68
2011-10-01,60
2011-10-02,76
2011-10-03,64
2011-10-04,65
2011-10-05,71
2011-10-06,88
2011-10-07,78
2011-10-08,63
2011-10-09,65
2011-10-10,70
2011-10-11,70
2011-10-12,64
2011-10-13,72
2011-10-14,67
2011-10-15,56
2011-10-16,69
2011-10-17,69
2011-10-18,65
2011-10-19,66
2011-10-20,69
2011-10-21,66
2011-10-22,66
2011-10-23,67
2011-10-24,69
2011-10-25,70
2011-10-26,66
2011-10-27,71
2011-10-28,76
2011-10-29,66
2011-10-30,72
2011-10-31,67
2011-11-01,61
2011-11-02,71
2011-11-03,72
2011-11-04,63
2011-11-05,67
2011-11-06,67
2011-11-07,62
2011-11-08,66
2011-11-09,64
2011-11-10,66
2011-11-11,55
2011-11-12,53
2011-11-13,58
2011-11-14,62
2011-11-15,55
2011-11-16,59
2011-11-17,64
2011-11-18,69
2011-11-19,57
2011-11-20,62
2011-11-21,64
2011-11-22,60
2011-11-23,58
2011-11-24,61
2011-11-25,55
2011-11-26,56
2011-11-27,60
2011-11-28,58
2011-11-29,57
2011-11-30,53
2011-12-01,57
2011-12-02,59
2011-12-03,54
2011-12-04,58
2011-12-05,60
2011-12-06,52
2011-12-07,60
2011-12-08,55
2011-12-09,57
2011-12-10,56
2011-12-11,61
2011-12-12,63
2011-12-13,63
2011-12-14,63
2011-12-15,71
2011-12-16,85
2011-12-17,81
2011-12-18,77
2011-12-19,76
2011-12-20,75
2011-12-21,72
2011-12-22,76
2011-12-23,69
2011-12-24,44
2011-12-25,64
2011-12-26,68
2011-12-27,62
2011-12-28,61
2011-12-29,64
2011-12-30,53
2011-12-31,52
2012-01-01,65
2012-01-02,73
2012-01-03,66
2012-01-04,68
2012-01-05,85
2012-01-06,77
2012-01-07,63
2012-01-08,63
2012-01-09,69
2012-01-10,62
2012-01-11,62
2012-01-12,58
2012-01-13,60
2012-01-14,58
2012-01-15,63
2012-01-16,56
2012-01-17,62
2012-01-18,59
2012-01-19,63
2012-01-20,59
2012-01-21,57
2012-01-22,67
2012-01-23,64
2012-01-24,63
2012-01-25,69
2012-01-26,71
2012-01-27,65
2012-01-28,56
2012-01-29,68
2012-01-30,64
2012-01-31,61
2012-02-01,57
2012-02-02,66
2012-02-03,64
2012-02-04,67
2012-02-05,100
2012-02-06,75
2012-02-07,73
2012-02-08,65
2012-02-09,64
2012-02-10,65
2012-02-11,63
2012-02-12,63
2012-02-13,57
2012-02-14,56
2012-02-15,68
2012-02-16,61
2012-02-17,58
2012-02-18,61
2012-02-19,67
2012-02-20,69
2012-02-21,54
2012-02-22,57
2012-02-23,55
2012-02-24,67
2012-02-25,64
2012-02-26,60
2012-02-27,61
2012-02-28,57
2012-02-29,65
2012-03-01,68
2012-03-02,68
2012-03-03,57
2012-03-04,68
2012-03-05,73
2012-03-06,64
2012-03-07,70
2012-03-08,67
2012-03-09,61
2012-03-10,52
2012-03-11,64
2012-03-12,61
2012-03-13,71
2012-03-14,70
2012-03-15,61
2012-03-16,61
2012-03-17,58
2012-03-18,71
2012-03-19,57
2012-03-20,69
2012-03-21,65
2012-03-22,55
2012-03-23,59
2012-03-24,53
2012-03-25,65
2012-03-26,60
2012-03-27,63
2012-03-28,76
2012-03-29,62
2012-03-30,70
2012-03-31,73
2012-04-01,85
2012-04-02,93
2012-04-03,87
2012-04-04,80
2012-04-05,59
2012-04-06,82
2012-04-07,62
2012-04-08,59
2012-04-09,63
2012-04-10,67
2012-04-11,67
2012-04-12,67
2012-04-13,65
2012-04-14,64
2012-04-15,68
2012-04-16,69
2012-04-17,61
2012-04-18,65
2012-04-19,69
2012-04-20,66
2012-04-21,64
2012-04-22,61
2012-04-23,67
2012-04-24,65
2012-04-25,69
2012-04-26,67
2012-04-27,73
2012-04-28,62
2012-04-29,59
2012-04-30,64
2012-05-01,63
2012-05-02,62
2012-05-03,61
2012-05-04,65
2012-05-05,64
2012-05-06,54
2012-05-07,62
2012-05-08,62
2012-05-09,71
2012-05-10,57
2012-05-11,69
2012-05-12,56
2012-05-13,67
2012-05-14,67
2012-05-15,69
2012-05-16,69
2012-05-17,64
2012-05-18,59
2012-05-19,62
2012-05-20,71
2012-05-21,64
2012-05-22,60
2012-05-23,60
2012-05-24,67
2012-05-25,60
2012-05-26,51
2012-05-27,56
2012-05-28,64
2012-05-29,64
2012-05-30,64
2012-05-31,65
2012-06-01,67
2012-06-02,58
2012-06-03,76
2012-06-04,65
