date,ORLY
2015-08-18,57
2015-08-19,55
2015-08-20,56
2015-08-21,54
2015-08-22,51
2015-08-23,59
2015-08-24,56
2015-08-25,53
2015-08-26,56
2015-08-27,56
2015-08-28,54
2015-08-29,49
2015-08-30,55
2015-08-31,62
2015-09-01,54
2015-09-02,61
2015-09-03,61
2015-09-04,62
2015-09-05,54
2015-09-06,60
2015-09-07,59
2015-09-08,57
2015-09-09,57
2015-09-10,56
2015-09-11,54
2015-09-12,54
2015-09-13,57
2015-09-14,61
2015-09-15,53
2015-09-16,52
2015-09-17,55
2015-09-18,53
2015-09-19,51
2015-09-20,53
2015-09-21,58
2015-09-22,55
2015-09-23,54
2015-09-24,53
2015-09-25,53
2015-09-26,45
2015-09-27,50
2015-09-28,55
2015-09-29,48
2015-09-30,50
2015-10-01,53
2015-10-02,53
2015-10-03,49
2015-10-04,52
2015-10-05,58
2015-10-06,55
2015-10-07,58
2015-10-08,54
2015-10-09,53
2015-10-10,47
2015-10-11,57
2015-10-12,53
2015-10-13,50
2015-10-14,51
2015-10-15,53
2015-10-16,55
2015-10-17,46
2015-10-18,56
2015-10-19,59
2015-10-20,53
2015-10-21,50
2015-10-22,53
2015-10-23,51
2015-10-24,44
2015-10-25,51
2015-10-26,48
2015-10-27,45
2015-10-28,44
2015-10-29,48
2015-10-30,48
2015-10-31,41
2015-11-01,50
2015-11-02,56
2015-11-03,48
2015-11-04,54
2015-11-05,51
2015-11-06,50
2015-11-07,60
2015-11-08,52
2015-11-09,52
2015-11-10,47
2015-11-11,49
2015-11-12,49
2015-11-13,62
2015-11-14,100
2015-11-15,53
2015-11-16,49
2015-11-17,42
2015-11-18,46
2015-11-19,45
2015-11-20,45
2015-11-21,40
2015-11-22,41
2015-11-23,42
2015-11-24,40
2015-11-25,44
2015-11-26,46
2015-11-27,50
2015-11-28,43
2015-11-29,54
2015-11-30,47
2015-12-01,40
2015-12-02,40
2015-12-03,41
2015-12-04,41
2015-12-05,36
2015-12-06,53
2015-12-07,46
2015-12-08,47
2015-12-09,41
2015-12-10,44
2015-12-11,42
2015-12-12,41
2015-12-13,50
2015-12-14,47
2015-12-15,49
2015-12-16,47
2015-12-17,52
2015-12-18,53
2015-12-19,52
2015-12-20,55
2015-12-21,53
2015-12-22,50
2015-12-23,53
2015-12-24,46
2015-12-25,46
2015-12-26,51
2015-12-27,55
2015-12-28,54
2015-12-29,50
2015-12-30,48
2015-12-31,39
2016-01-01,46
2016-01-02,51
2016-01-03,61
2016-01-04,54
2016-01-05,50
2016-01-06,51
2016-01-07,54
2016-01-08,52
2016-01-09,48
2016-01-10,55
2016-01-11,52
2016-01-12,47
2016-01-13,50
2016-01-14,50
2016-01-15,50
2016-01-16,46
2016-01-17,51
2016-01-18,51
2016-01-19,53
2016-01-20,47
2016-01-21,45
2016-01-22,49
2016-01-23,43
2016-01-24,53
2016-01-25,56
2016-01-26,62
2016-01-27,60
2016-01-28,59
2016-01-29,48
2016-01-30,49
2016-01-31,55
2016-02-01,51
2016-02-02,46
2016-02-03,51
2016-02-04,48
2016-02-05,52
2016-02-06,46
2016-02-07,55
2016-02-08,53
2016-02-09,52
2016-02-10,45
2016-02-11,50
2016-02-12,48
2016-02-13,49
2016-02-14,55
2016-02-15,50
2016-02-16,45
2016-02-17,48
2016-02-18,49
2016-02-19,51
2016-02-20,45
2016-02-21,50
2016-02-22,54
2016-02-23,49
2016-02-24,47
2016-02-25,48
2016-02-26,46
2016-02-27,45
2016-02-28,54
2016-02-29,49
2016-03-01,50
2016-03-02,53
2016-03-03,50
2016-03-04,54
2016-03-05,51
2016-03-06,53
2016-03-07,61
2016-03-08,68
2016-03-09,60
2016-03-10,56
2016-03-11,49
2016-03-12,53
2016-03-13,56
2016-03-14,55
2016-03-15,52
2016-03-16,50
2016-03-17,50
2016-03-18,55
2016-03-19,49
2016-03-20,81
2016-03-21,80
2016-03-22,69
2016-03-23,64
2016-03-24,63
2016-03-25,60
2016-03-26,50
2016-03-27,53
2016-03-28,57
2016-03-29,54
2016-03-30,61
2016-03-31,66
2016-04-01,60
2016-04-02,52
2016-04-03,53
2016-04-04,58
2016-04-05,49
2016-04-06,51
2016-04-07,52
2016-04-08,54
2016-04-09,50
2016-04-10,55
2016-04-11,54
2016-04-12,48
2016-04-13,53
2016-04-14,58
2016-04-15,57
2016-04-16,54
2016-04-17,59
2016-04-18,55
2016-04-19,53
2016-04-20,53
2016-04-21,51
2016-04-22,57
2016-04-23,49
2016-04-24,58
2016-04-25,58
2016-04-26,55
2016-04-27,59
2016-04-28,64
2016-04-29,55
2016-04-30,56
2016-05-01,57
2016-05-02,59
2016-05-03,58
2016-05-04,56
