date,ORLY
2016-05-04,66
2016-05-05,66
2016-05-06,69
2016-05-07,67
2016-05-08,79
2016-05-09,74
2016-05-10,76
2016-05-11,81
2016-05-12,78
2016-05-13,77
2016-05-14,66
2016-05-15,72
2016-05-16,79
2016-05-17,87
2016-05-18,89
2016-05-19,96
2016-05-20,79
2016-05-21,64
2016-05-22,81
2016-05-23,82
2016-05-24,82
2016-05-25,86
2016-05-26,88
2016-05-27,83
2016-05-28,72
2016-05-29,88
2016-05-30,84
2016-05-31,87
2016-06-01,82
2016-06-02,100
2016-06-03,96
2016-06-04,78
2016-06-05,96
2016-06-06,90
2016-06-07,80
2016-06-08,81
2016-06-09,78
2016-06-10,78
2016-06-11,68
2016-06-12,80
2016-06-13,77
2016-06-14,79
2016-06-15,72
2016-06-16,76
2016-06-17,86
2016-06-18,76
2016-06-19,85
2016-06-20,80
2016-06-21,71
2016-06-22,74
2016-06-23,76
2016-06-24,77
2016-06-25,65
2016-06-26,80
2016-06-27,77
2016-06-28,81
2016-06-29,80
2016-06-30,80
2016-07-01,86
2016-07-02,74
2016-07-03,88
2016-07-04,83
2016-07-05,78
2016-07-06,82
2016-07-07,79
2016-07-08,85
2016-07-09,70
2016-07-10,73
2016-07-11,84
2016-07-12,80
2016-07-13,82
2016-07-14,76
2016-07-15,75
2016-07-16,74
2016-07-17,77
2016-07-18,89
2016-07-19,76
2016-07-20,79
2016-07-21,80
2016-07-22,83
2016-07-23,75
2016-07-24,80
2016-07-25,80
2016-07-26,70
2016-07-27,77
2016-07-28,80
2016-07-29,84
2016-07-30,82
2016-07-31,89
2016-08-01,86
2016-08-02,74
2016-08-03,79
2016-08-04,73
2016-08-05,79
2016-08-06,74
2016-08-07,77
2016-08-08,75
2016-08-09,67
2016-08-10,74
2016-08-11,74
2016-08-12,74
2016-08-13,67
2016-08-14,72
2016-08-15,74
2016-08-16,74
2016-08-17,71
2016-08-18,71
2016-08-19,66
2016-08-20,69
2016-08-21,68
2016-08-22,73
2016-08-23,77
2016-08-24,69
2016-08-25,70
2016-08-26,72
2016-08-27,72
2016-08-28,75
2016-08-29,79
2016-08-30,76
2016-08-31,68
2016-09-01,71
2016-09-02,74
2016-09-03,67
2016-09-04,88
2016-09-05,79
2016-09-06,73
2016-09-07,73
2016-09-08,73
2016-09-09,76
2016-09-10,71
2016-09-11,79
2016-09-12,70
2016-09-13,74
2016-09-14,79
2016-09-15,76
2016-09-16,83
2016-09-17,71
2016-09-18,71
2016-09-19,74
2016-09-20,69
2016-09-21,73
2016-09-22,73
2016-09-23,72
2016-09-24,69
2016-09-25,74
2016-09-26,75
2016-09-27,70
2016-09-28,65
2016-09-29,71
2016-09-30,73
2016-10-01,67
2016-10-02,67
2016-10-03,71
2016-10-04,73
2016-10-05,66
2016-10-06,66
2016-10-07,66
2016-10-08,66
2016-10-09,75
2016-10-10,66
2016-10-11,68
2016-10-12,71
2016-10-13,69
2016-10-14,69
2016-10-15,66
2016-10-16,77
2016-10-17,73
2016-10-18,73
2016-10-19,75
2016-10-20,70
2016-10-21,76
2016-10-22,75
2016-10-23,81
2016-10-24,76
2016-10-25,69
2016-10-26,74
2016-10-27,71
2016-10-28,80
2016-10-29,65
2016-10-30,65
2016-10-31,66
2016-11-01,63
2016-11-02,67
2016-11-03,62
2016-11-04,66
2016-11-05,57
2016-11-06,71
2016-11-07,71
2016-11-08,62
2016-11-09,58
2016-11-10,68
2016-11-11,62
2016-11-12,61
2016-11-13,73
2016-11-14,70
2016-11-15,63
2016-11-16,62
2016-11-17,67
2016-11-18,67
2016-11-19,57
2016-11-20,70
2016-11-21,66
2016-11-22,60
2016-11-23,58
2016-11-24,60
2016-11-25,56
2016-11-26,56
2016-11-27,65
2016-11-28,65
2016-11-29,54
2016-11-30,64
2016-12-01,63
2016-12-02,61
2016-12-03,56
2016-12-04,65
2016-12-05,64
2016-12-06,63
2016-12-07,61
2016-12-08,66
2016-12-09,63
2016-12-10,51
2016-12-11,61
2016-12-12,69
2016-12-13,64
2016-12-14,65
2016-12-15,75
2016-12-16,76
2016-12-17,72
2016-12-18,88
2016-12-19,70
2016-12-20,69
2016-12-21,72
2016-12-22,79
2016-12-23,84
2016-12-24,61
2016-12-25,63
2016-12-26,66
2016-12-27,69
2016-12-28,69
2016-12-29,68
2016-12-30,79
2016-12-31,59
2017-01-01,74
2017-01-02,79
2017-01-03,73
2017-01-04,65
2017-01-05,72
2017-01-06,67
2017-01-07,62
2017-01-08,79
2017-01-09,72
2017-01-10,69
2017-01-11,66
2017-01-12,68
2017-01-13,68
2017-01-14,65
2017-01-15,79
2017-01-16,74
2017-01-17,65
2017-01-18,64
2017-01-19,63
