date,GOOG,isPartial
2011-09-18,78,False
2011-09-19,71,False
2011-09-20,78,False
2011-09-21,75,False
2011-09-22,74,False
2011-09-23,76,False
2011-09-24,77,False
2011-09-25,79,False
2011-09-26,71,False
2011-09-27,74,False
2011-09-28,74,False
2011-09-29,72,False
2011-09-30,76,False
2011-10-01,73,False
2011-10-02,75,False
2011-10-03,82,False
2011-10-04,78,False
2011-10-05,77,False
2011-10-06,76,False
2011-10-07,77,False
2011-10-08,75,False
2011-10-09,72,False
2011-10-10,78,False
2011-10-11,78,False
2011-10-12,82,False
2011-10-13,83,False
2011-10-14,87,False
2011-10-15,77,False
2011-10-16,67,False
2011-10-17,75,False
2011-10-18,82,False
2011-10-19,73,False
2011-10-20,74,False
2011-10-21,74,False
2011-10-22,78,False
2011-10-23,79,False
2011-10-24,76,False
2011-10-25,73,False
2011-10-26,78,False
2011-10-27,81,False
2011-10-28,75,False
2011-10-29,81,False
2011-10-30,76,False
2011-10-31,83,False
2011-11-01,78,False
2011-11-02,73,False
2011-11-03,78,False
2011-11-04,77,False
2011-11-05,78,False
2011-11-06,78,False
2011-11-07,79,False
2011-11-08,74,False
2011-11-09,77,False
2011-11-10,77,False
2011-11-11,82,False
2011-11-12,83,False
2011-11-13,76,False
2011-11-14,74,False
2011-11-15,76,False
2011-11-16,75,False
2011-11-17,80,False
2011-11-18,83,False
2011-11-19,76,False
2011-11-20,81,False
2011-11-21,76,False
2011-11-22,76,False
2011-11-23,79,False
2011-11-24,79,False
2011-11-25,76,False
2011-11-26,84,False
2011-11-27,79,False
2011-11-28,80,False
2011-11-29,82,False
2011-11-30,81,False
2011-12-01,80,False
2011-12-02,79,False
2011-12-03,86,False
2011-12-04,75,False
2011-12-05,81,False
2011-12-06,77,False
2011-12-07,79,False
2011-12-08,78,False
2011-12-09,78,False
2011-12-10,80,False
2011-12-11,79,False
2011-12-12,86,False
2011-12-13,77,False
2011-12-14,74,False
2011-12-15,73,False
2011-12-16,82,False
2011-12-17,82,False
2011-12-18,82,False
2011-12-19,81,False
2011-12-20,82,False
2011-12-21,79,False
2011-12-22,77,False
2011-12-23,85,False
2011-12-24,91,False
2011-12-25,93,False
2011-12-26,91,False
2011-12-27,82,False
2011-12-28,80,False
2011-12-29,78,False
2011-12-30,77,False
2011-12-31,85,False
2012-01-01,82,False
2012-01-02,74,False
2012-01-03,80,False
2012-01-04,76,False
2012-01-05,80,False
2012-01-06,79,False
2012-01-07,87,False
2012-01-08,84,False
2012-01-09,78,False
2012-01-10,77,False
2012-01-11,85,False
2012-01-12,88,False
2012-01-13,79,False
2012-01-14,82,False
