date,VRTX
2015-08-18,47
2015-08-19,73
2015-08-20,56
2015-08-21,31
2015-08-22,31
2015-08-23,17
2015-08-24,100
2015-08-25,64
2015-08-26,73
2015-08-27,77
2015-08-28,34
2015-08-29,26
2015-08-30,17
2015-08-31,61
2015-09-01,75
2015-09-02,57
2015-09-03,36
2015-09-04,45
2015-09-05,9
2015-09-06,17
2015-09-07,49
2015-09-08,50
2015-09-09,57
2015-09-10,50
2015-09-11,44
2015-09-12,25
2015-09-13,8
2015-09-14,42
2015-09-15,42
2015-09-16,67
2015-09-17,50
2015-09-18,88
2015-09-19,17
2015-09-20,12
2015-09-21,69
2015-09-22,66
2015-09-23,74
2015-09-24,65
2015-09-25,64
2015-09-26,25
2015-09-27,12
2015-09-28,52
2015-09-29,38
2015-09-30,80
2015-10-01,49
2015-10-02,40
2015-10-03,33
2015-10-04,24
2015-10-05,55
2015-10-06,94
2015-10-07,63
2015-10-08,63
2015-10-09,62
2015-10-10,12
2015-10-11,8
2015-10-12,32
2015-10-13,45
2015-10-14,56
2015-10-15,87
2015-10-16,51
2015-10-17,20
2015-10-18,16
2015-10-19,44
2015-10-20,51
2015-10-21,68
2015-10-22,77
2015-10-23,55
2015-10-24,8
2015-10-25,12
2015-10-26,58
2015-10-27,62
2015-10-28,92
2015-10-29,49
2015-10-30,73
2015-10-31,16
2015-11-01,12
2015-11-02,45
2015-11-03,38
2015-11-04,72
2015-11-05,59
2015-11-06,79
2015-11-07,20
2015-11-08,16
2015-11-09,27
2015-11-10,41
2015-11-11,42
2015-11-12,35
2015-11-13,40
2015-11-14,16
2015-11-15,12
2015-11-16,44
2015-11-17,37
2015-11-18,35
2015-11-19,38
2015-11-20,54
2015-11-21,8
2015-11-22,24
2015-11-23,55
2015-11-24,30
2015-11-25,45
2015-11-26,39
2015-11-27,40
2015-11-28,16
2015-11-29,12
2015-11-30,43
2015-12-01,64
2015-12-02,65
2015-12-03,62
2015-12-04,50
2015-12-05,24
2015-12-06,16
2015-12-07,48
2015-12-08,31
2015-12-09,69
2015-12-10,49
2015-12-11,18
2015-12-12,8
2015-12-13,12
2015-12-14,71
2015-12-15,35
2015-12-16,54
2015-12-17,18
2015-12-18,61
2015-12-19,0
2015-12-20,8
2015-12-21,44
2015-12-22,56
2015-12-23,12
2015-12-24,26
2015-12-25,9
2015-12-26,13
2015-12-27,8
2015-12-28,41
2015-12-29,34
2015-12-30,31
2015-12-31,13
2016-01-01,9
2016-01-02,8
2016-01-03,8
2016-01-04,41
2016-01-05,35
2016-01-06,70
2016-01-07,49
2016-01-08,46
2016-01-09,12
2016-01-10,12
2016-01-11,40
2016-01-12,57
2016-01-13,54
2016-01-14,34
2016-01-15,52
2016-01-16,24
2016-01-17,11
2016-01-18,20
2016-01-19,57
2016-01-20,51
2016-01-21,31
2016-01-22,21
2016-01-23,8
2016-01-24,19
2016-01-25,36
2016-01-26,34
2016-01-27,57
2016-01-28,67
2016-01-29,66
2016-01-30,20
2016-01-31,11
2016-02-01,22
2016-02-02,57
2016-02-03,42
2016-02-04,46
2016-02-05,51
2016-02-06,15
2016-02-07,19
2016-02-08,76
2016-02-09,73
2016-02-10,62
2016-02-11,70
2016-02-12,37
2016-02-13,38
2016-02-14,15
2016-02-15,26
2016-02-16,52
2016-02-17,58
2016-02-18,23
2016-02-19,40
2016-02-20,23
2016-02-21,15
2016-02-22,48
2016-02-23,48
2016-02-24,45
2016-02-25,42
2016-02-26,33
2016-02-27,26
2016-02-28,15
2016-02-29,53
2016-03-01,34
2016-03-02,41
2016-03-03,51
2016-03-04,43
2016-03-05,18
2016-03-06,7
2016-03-07,51
2016-03-08,67
2016-03-09,38
2016-03-10,35
2016-03-11,40
2016-03-12,19
2016-03-13,7
2016-03-14,41
2016-03-15,64
2016-03-16,38
2016-03-17,32
2016-03-18,47
2016-03-19,18
2016-03-20,15
2016-03-21,38
2016-03-22,32
2016-03-23,43
2016-03-24,30
2016-03-25,25
2016-03-26,15
2016-03-27,19
2016-03-28,27
2016-03-29,41
2016-03-30,32
2016-03-31,52
2016-04-01,69
2016-04-02,11
2016-04-03,22
2016-04-04,38
2016-04-05,57
2016-04-06,44
2016-04-07,48
2016-04-08,27
2016-04-09,15
2016-04-10,11
2016-04-11,28
2016-04-12,25
2016-04-13,26
2016-04-14,58
2016-04-15,67
2016-04-16,11
2016-04-17,22
2016-04-18,44
2016-04-19,80
2016-04-20,51
2016-04-21,55
2016-04-22,37
2016-04-23,15
2016-04-24,22
2016-04-25,57
2016-04-26,69
2016-04-27,60
2016-04-28,32
2016-04-29,37
2016-04-30,19
2016-05-01,15
2016-05-02,55
2016-05-03,25
2016-05-04,44
